"Time","Sales","Trend Line","7-Day Moving Average"
"2024-02-24 00:00:00",27.99,60.08646850722102,26.81
"2024-02-25 00:00:00",28.99,,27.5
"2024-02-26 00:00:00",20.6,,29.25
"2024-02-27 00:00:00",26.12,,34.07
"2024-02-28 00:00:00",30.84,,36.99
"2024-02-29 00:00:00",49.59,,37.46
"2024-03-01 00:00:00",54.39,,37.89
"2024-03-02 00:00:00",48.38,,39.39
"2024-03-03 00:00:00",32.31,,40.44
"2024-03-04 00:00:00",23.58,,41.08
"2024-03-05 00:00:00",36.62,,39.91
"2024-03-06 00:00:00",38.24,,41.68
"2024-03-07 00:00:00",54.05,,42.09
"2024-03-08 00:00:00",46.19,,42.58
"2024-03-09 00:00:00",60.76,,44.19
"2024-03-10 00:00:00",35.22,,48.55
"2024-03-11 00:00:00",26.99,,50.52
"2024-03-12 00:00:00",47.85,,51.93
"2024-03-13 00:00:00",68.81,,48.75
"2024-03-14 00:00:00",67.8,,47.58
"2024-03-15 00:00:00",56.07,,47.08
"2024-03-16 00:00:00",38.5,,45.56
"2024-03-17 00:00:00",27.03,,42.79
"2024-03-18 00:00:00",23.47,,41.75
"2024-03-19 00:00:00",37.25,,41.13
"2024-03-20 00:00:00",49.41,,42.55
"2024-03-21 00:00:00",60.49,,44.12
"2024-03-22 00:00:00",51.73,,44.96
"2024-03-23 00:00:00",48.48,,46.69
"2024-03-24 00:00:00",37.98,,46.8
"2024-03-25 00:00:00",29.35,,48.72
"2024-03-26 00:00:00",49.41,,50.77
"2024-03-27 00:00:00",50.13,,52.86
"2024-03-28 00:00:00",73.94,,52.55
"2024-03-29 00:00:00",66.08,,52.95
"2024-03-30 00:00:00",63.11,,51.04
"2024-03-31 00:00:00",35.85,,51.05
"2024-04-01 01:00:00",32.14,,53.36
"2024-04-02 01:00:00",36.05,,56.73
"2024-04-03 01:00:00",50.17,,58.95
"2024-04-04 01:00:00",90.13,,60.01
"2024-04-05 01:00:00",89.63,,60.29
"2024-04-06 01:00:00",78.69,,63.59
"2024-04-07 01:00:00",43.24,,67.74
"2024-04-08 01:00:00",34.09,,67.38
"2024-04-09 01:00:00",59.21,,65.51
"2024-04-10 01:00:00",79.2,,61.34
"2024-04-11 01:00:00",87.57,,61.36
"2024-04-12 01:00:00",76.55,,60.77
"2024-04-13 01:00:00",49.51,,58.69
"2024-04-14 01:00:00",43.36,,54.66
"2024-04-15 01:00:00",30.02,,50.37
"2024-04-16 01:00:00",44.59,,45.74
"2024-04-17 01:00:00",51.02,,41.96
"2024-04-18 01:00:00",57.56,,38.59
"2024-04-19 01:00:00",44.1,,36.96
"2024-04-20 01:00:00",23.1,,35.16
"2024-04-21 01:00:00",19.74,,33.2
"2024-04-22 01:00:00",18.59,,30.29
"2024-04-23 01:00:00",31.99,,31.02
"2024-04-24 01:00:00",37.35,,33.27
"2024-04-25 01:00:00",37.13,,34.53
"2024-04-26 01:00:00",49.27,,35.42
"2024-04-27 01:00:00",38.83,,35.12
"2024-04-28 01:00:00",28.52,,39.17
"2024-04-29 01:00:00",24.84,,41.83
"2024-04-30 01:00:00",29.89,,42.69
"2024-05-01 01:00:00",65.69,,45.46
"2024-05-02 01:00:00",55.75,,46.28
"2024-05-03 01:00:00",55.33,,46.68
"2024-05-04 01:00:00",58.22,,47.69
"2024-05-05 01:00:00",34.25,,43.8
"2024-05-06 01:00:00",27.61,,47.23
"2024-05-07 01:00:00",36.98,,49.23
"2024-05-08 01:00:00",38.45,,47.48
"2024-05-09 01:00:00",79.8,,46.93
"2024-05-10 01:00:00",69.31,,47
"2024-05-11 01:00:00",45.95,,47.16
"2024-05-12 01:00:00",30.43,,49.75
"2024-05-13 01:00:00",28.11,,47.32
"2024-05-14 01:00:00",38.05,,48.58
"2024-05-15 01:00:00",56.63,,49.45
"2024-05-16 01:00:00",62.76,,49.46
"2024-05-17 01:00:00",78.14,,49.07
"2024-05-18 01:00:00",52,,49.36
"2024-05-19 01:00:00",30.53,,48.54
"2024-05-20 01:00:00",25.37,,48.12
"2024-05-21 01:00:00",40.12,,46.12
"2024-05-22 01:00:00",50.87,,46.16
"2024-05-23 01:00:00",59.78,,46.32
"2024-05-24 01:00:00",64.2,,47.24
"2024-05-25 01:00:00",52.28,,45.64
