"Time","Sales","Trend Line","7-Day Moving Average"
"2024-02-24 00:00:00",30.46,141.6516820668093,30.69
"2024-02-25 00:00:00",27.53,,30.33
"2024-02-26 00:00:00",24.36,,31.6
"2024-02-27 00:00:00",41.1,,38.33
"2024-02-28 00:00:00",33.81,,41
"2024-02-29 00:00:00",39.55,,41.36
"2024-03-01 00:00:00",71.47,,41.36
"2024-03-02 00:00:00",49.18,,41.96
"2024-03-03 00:00:00",30.02,,42.84
"2024-03-04 00:00:00",24.4,,47.19
"2024-03-05 00:00:00",45.29,,46.33
"2024-03-06 00:00:00",39.94,,43.14
"2024-03-07 00:00:00",70.06,,47.03
"2024-03-08 00:00:00",65.4,,46.35
"2024-03-09 00:00:00",26.89,,42.77
"2024-03-10 00:00:00",57.22,,40.64
"2024-03-11 00:00:00",19.63,,34.64
"2024-03-12 00:00:00",20.27,,33.36
"2024-03-13 00:00:00",24.99,,35.14
"2024-03-14 00:00:00",28.05,,31.17
"2024-03-15 00:00:00",56.5,,32.4
"2024-03-16 00:00:00",39.33,,34.97
"2024-03-17 00:00:00",29.39,,45.55
"2024-03-18 00:00:00",28.29,,46.79
"2024-03-19 00:00:00",38.22,,45.26
"2024-03-20 00:00:00",99.07,,45.57
"2024-03-21 00:00:00",36.74,,45.47
"2024-03-22 00:00:00",45.81,,45.3
"2024-03-23 00:00:00",41.5,,46.62
"2024-03-24 00:00:00",28.69,,40.05
"2024-03-25 00:00:00",27.07,,45.39
"2024-03-26 00:00:00",47.44,,46.9
"2024-03-27 00:00:00",53.08,,47.29
"2024-03-28 00:00:00",74.15,,48.38
"2024-03-29 00:00:00",56.39,,51.34
"2024-03-30 00:00:00",44.19,,52.81
"2024-03-31 00:00:00",36.31,,56.06
"2024-04-01 01:00:00",47.82,,58.19
"2024-04-02 01:00:00",57.74,,62.66
"2024-04-03 01:00:00",75.79,,67.57
"2024-04-04 01:00:00",89.08,,75.62
"2024-04-05 01:00:00",87.7,,73.92
"2024-04-06 01:00:00",78.57,,77.29
"2024-04-07 01:00:00",92.67,,71.91
"2024-04-08 01:00:00",35.87,,67.46
"2024-04-09 01:00:00",81.32,,67.94
"2024-04-10 01:00:00",38.14,,62.16
"2024-04-11 01:00:00",57.98,,56.23
"2024-04-12 01:00:00",91.02,,60.3
"2024-04-13 01:00:00",0,,40.16
"2024-04-14 01:00:00",31.32,,43.66
"2024-04-15 01:00:00",31.32,,39.85
"2024-04-16 01:00:00",31.32,,31.32
"2024-04-17 01:00:00",31.32,,31.32
"2024-04-18 01:00:00",31.32,,31.32
"2024-04-19 01:00:00",31.32,,31.32
"2024-04-20 01:00:00",31.32,,31.32
"2024-04-21 01:00:00",31.32,,31.32
"2024-04-22 01:00:00",31.32,,31.32
"2024-04-23 01:00:00",31.32,,31.32
"2024-04-24 01:00:00",31.32,,31.32
"2024-04-25 01:00:00",31.32,,31.32
"2024-04-26 01:00:00",31.32,,31.32
"2024-04-27 01:00:00",31.32,,31.32
"2024-04-28 01:00:00",31.32,,31.32
"2024-04-29 01:00:00",31.32,,31.32
"2024-04-30 01:00:00",31.32,,31.32
"2024-05-01 01:00:00",31.32,,31.32
"2024-05-02 01:00:00",31.32,,31.32
"2024-05-03 01:00:00",31.32,,31.32
"2024-05-04 01:00:00",31.32,,31.32
"2024-05-05 01:00:00",31.32,,31.32
"2024-05-06 01:00:00",31.32,,31.32
"2024-05-07 01:00:00",31.32,,31.32
"2024-05-08 01:00:00",31.32,,31.32
"2024-05-09 01:00:00",31.32,,31.32
"2024-05-10 01:00:00",31.32,,31.32
"2024-05-11 01:00:00",31.32,,31.32
"2024-05-12 01:00:00",31.32,,31.32
"2024-05-13 01:00:00",31.32,,31.32
"2024-05-14 01:00:00",31.32,,31.32
"2024-05-15 01:00:00",31.32,,31.32
"2024-05-16 01:00:00",31.32,,31.32
"2024-05-17 01:00:00",31.32,,31.32
"2024-05-18 01:00:00",31.32,,31.32
"2024-05-19 01:00:00",31.32,,31.32
"2024-05-20 01:00:00",31.32,,31.32
"2024-05-21 01:00:00",31.32,,31.32
"2024-05-22 01:00:00",31.32,,31.32
"2024-05-23 01:00:00",31.32,,31.32
"2024-05-24 01:00:00",31.32,,31.32
"2024-05-25 01:00:00",31.32,,31.32
"2024-05-26 01:00:00",31.32,,31.32
"2024-05-27 01:00:00",31.32,,31.32
"2024-05-28 01:00:00",31.32,,31.32
"2024-05-29 01:00:00",31.32,,31.32
"2024-05-30 01:00:00",31.32,,31.32
"2024-05-31 01:00:00",31.32,,31.32
