"Time","Sales","Trend Line","7-Day Moving Average"
"2024-02-24 00:00:00",1.33,3.2875438234203695,1.31
"2024-02-25 00:00:00",0.84,,1.3
"2024-02-26 00:00:00",1.91,,1.56
"2024-02-27 00:00:00",1.07,,1.59
"2024-02-28 00:00:00",2.29,,1.57
"2024-02-29 00:00:00",1.6,,1.56
"2024-03-01 00:00:00",2.06,,1.6
"2024-03-02 00:00:00",1.22,,1.56
"2024-03-03 00:00:00",0.74,,1.42
"2024-03-04 00:00:00",2.22,,1.32
"2024-03-05 00:00:00",0.81,,1.22
"2024-03-06 00:00:00",1.26,,1.14
"2024-03-07 00:00:00",0.96,,1.31
"2024-03-08 00:00:00",1.33,,1.17
"2024-03-09 00:00:00",0.67,,1.42
"2024-03-10 00:00:00",1.92,,1.57
"2024-03-11 00:00:00",1.24,,1.85
"2024-03-12 00:00:00",2.59,,1.98
"2024-03-13 00:00:00",2.26,,2.14
"2024-03-14 00:00:00",2.93,,2.05
"2024-03-15 00:00:00",2.26,,2.01
"2024-03-16 00:00:00",1.8,,1.94
"2024-03-17 00:00:00",1.29,,1.85
"2024-03-18 00:00:00",0.94,,1.6
"2024-03-19 00:00:00",2.11,,1.61
"2024-03-20 00:00:00",1.64,,1.57
"2024-03-21 00:00:00",1.17,,1.69
"2024-03-22 00:00:00",2.34,,1.8
"2024-03-23 00:00:00",1.52,,1.77
"2024-03-24 00:00:00",2.14,,2.19
"2024-03-25 00:00:00",1.71,,2.53
"2024-03-26 00:00:00",1.86,,2.85
"2024-03-27 00:00:00",4.57,,3
"2024-03-28 00:00:00",3.57,,3.33
"2024-03-29 00:00:00",4.57,,3.64
"2024-03-30 00:00:00",2.57,,4.2
"2024-03-31 00:00:00",4.45,,3.96
"2024-04-01 01:00:00",3.87,,3.73
"2024-04-02 01:00:00",5.81,,3.44
"2024-04-03 01:00:00",2.9,,3.43
"2024-04-04 01:00:00",1.94,,3.16
"2024-04-05 01:00:00",2.52,,2.97
"2024-04-06 01:00:00",2.52,,2.99
"2024-04-07 01:00:00",2.56,,3.03
"2024-04-08 01:00:00",2.56,,3.29
"2024-04-09 01:00:00",5.93,,3.5
"2024-04-10 01:00:00",3.19,,3.43
"2024-04-11 01:00:00",3.74,,3.37
"2024-04-12 01:00:00",4.02,,3.45
"2024-04-13 01:00:00",2.01,,3.08
"2024-04-14 01:00:00",2.15,,3.1
"2024-04-15 01:00:00",3.13,,3.29
"2024-04-16 01:00:00",3.32,,3.39
"2024-04-17 01:00:00",3.32,,3.71
"2024-04-18 01:00:00",5.08,,3.91
