"Time","Sales","Trend Line","7-Day Moving Average"
"2025-03-06 00:00:00",0.36,5.374309644574734,0.58
"2025-03-07 00:00:00",0.68,,0.86
"2025-03-08 00:00:00",0.96,,0.99
"2025-03-09 00:00:00",1,,1.24
"2025-03-10 00:00:00",1.67,,1.43
"2025-03-11 00:00:00",1.33,,1.47
"2025-03-12 00:00:00",2.67,,1.57
"2025-03-13 00:00:00",1.67,,1.59
"2025-03-14 00:00:00",1,,1.48
"2025-03-15 00:00:00",1.67,,1.52
"2025-03-16 00:00:00",1.09,,1.43
"2025-03-17 00:00:00",0.91,,1.29
"2025-03-18 00:00:00",1.64,,1.28
"2025-03-19 00:00:00",2,,1.14
"2025-03-20 00:00:00",0.73,,1.2
"2025-03-21 00:00:00",0.91,,1.29
"2025-03-22 00:00:00",0.73,,1.27
"2025-03-23 00:00:00",1.5,,1.2
"2025-03-24 00:00:00",1.5,,1.63
"2025-03-25 00:00:00",1.5,,1.93
"2025-03-26 00:00:00",1.5,,2.14
"2025-03-27 00:00:00",3.75,,2.42
"2025-03-28 00:00:00",3,,2.42
"2025-03-29 00:00:00",2.25,,2.53
"2025-03-30 00:00:00",3.42,,2.46
"2025-03-31 01:00:00",1.54,,2.17
"2025-04-01 01:00:00",2.22,,1.93
"2025-04-02 01:00:00",1.03,,1.86
"2025-04-03 01:00:00",1.71,,1.6
"2025-04-04 01:00:00",1.37,,1.69
"2025-04-05 01:00:00",1.71,,1.77
"2025-04-06 01:00:00",1.64,,2.17
"2025-04-07 01:00:00",2.18,,2.47
"2025-04-08 01:00:00",2.73,,2.58
"2025-04-09 01:00:00",3.82,,2.57
"2025-04-10 01:00:00",3.82,,2.5
"2025-04-11 01:00:00",2.18,,2.43
"2025-04-12 01:00:00",1.64,,2.29
"2025-04-13 01:00:00",1.14,,1.95
"2025-04-14 01:00:00",1.71,,1.52
"2025-04-15 01:00:00",1.71,,1.29
"2025-04-16 01:00:00",1.43,,1.14
"2025-04-17 01:00:00",0.86,,1.15
"2025-04-18 01:00:00",0.57,,1.02
"2025-04-19 01:00:00",0.57,,0.86
"2025-04-20 01:00:00",1.2,,0.71
"2025-04-21 01:00:00",0.78,,1.03
"2025-04-22 01:00:00",0.6,,1.45
"2025-04-23 01:00:00",0.42,,1.94
"2025-04-24 01:00:00",3.05,,2.04
"2025-04-25 01:00:00",3.54,,2.14
"2025-04-26 01:00:00",3.97,,2.3
"2025-04-27 01:00:00",1.94,,2.45
"2025-04-28 01:00:00",1.46,,2.29
"2025-04-29 01:00:00",1.7,,2.37
"2025-04-30 01:00:00",1.46,,2.43
"2025-05-01 01:00:00",1.94,,2.71
"2025-05-02 01:00:00",4.13,,2.91
"2025-05-03 01:00:00",4.37,,2.95
"2025-05-04 01:00:00",3.92,,2.95
"2025-05-05 01:00:00",2.88,,2.99
"2025-05-06 01:00:00",1.96,,2.7
"2025-05-07 01:00:00",1.44,,2.43
"2025-05-08 01:00:00",2.22,,2.18
"2025-05-09 01:00:00",2.09,,2.05
"2025-05-10 01:00:00",2.48,,2.24
"2025-05-11 01:00:00",0,,0.97
