"Time","Sales","Trend Line","7-Day Moving Average"
"2024-02-24 00:00:00",63.17,138.1577374198305,59.4
"2024-02-25 00:00:00",64.28,,60.5
"2024-02-26 00:00:00",43.87,,62.04
"2024-02-27 00:00:00",54.97,,73.54
"2024-02-28 00:00:00",68.64,,73.29
"2024-02-29 00:00:00",95.49,,74.35
"2024-03-01 00:00:00",124.34,,75.46
"2024-03-02 00:00:00",61.42,,79.75
"2024-03-03 00:00:00",71.73,,85.83
"2024-03-04 00:00:00",51.6,,84.32
"2024-03-05 00:00:00",85.05,,77.65
"2024-03-06 00:00:00",111.15,,88.43
"2024-03-07 00:00:00",84.96,,85.1
"2024-03-08 00:00:00",77.61,,94.13
"2024-03-09 00:00:00",136.9,,89.72
"2024-03-10 00:00:00",48.45,,81.57
"2024-03-11 00:00:00",114.81,,76.97
"2024-03-12 00:00:00",54.13,,78.91
"2024-03-13 00:00:00",54.1,,80.86
"2024-03-14 00:00:00",52.77,,83.88
"2024-03-15 00:00:00",91.18,,77.37
"2024-03-16 00:00:00",150.56,,89
"2024-03-17 00:00:00",69.63,,104.88
"2024-03-18 00:00:00",69.2,,122.31
"2024-03-19 00:00:00",135.57,,130.66
"2024-03-20 00:00:00",165.26,,129.29
"2024-03-21 00:00:00",174.75,,138.74
"2024-03-22 00:00:00",149.64,,146.44
"2024-03-23 00:00:00",140.95,,140.63
"2024-03-24 00:00:00",135.78,,129.02
"2024-03-25 00:00:00",123.16,,114.22
"2024-03-26 00:00:00",94.88,,102.79
"2024-03-27 00:00:00",83.99,,90
"2024-03-28 00:00:00",71.16,,78.35
"2024-03-29 00:00:00",69.64,,71.3
"2024-03-30 00:00:00",51.39,,75.96
"2024-03-31 00:00:00",54.25,,82.14
"2024-04-01 01:00:00",73.8,,87.53
"2024-04-02 01:00:00",127.5,,94.06
"2024-04-03 01:00:00",127.23,,100.29
"2024-04-04 01:00:00",108.89,,107.69
"2024-04-05 01:00:00",115.34,,107.21
"2024-04-06 01:00:00",95,,100.23
"2024-04-07 01:00:00",106.1,,98.57
"2024-04-08 01:00:00",70.4,,97.05
"2024-04-09 01:00:00",78.68,,111.65
"2024-04-10 01:00:00",115.57,,114
"2024-04-11 01:00:00",98.29,,110.05
"2024-04-12 01:00:00",217.49,,109.95
"2024-04-13 01:00:00",111.45,,111.13
"2024-04-14 01:00:00",78.44,,113.16
"2024-04-15 01:00:00",69.73,,121.71
"2024-04-16 01:00:00",86.96,,117.34
"2024-04-17 01:00:00",129.77,,127.57
"2024-04-18 01:00:00",158.14,,145.16
"2024-04-19 01:00:00",186.89,,171.49
"2024-04-20 01:00:00",183.07,,178.15
"2024-04-21 01:00:00",201.55,,173.27
"2024-04-22 01:00:00",254.07,,161.79
"2024-04-23 01:00:00",133.56,,147.65
"2024-04-24 01:00:00",95.64,,132.57
"2024-04-25 01:00:00",77.72,,121.06
"2024-04-26 01:00:00",87.94,,95.71
"2024-04-27 01:00:00",77.52,,94.79
"2024-04-28 01:00:00",121,,95.9
"2024-04-29 01:00:00",76.57,,104.71
"2024-04-30 01:00:00",127.15,,120.45
"2024-05-01 01:00:00",103.37,,131.71
"2024-05-02 01:00:00",139.45,,126.93
"2024-05-03 01:00:00",198.12,,128.3
"2024-05-04 01:00:00",156.34,,127.87
"2024-05-05 01:00:00",87.5,,140.79
"2024-05-06 01:00:00",86.19,,159.19
"2024-05-07 01:00:00",124.13,,153.2
"2024-05-08 01:00:00",193.8,,144.43
"2024-05-09 01:00:00",268.26,,143.51
"2024-05-10 01:00:00",156.21,,143.04
"2024-05-11 01:00:00",94.91,,145.33
"2024-05-12 01:00:00",81.06,,143.07
"2024-05-13 01:00:00",82.92,,133.87
"2024-05-14 01:00:00",140.16,,140.63
"2024-05-15 01:00:00",177.97,,152.86
"2024-05-16 01:00:00",203.87,,186.18
"2024-05-17 01:00:00",203.5,,210.21
"2024-05-18 01:00:00",180.52,,212.38
"2024-05-19 01:00:00",314.33,,212.9
"2024-05-20 01:00:00",251.12,,207.15
"2024-05-21 01:00:00",155.37,,199.68
"2024-05-22 01:00:00",181.59,,190
"2024-05-23 01:00:00",163.64,,159.29
"2024-05-24 01:00:00",151.22,,138.92
"2024-05-25 01:00:00",112.74,,134.19
"2024-05-26 01:00:00",99.33,,141.82
"2024-05-27 01:00:00",108.53,,157.09
"2024-05-28 01:00:00",122.27,,169.57
"2024-05-29 01:00:00",235.01,,177.71
"2024-05-30 01:00:00",270.55,,178.45
"2024-05-31 01:00:00",238.58,,180.33
"2024-06-01 01:00:00",169.72,,187.36
"2024-06-02 01:00:00",104.47,,184.18
"2024-06-03 01:00:00",121.68,,180.63
"2024-06-04 01:00:00",171.49,,183.28
"2024-06-05 01:00:00",212.75,,191.43
"2024-06-06 01:00:00",245.72,,207.4
"2024-06-07 01:00:00",257.15,,212.23
"2024-06-08 01:00:00",226.75,,224.06
"2024-06-09 01:00:00",216.27,,246.61
"2024-06-10 01:00:00",155.49,,231.4
"2024-06-11 01:00:00",254.29,,213.66
"2024-06-12 01:00:00",370.58,,198.57
"2024-06-13 01:00:00",139.27,,183.7
"2024-06-14 01:00:00",132.96,,177.49
"2024-06-15 01:00:00",121.13,,165.89
"2024-06-16 01:00:00",112.16,,139.2
"2024-06-17 01:00:00",112.06,,149.23
"2024-06-18 01:00:00",173.04,,174.48
"2024-06-19 01:00:00",183.78,,195.71
"2024-06-20 01:00:00",209.48,,201.45
"2024-06-21 01:00:00",309.73,,207.55
"2024-06-22 01:00:00",269.75,,206.65
"2024-06-23 01:00:00",152.3,,215.5
"2024-06-24 01:00:00",154.77,,223.48
"2024-06-25 01:00:00",166.72,,214.69
"2024-06-26 01:00:00",245.77,,191.71
"2024-06-27 01:00:00",265.29,,193.41
"2024-06-28 01:00:00",248.24,,195.77
"2024-06-29 01:00:00",108.91,,193.67
"2024-06-30 01:00:00",164.14,,191.84
"2024-07-01 01:00:00",171.33,,201.87
"2024-07-02 01:00:00",151.98,,182.76
"2024-07-03 01:00:00",232.96,,184.86
"2024-07-04 01:00:00",335.51,,184.75
"2024-07-05 01:00:00",114.52,,181.76
"2024-07-06 01:00:00",123.56,,201.1
"2024-07-07 01:00:00",163.41,,190.51
"2024-07-08 01:00:00",150.41,,157.76
"2024-07-09 01:00:00",287.31,,173.07
