"Time","Sales","Trend Line","7-Day Moving Average"
"2025-09-14 01:00:00",433.32,332.7345447471875,413.73
"2025-09-15 01:00:00",370.13,,350.87
"2025-09-16 01:00:00",359.36,,337.43
"2025-09-17 01:00:00",0,,279.57
"2025-09-18 01:00:00",182.89,,289.02
"2025-09-19 01:00:00",297.58,,296.28
"2025-09-20 01:00:00",313.72,,291.64
"2025-09-21 01:00:00",316.59,,291.93
"2025-09-22 01:00:00",306.22,,304.27
"2025-09-23 01:00:00",310.76,,287.48
"2025-09-24 01:00:00",315.74,,262.86
"2025-09-25 01:00:00",269.25,,239.92
"2025-09-26 01:00:00",180.08,,220.07
"2025-09-27 01:00:00",141.35,,202.41
"2025-09-28 01:00:00",156.07,,193.51
"2025-09-29 01:00:00",167.25,,199.51
"2025-09-30 01:00:00",187.1,,226.32
"2025-10-01 01:00:00",253.44,,267.29
"2025-10-02 01:00:00",311.31,,320.23
"2025-10-03 01:00:00",367.71,,367.41
"2025-10-04 01:00:00",428.12,,403.62
"2025-10-05 01:00:00",526.66,,431.4
"2025-10-06 01:00:00",497.51,,422.04
"2025-10-07 01:00:00",440.56,,396.68
"2025-10-08 01:00:00",447.91,,369.57
"2025-10-09 01:00:00",245.79,,326.11
"2025-10-10 01:00:00",190.18,,305.19
"2025-10-11 01:00:00",238.39,,301.09
"2025-10-12 01:00:00",222.46,,275.49
"2025-10-13 01:00:00",351.04,,283.23
"2025-10-14 01:00:00",411.87,,297.27
"2025-10-15 01:00:00",268.68,,293
"2025-10-16 01:00:00",300,,283.23
"2025-10-17 01:00:00",288.42,,260.69
"2025-10-18 01:00:00",208.52,,231.24
"2025-10-19 01:00:00",154.05,,222.84
"2025-10-20 01:00:00",193.28,,209.96
"2025-10-21 01:00:00",205.72,,224.47
"2025-10-22 01:00:00",209.91,,290
"2025-10-23 01:00:00",209.81,,313.35
"2025-10-24 01:00:00",389.98,,321.26
"2025-10-25 01:00:00",667.24,,327.69
"2025-10-26 01:00:00",317.48,,344.11
"2025-10-27 00:00:00",248.65,,376.53
"2025-10-28 00:00:00",250.73,,358.96
"2025-10-29 00:00:00",324.88,,288.29
"2025-10-30 00:00:00",436.74,,271.53
"2025-10-31 00:00:00",267.03,,260.36
"2025-11-01 00:00:00",172.49,,254.68
"2025-11-02 00:00:00",200.17,,245.75
"2025-11-03 00:00:00",170.49,,242.28
"2025-11-04 00:00:00",210.95,,266.95
"2025-11-05 00:00:00",262.37,,308.57
"2025-11-06 00:00:00",412.45,,336.88
"2025-11-07 00:00:00",439.76,,348.5
"2025-11-08 00:00:00",463.81,,340.92
"2025-11-09 00:00:00",398.3,,325.7
"2025-11-10 00:00:00",251.86,,290.6
"2025-11-11 00:00:00",157.88,,249.85
"2025-11-12 00:00:00",155.85,,202.43
"2025-11-13 00:00:00",166.77,,198.83
"2025-11-14 00:00:00",154.5,,196.42
"2025-11-15 00:00:00",131.83,,195.4
"2025-11-16 00:00:00",373.09,,197.62
"2025-11-17 00:00:00",235.04,,215.97
"2025-11-18 00:00:00",150.74,,238.73
"2025-11-19 00:00:00",171.35,,249.29
"2025-11-20 00:00:00",295.22,,267.2
"2025-11-21 00:00:00",313.83,,266.07
"2025-11-22 00:00:00",205.73,,267.69
"2025-11-23 00:00:00",498.48,,264.95
"2025-11-24 00:00:00",227.12,,248.21
"2025-11-25 00:00:00",162.13,,228.83
"2025-11-26 00:00:00",152.15,,219.43
"2025-11-27 00:00:00",178.05,,202.8
"2025-11-28 00:00:00",178.15,,190.07
"2025-11-29 00:00:00",139.92,,181.42
"2025-11-30 00:00:00",382.09,,170.19
"2025-12-01 00:00:00",138.01,,160.2
"2025-12-02 00:00:00",101.56,,156.72
"2025-12-03 00:00:00",73.57,,164.57
"2025-12-04 00:00:00",108.08,,127.38
"2025-12-05 00:00:00",153.83,,129.27
"2025-12-06 00:00:00",194.87,,137
"2025-12-07 00:00:00",121.77,,158.46
"2025-12-08 00:00:00",151.2,,157.34
"2025-12-09 00:00:00",155.71,,150.46
"2025-12-10 00:00:00",223.77,,146.57
"2025-12-11 00:00:00",100.2,,193.25
"2025-12-12 00:00:00",105.68,,204.21
"2025-12-13 00:00:00",167.66,,204.3
"2025-12-14 00:00:00",448.55,,192.77
"2025-12-15 00:00:00",227.87,,190.39
"2025-12-16 00:00:00",156.35,,192.59
"2025-12-17 00:00:00",143.05,,190.14
"2025-12-18 00:00:00",83.56,,131.76
"2025-12-19 00:00:00",121.12,,119.09
"2025-12-20 00:00:00",150.51,,118.89
"2025-12-21 00:00:00",39.83,,139.62
"2025-12-22 00:00:00",139.24,,137.89
"2025-12-23 00:00:00",154.92,,134.94
"2025-12-24 00:00:00",288.18,,132.72
"2025-12-25 00:00:00",71.42,,168.65
"2025-12-26 00:00:00",100.46,,165.36
"2025-12-27 00:00:00",134.96,,155.67
"2025-12-28 00:00:00",291.35,,126.78
"2025-12-29 00:00:00",116.26,,130.09
"2025-12-30 00:00:00",87.04,,127.12
"2025-12-31 00:00:00",85.95,,121.14
"2026-01-01 00:00:00",94.63,,87.7
"2026-01-02 00:00:00",79.68,,78.32
"2026-01-03 00:00:00",93.09,,71.97
"2026-01-04 00:00:00",57.23,,98.5
"2026-01-05 00:00:00",50.62,,106.76
"2026-01-06 00:00:00",42.57,,112.23
"2026-01-07 00:00:00",271.69,,120.85
"2026-01-08 00:00:00",152.46,,130.34
"2026-01-09 00:00:00",117.93,,131.42
"2026-01-10 00:00:00",153.48,,139.61
"2026-01-11 00:00:00",123.64,,121.4
"2026-01-12 00:00:00",58.15,,112.79
"2026-01-13 00:00:00",99.89,,105.9
"2026-01-14 00:00:00",144.27,,92.29
"2026-01-15 00:00:00",92.16,,89.8
"2026-01-16 00:00:00",69.72,,95.91
"2026-01-17 00:00:00",58.17,,94.45
"2026-01-18 00:00:00",106.22,,88.91
"2026-01-19 00:00:00",100.91,,85.57
"2026-01-20 00:00:00",89.71,,81.75
"2026-01-21 00:00:00",105.45,,78.86
"2026-01-22 00:00:00",68.79,,70.05
"2026-01-23 00:00:00",43.01,,62.11
"2026-01-24 00:00:00",37.91,,56.95
"2026-01-25 00:00:00",44.55,,50.9
"2026-01-26 00:00:00",45.35,,50.49
"2026-01-27 00:00:00",53.61,,57.6
"2026-01-28 00:00:00",63.05,,72.86
"2026-01-29 00:00:00",65.97,,84.3
"2026-01-30 00:00:00",92.76,,91.26
"2026-01-31 00:00:00",144.71,,91.1
"2026-02-01 00:00:00",124.62,,96.78
"2026-02-02 00:00:00",94.11,,98.18
"2026-02-03 00:00:00",52.5,,98.67
"2026-02-04 00:00:00",102.8,,92.57
"2026-02-05 00:00:00",75.78,,91.6
"2026-02-06 00:00:00",96.2,,85.7
"2026-02-07 00:00:00",101.98,,85.21
"2026-02-08 00:00:00",117.82,,82.22
"2026-02-09 00:00:00",52.81,,85.3
"2026-02-10 00:00:00",49.08,,79.22
"2026-02-11 00:00:00",81.89,,72.71
"2026-02-12 00:00:00",97.33,,64.49
"2026-02-13 00:00:00",53.61,,70.18
"2026-02-14 00:00:00",56.46,,91.15
"2026-02-15 00:00:00",60.27,,86.1
"2026-02-16 00:00:00",92.63,,76.76
"2026-02-17 00:00:00",195.88,,74.84
"2026-02-18 00:00:00",46.5,,83.14
"2026-02-19 00:00:00",31.94,,81.78
"2026-02-20 00:00:00",40.18,,74.27
"2026-02-21 00:00:00",114.6,,57.25
"2026-02-22 00:00:00",50.75,,57.85
"2026-02-23 00:00:00",40.06,,57.49
"2026-02-24 00:00:00",76.69,41.23079530151131,73.17
