"Time","Sales","Trend Line","7-Day Moving Average"
"2025-07-26 01:00:00",9720.86,10610.281032776096,10204.75
"2025-07-27 01:00:00",0,,6213.04
"2025-07-28 01:00:00",11954.14,,11193.42
"2025-07-29 01:00:00",10874.81,,10896.42
"2025-07-30 01:00:00",10941.44,,11084.21
"2025-07-31 01:00:00",10954.43,,10969.32
"2025-08-01 01:00:00",10954.43,,10084.63
"2025-08-02 01:00:00",10968.75,,9322.17
"2025-08-03 01:00:00",10137.23,,9360.76
"2025-08-04 01:00:00",5761.32,,9363.56
"2025-08-05 01:00:00",5537.62,,9276.89
"2025-08-06 01:00:00",11211.51,,9394.71
"2025-08-07 01:00:00",10974.05,,9198.28
"2025-08-08 01:00:00",10347.72,,9626.97
"2025-08-09 01:00:00",11793.55,,10212.37
"2025-08-10 01:00:00",8762.18,,9737.72
"2025-08-11 01:00:00",8762.18,,9415.13
"2025-08-12 01:00:00",9635.39,,9239.2
"2025-08-13 01:00:00",7888.97,,8856.72
"2025-08-14 01:00:00",8715.91,,8951.72
"2025-08-15 01:00:00",9116.19,,9046.73
"2025-08-16 01:00:00",9116.19,,8895.35
"2025-08-17 01:00:00",9427.24,,8993.46
"2025-08-18 01:00:00",9427.24,,8937.28
"2025-08-19 01:00:00",8575.72,,8860.07
"2025-08-20 01:00:00",8575.72,,8782.86
"2025-08-21 01:00:00",8322.64,,8808.92
"2025-08-22 01:00:00",8575.72,,8729.16
"2025-08-23 01:00:00",8575.72,,8771.04
"2025-08-24 01:00:00",9609.68,,8713.33
"2025-08-25 01:00:00",8868.89,,8769.23
"2025-08-26 01:00:00",8868.89,,8788.97
"2025-08-27 01:00:00",8171.78,,8808.71
"2025-08-28 01:00:00",8713.92,,8581.36
"2025-08-29 01:00:00",8713.92,,8459.82
"2025-08-30 01:00:00",8713.92,,8240.71
"2025-08-31 01:00:00",8018.17,,8563.86
"2025-09-01 01:00:00",8018.17,,8349.57
"2025-09-02 01:00:00",7335.1,,8443.53
"2025-09-03 01:00:00",10433.79,,8531.71
"2025-09-04 01:00:00",7213.89,,8847.23
"2025-09-05 01:00:00",9371.64,,8462.16
"2025-09-06 01:00:00",9331.24,,8329.57
"2025-09-07 01:00:00",10226.78,,7746.47
"2025-09-08 01:00:00",5322.69,,7623.35
"2025-09-09 01:00:00",6406.93,,7191.99
"2025-09-10 01:00:00",6352.1,,6803.43
"2025-09-11 01:00:00",6352.1,,6424.79
"2025-09-12 01:00:00",6352.1,,6746.73
"2025-09-13 01:00:00",6611.31,,7328.92
"2025-09-14 01:00:00",7576.3,,7503.81
"2025-09-15 01:00:00",7576.3,,7638.73
"2025-09-16 01:00:00",10482.23,,8188.78
"2025-09-17 01:00:00",0,,7029
"2025-09-18 01:00:00",7296.54,,8002.68
"2025-09-19 01:00:00",7296.54,,7791.33
"2025-09-20 01:00:00",8975.09,,7867.96
"2025-09-21 01:00:00",7095.53,,7349.9
"2025-09-22 01:00:00",6096.85,,7244.75
"2025-09-23 01:00:00",9340.1,,7035.35
"2025-09-24 01:00:00",5348.66,,7084.86
"2025-09-25 01:00:00",6560.47,,7120.99
"2025-09-26 01:00:00",5830.76,,7299.8
"2025-09-27 01:00:00",9321.62,,7015.28
"2025-09-28 01:00:00",7348.49,,7298.77
"2025-09-29 01:00:00",7348.49,,7411.35
"2025-09-30 01:00:00",7348.49,,7628.17
"2025-10-01 01:00:00",7333.09,,7346.29
"2025-10-02 01:00:00",7348.49,,7834.18
"2025-10-03 01:00:00",7348.49,,8322.07
"2025-10-04 01:00:00",7348.49,,8871.59
"2025-10-05 01:00:00",10763.71,,9282.48
"2025-10-06 01:00:00",10763.71,,9564.6
"2025-10-07 01:00:00",11195.18,,9846.73
"2025-10-08 01:00:00",10209.27,,10128.86
"2025-10-09 01:00:00",9323.38,,9830.94
"2025-10-10 01:00:00",9323.38,,9533.02
"2025-10-11 01:00:00",9323.38,,8853.21
"2025-10-12 01:00:00",8678.27,,8525
"2025-10-13 01:00:00",8678.27,,8609.68
"2025-10-14 01:00:00",6436.52,,8392.62
"2025-10-15 01:00:00",7911.8,,8175.57
"2025-10-16 01:00:00",9916.11,,7959.83
"2025-10-17 01:00:00",7804.02,,7744.08
"2025-10-18 01:00:00",7804.02,,7925.24
"2025-10-19 01:00:00",7168.05,,7850.49
"2025-10-20 01:00:00",7168.05,,7534.57
"2025-10-21 01:00:00",7704.66,,7815.92
"2025-10-22 01:00:00",7388.55,,8048
"2025-10-23 01:00:00",7704.66,,8187.84
"2025-10-24 01:00:00",9773.42,,8262.27
"2025-10-25 01:00:00",9428.62,,8134.07
"2025-10-26 01:00:00",8146.92,,8106.09
"2025-10-27 00:00:00",7689.08,,8032.96
"2025-10-28 00:00:00",6807.23,,7664.28
"2025-10-29 00:00:00",7192.71,,7565.14
"2025-10-30 00:00:00",7192.71,,7464.44
"2025-10-31 00:00:00",7192.71,,7429.15
"2025-11-01 00:00:00",8734.63,,7519.83
"2025-11-02 00:00:00",7442.02,,7555.45
"2025-11-03 00:00:00",7442.02,,7591.06
"2025-11-04 00:00:00",7442.02,,7776.67
"2025-11-05 00:00:00",7442.02,,7830
"2025-11-06 00:00:00",7442.02,,7664.29
"2025-11-07 00:00:00",8491.99,,7498.59
"2025-11-08 00:00:00",9107.89,,7332.88
"2025-11-09 00:00:00",6282.08,,7444.65
"2025-11-10 00:00:00",6282.08,,7394.5
"2025-11-11 00:00:00",6282.08,,7288.49
"2025-11-12 00:00:00",8224.4,,6937.14
"2025-11-13 00:00:00",7091.01,,6947.21
"2025-11-14 00:00:00",7749.88,,6978.78
"2025-11-15 00:00:00",6648.45,,7090.24
"2025-11-16 00:00:00",6352.56,,6635.2
"2025-11-17 00:00:00",6503.06,,6441.24
"2025-11-18 00:00:00",7062.33,,6153.16
"2025-11-19 00:00:00",5039.09,,5959.14
"2025-11-20 00:00:00",5733.33,,5782.02
"2025-11-21 00:00:00",5733.33,,5526.83
"2025-11-22 00:00:00",5290.3,,5094.36
"2025-11-23 00:00:00",5112.68,,5316.96
"2025-11-24 00:00:00",4716.76,,5034.04
"2025-11-25 00:00:00",4035.01,,4771.34
"2025-11-26 00:00:00",6597.31,,4538
"2025-11-27 00:00:00",3752.88,,4297.15
"2025-11-28 00:00:00",3894.44,,4133.77
"2025-11-29 00:00:00",3656.92,,4006.06
"2025-11-30 00:00:00",3426.72,,3498.52
"2025-12-01 00:00:00",3573.14,,3503.52
"2025-12-02 00:00:00",3140.99,,3512.14
"2025-12-03 00:00:00",3044.57,,3816.28
"2025-12-04 00:00:00",3787.89,,3809.74
"2025-12-05 00:00:00",3954.74,,3759.52
"2025-12-06 00:00:00",5785.94,,3624.37
"2025-12-07 00:00:00",3380.92,,3672.41
"2025-12-08 00:00:00",3221.57,,3534.72
"2025-12-09 00:00:00",2194.93,,3319.42
"2025-12-10 00:00:00",3380.85,,2781.71
"2025-12-11 00:00:00",2824.08,,2561.22
"2025-12-12 00:00:00",2447.67,,2315.29
"2025-12-13 00:00:00",2021.98,,2263.9
"2025-12-14 00:00:00",1837.47,,1967.73
"2025-12-15 00:00:00",1500.02,,1767.35
"2025-12-16 00:00:00",1835.2,,1560.06
"2025-12-17 00:00:00",1307.68,,1505.71
"2025-12-18 00:00:00",1421.43,,1315.58
"2025-12-19 00:00:00",996.61,,1184.94
"2025-12-20 00:00:00",1641.59,,1015.07
"2025-12-21 00:00:00",506.55,,931.05
"2025-12-22 00:00:00",585.5,,841.87
"2025-12-23 00:00:00",646.16,,825.85
"2025-12-24 00:00:00",719.48,,718.29
"2025-12-25 00:00:00",797.22,,758.22
