"Time","Sales","Trend Line","7-Day Moving Average"
"2024-02-24 00:00:00",23.07,189.0230051410953,32.21
"2024-02-25 00:00:00",49.53,,45.2
"2024-02-26 00:00:00",36.66,,47.37
"2024-02-27 00:00:00",47.02,,56.03
"2024-02-28 00:00:00",61.08,,66
"2024-02-29 00:00:00",77.56,,77.09
"2024-03-01 00:00:00",97.26,,96.37
"2024-03-02 00:00:00",92.89,,102.42
"2024-03-03 00:00:00",127.17,,107
"2024-03-04 00:00:00",171.63,,107.55
"2024-03-05 00:00:00",89.35,,102.44
"2024-03-06 00:00:00",93.12,,101.86
"2024-03-07 00:00:00",81.41,,96.2
"2024-03-08 00:00:00",61.54,,81.14
"2024-03-09 00:00:00",88.77,,77.26
"2024-03-10 00:00:00",87.57,,71.54
"2024-03-11 00:00:00",66.25,,85.45
"2024-03-12 00:00:00",62.14,,87.83
"2024-03-13 00:00:00",53.12,,82.43
"2024-03-14 00:00:00",178.79,,81.25
"2024-03-15 00:00:00",78.14,,86.07
"2024-03-16 00:00:00",51.01,,90.25
"2024-03-17 00:00:00",79.3,,98.63
"2024-03-18 00:00:00",99.99,,83.73
"2024-03-19 00:00:00",91.37,,82.17
"2024-03-20 00:00:00",111.81,,81.43
"2024-03-21 00:00:00",74.47,,81.35
"2024-03-22 00:00:00",67.27,,76.8
"2024-03-23 00:00:00",45.79,,75.15
"2024-03-24 00:00:00",78.78,,71.69
"2024-03-25 00:00:00",68.09,,70.76
"2024-03-26 00:00:00",79.85,,69.14
"2024-03-27 00:00:00",87.55,,67.86
"2024-03-28 00:00:00",68.01,,65.37
"2024-03-29 00:00:00",55.93,,66.63
"2024-03-30 00:00:00",36.79,,69.58
"2024-03-31 00:00:00",61.39,,84.9
"2024-04-01 01:00:00",76.9,,87.59
"2024-04-02 01:00:00",100.51,,89.96
"2024-04-03 01:00:00",194.74,,92.86
"2024-04-04 01:00:00",86.85,,90.7
"2024-04-05 01:00:00",72.53,,86.76
"2024-04-06 01:00:00",57.08,,79.6
"2024-04-07 01:00:00",46.26,,63.73
"2024-04-08 01:00:00",49.36,,64.24
"2024-04-09 01:00:00",50.4,,73.53
"2024-04-10 01:00:00",83.61,,82.14
"2024-04-11 01:00:00",90.46,,84.36
"2024-04-12 01:00:00",137.55,,86.32
"2024-04-13 01:00:00",117.35,,91.99
"2024-04-14 01:00:00",61.77,,94.42
"2024-04-15 01:00:00",63.12,,97.41
"2024-04-16 01:00:00",90.06,,97.39
"2024-04-17 01:00:00",100.64,,106.29
"2024-04-18 01:00:00",111.38,,117.62
"2024-04-19 01:00:00",137.42,,122.16
"2024-04-20 01:00:00",179.61,,119.21
"2024-04-21 01:00:00",141.09,,126.15
"2024-04-22 01:00:00",94.95,,135.69
"2024-04-23 01:00:00",69.38,,136.22
"2024-04-24 01:00:00",149.24,,121.71
"2024-04-25 01:00:00",178.17,,114.26
"2024-04-26 01:00:00",141.13,,118.37
"2024-04-27 01:00:00",78.03,,127.14
"2024-04-28 01:00:00",88.9,,129.19
"2024-04-29 01:00:00",123.74,,134.77
"2024-04-30 01:00:00",130.79,,145.26
"2024-05-01 01:00:00",163.6,,161.86
"2024-05-02 01:00:00",217.21,,167.18
"2024-05-03 01:00:00",214.58,,163.68
"2024-05-04 01:00:00",194.19,,164.62
"2024-05-05 01:00:00",126.13,,180.71
"2024-05-06 01:00:00",99.25,,186.7
"2024-05-07 01:00:00",137.4,,184.38
"2024-05-08 01:00:00",276.18,,172.29
"2024-05-09 01:00:00",259.19,,169.62
"2024-05-10 01:00:00",198.33,,171.17
"2024-05-11 01:00:00",109.53,,170.02
"2024-05-12 01:00:00",107.45,,158.06
"2024-05-13 01:00:00",110.08,,162.07
"2024-05-14 01:00:00",129.39,,167.75
"2024-05-15 01:00:00",192.44,,194.71
"2024-05-16 01:00:00",287.28,,210.48
"2024-05-17 01:00:00",238.05,,223
"2024-05-18 01:00:00",298.31,,240.46
"2024-05-19 01:00:00",217.81,,259.81
"2024-05-20 01:00:00",197.7,,281.2
"2024-05-21 01:00:00",251.63,,321.55
"2024-05-22 01:00:00",327.91,,354
"2024-05-23 01:00:00",436.96,,365.49
"2024-05-24 01:00:00",520.51,,377.77
"2024-05-25 01:00:00",525.47,,389.29
"2024-05-26 01:00:00",298.28,,408.71
"2024-05-27 01:00:00",283.6,,437.52
"2024-05-28 01:00:00",332.28,,458.1
"2024-05-29 01:00:00",463.84,,490.28
"2024-05-30 01:00:00",638.63,,511.67
"2024-05-31 01:00:00",664.63,,561.19
"2024-06-01 01:00:00",750.73,,610.9
"2024-06-02 01:00:00",447.97,,645.19
"2024-06-03 01:00:00",630.28,,670.88
"2024-06-04 01:00:00",680.2,,727.96
"2024-06-05 01:00:00",703.91,,727.43
"2024-06-06 01:00:00",818.45,,779.01
