"Time","Sales","Trend Line","7-Day Moving Average"
"2024-02-24 00:00:00",47.93,46.93963682578618,41.82
"2024-02-25 00:00:00",36,,38.21
"2024-02-26 00:00:00",30.3,,40.03
"2024-02-27 00:00:00",34.7,,41.75
"2024-02-28 00:00:00",46.51,,41.24
"2024-02-29 00:00:00",54.45,,41.47
"2024-03-01 00:00:00",42.39,,42.17
"2024-03-02 00:00:00",44.35,,43.76
"2024-03-03 00:00:00",37.59,,45.51
"2024-03-04 00:00:00",35.21,,46.12
"2024-03-05 00:00:00",45.84,,48.17
"2024-03-06 00:00:00",58.74,,52.02
"2024-03-07 00:00:00",58.74,,51.32
"2024-03-08 00:00:00",56.75,,50.43
"2024-03-09 00:00:00",71.28,,48.56
"2024-03-10 00:00:00",32.69,,45.15
"2024-03-11 00:00:00",29,,41.43
"2024-03-12 00:00:00",32.69,,39.1
"2024-03-13 00:00:00",34.91,,34.69
"2024-03-14 00:00:00",32.69,,35.91
"2024-03-15 00:00:00",40.41,,37.48
"2024-03-16 00:00:00",40.41,,41.36
"2024-03-17 00:00:00",41.23,,45.77
"2024-03-18 00:00:00",39.99,,50.05
"2024-03-19 00:00:00",59.85,,54.17
"2024-03-20 00:00:00",65.8,,57.8
"2024-03-21 00:00:00",62.69,,55.68
"2024-03-22 00:00:00",69.23,,53.64
"2024-03-23 00:00:00",65.8,,49.9
"2024-03-24 00:00:00",26.39,,45.68
"2024-03-25 00:00:00",25.7,,42.55
"2024-03-26 00:00:00",33.71,,39.66
"2024-03-27 00:00:00",36.22,,36.61
"2024-03-28 00:00:00",40.78,,37.44
"2024-03-29 00:00:00",48.99,,37.67
"2024-03-30 00:00:00",44.51,,37.63
"2024-03-31 00:00:00",32.19,,38.58
"2024-04-01 01:00:00",27.31,,39.53
"2024-04-02 01:00:00",33.38,,39.31
"2024-04-03 01:00:00",42.92,,39.09
"2024-04-04 01:00:00",47.44,,40.14
"2024-04-05 01:00:00",47.44,,40.2
"2024-04-06 01:00:00",42.92,,40.2
"2024-04-07 01:00:00",39.54,,39.72
"2024-04-08 01:00:00",27.73,,38.59
"2024-04-09 01:00:00",33.43,,37.83
"2024-04-10 01:00:00",39.54,,36.73
"2024-04-11 01:00:00",39.54,,34.97
"2024-04-12 01:00:00",42.1,,34.46
"2024-04-13 01:00:00",35.25,,34.41
"2024-04-14 01:00:00",27.21,,34.35
"2024-04-15 01:00:00",24.15,,35.24
"2024-04-16 01:00:00",33.08,,35.5
"2024-04-17 01:00:00",39.11,,36.49
"2024-04-18 01:00:00",45.79,,38.08
"2024-04-19 01:00:00",43.91,,38.74
"2024-04-20 01:00:00",42.19,,39.16
"2024-04-21 01:00:00",38.36,,39.05
"2024-04-22 01:00:00",28.77,,38.38
"2024-04-23 01:00:00",35.96,,37.59
"2024-04-24 01:00:00",38.36,,36.39
"2024-04-25 01:00:00",41.1,,35.06
"2024-04-26 01:00:00",38.36,,34.67
"2024-04-27 01:00:00",33.85,,34.41
"2024-04-28 01:00:00",29,,34.84
"2024-04-29 01:00:00",26.08,,35.22
"2024-04-30 01:00:00",34.11,,35.65
"2024-05-01 01:00:00",41.4,,36.43
"2024-05-02 01:00:00",43.74,,36
"2024-05-03 01:00:00",41.4,,35.99
"2024-05-04 01:00:00",39.3,,36.24
"2024-05-05 01:00:00",25.99,,35.97
"2024-05-06 01:00:00",25.99,,36.04
"2024-05-07 01:00:00",35.83,,36.09
"2024-05-08 01:00:00",39.57,,35.85
"2024-05-09 01:00:00",44.19,,36.12
"2024-05-10 01:00:00",41.75,,36.11
"2024-05-11 01:00:00",37.61,,35.91
"2024-05-12 01:00:00",27.88,,35.68
"2024-05-13 01:00:00",25.91,,35.43
"2024-05-14 01:00:00",34.43,,35.52
"2024-05-15 01:00:00",38,,36.2
"2024-05-16 01:00:00",42.4,,36.79
"2024-05-17 01:00:00",42.4,,37.02
"2024-05-18 01:00:00",42.4,,36.93
"2024-05-19 01:00:00",31.98,,37.31
"2024-05-20 01:00:00",27.56,,37.07
"2024-05-21 01:00:00",33.78,,36.82
"2024-05-22 01:00:00",40.67,,35.88
"2024-05-23 01:00:00",40.67,,37.66
"2024-05-24 01:00:00",40.67,,38.15
"2024-05-25 01:00:00",35.8,,36.85
"2024-05-26 01:00:00",44.46,,35.47
"2024-05-27 01:00:00",30.98,,34.45
"2024-05-28 01:00:00",24.73,,33.56
"2024-05-29 01:00:00",30.98,,35.88
"2024-05-30 01:00:00",33.52,,33.21
"2024-05-31 01:00:00",34.46,,32.9
"2024-06-01 01:00:00",52,,34.78
"2024-06-02 01:00:00",25.77,,36.07
"2024-06-03 01:00:00",28.85,,37.32
"2024-06-04 01:00:00",37.89,,37.81
"2024-06-05 01:00:00",39.98,,35.53
