"Time","Sales","Trend Line","7-Day Moving Average"
"2024-02-24 00:00:00",141.71,460.09045669022765,139.87
"2024-02-25 00:00:00",140.83,,148.12
"2024-02-26 00:00:00",107.89,,163.49
"2024-02-27 00:00:00",163.51,,180.35
"2024-02-28 00:00:00",201.21,,182
"2024-02-29 00:00:00",281.36,,183.71
"2024-03-01 00:00:00",225.94,,185.45
"2024-03-02 00:00:00",153.28,,183.74
"2024-03-03 00:00:00",152.78,,186.84
"2024-03-04 00:00:00",120.07,,179.23
"2024-03-05 00:00:00",151.51,,177.47
"2024-03-06 00:00:00",222.94,,199
"2024-03-07 00:00:00",228.1,,201.92
"2024-03-08 00:00:00",213.6,,204.25
"2024-03-09 00:00:00",303.99,,207.43
"2024-03-10 00:00:00",173.23,,204.47
"2024-03-11 00:00:00",136.37,,203.21
"2024-03-12 00:00:00",173.8,,216.51
"2024-03-13 00:00:00",202.17,,225.57
"2024-03-14 00:00:00",219.29,,228.18
"2024-03-15 00:00:00",306.73,,250.81
"2024-03-16 00:00:00",367.41,,257.63
"2024-03-17 00:00:00",191.49,,289
"2024-03-18 00:00:00",294.75,,287.8
"2024-03-19 00:00:00",221.57,,272.88
"2024-03-20 00:00:00",421.79,,243.43
"2024-03-21 00:00:00",210.83,,239.87
"2024-03-22 00:00:00",202.33,,212.22
"2024-03-23 00:00:00",161.23,,199.11
"2024-03-24 00:00:00",166.57,,169.66
"2024-03-25 00:00:00",101.24,,171.31
"2024-03-26 00:00:00",129.81,,174.8
"2024-03-27 00:00:00",215.59,,184.86
"2024-03-28 00:00:00",222.42,,176.68
"2024-03-29 00:00:00",226.73,,184.94
"2024-03-30 00:00:00",231.64,,189.49
"2024-03-31 00:00:00",109.36,,180.6
"2024-04-01 01:00:00",159.04,,175.12
"2024-04-02 01:00:00",161.63,,182.09
"2024-04-03 01:00:00",153.39,,181.71
"2024-04-04 01:00:00",184.07,,191.3
"2024-04-05 01:00:00",275.47,,189.69
"2024-04-06 01:00:00",229.03,,196.02
"2024-04-07 01:00:00",176.48,,222.29
"2024-04-08 01:00:00",147.77,,231.05
"2024-04-09 01:00:00",205.94,,245.02
"2024-04-10 01:00:00",337.28,,253
"2024-04-11 01:00:00",245.41,,250.02
"2024-04-12 01:00:00",373.21,,246.7
"2024-04-13 01:00:00",284.9,,238.85
"2024-04-14 01:00:00",155.61,,218.55
"2024-04-15 01:00:00",124.54,,219.79
"2024-04-16 01:00:00",151.01,,212.45
"2024-04-17 01:00:00",195.17,,218.14
"2024-04-18 01:00:00",254.07,,244.4
"2024-04-19 01:00:00",321.85,,254.37
"2024-04-20 01:00:00",324.76,,273.17
"2024-04-21 01:00:00",339.41,,299.67
"2024-04-22 01:00:00",194.3,,330.27
"2024-04-23 01:00:00",282.63,,329.18
"2024-04-24 01:00:00",380.7,,312.57
"2024-04-25 01:00:00",468.26,,298.22
