"Time","Sales","Trend Line","7-Day Moving Average"
"2024-02-24 00:00:00",23.19,52.099928695605655,21.52
"2024-02-25 00:00:00",19.44,,21.27
"2024-02-26 00:00:00",15.22,,23.51
"2024-02-27 00:00:00",23.2,,26
"2024-02-28 00:00:00",28.94,,25.82
"2024-02-29 00:00:00",39.39,,27.37
"2024-03-01 00:00:00",32.59,,28.72
"2024-03-02 00:00:00",21.96,,29.76
"2024-03-03 00:00:00",30.3,,32.07
"2024-03-04 00:00:00",24.65,,32.94
"2024-03-05 00:00:00",30.5,,34.48
"2024-03-06 00:00:00",45.07,,40.45
"2024-03-07 00:00:00",45.52,,41.76
"2024-03-08 00:00:00",43.38,,42.74
"2024-03-09 00:00:00",63.71,,44.03
"2024-03-10 00:00:00",39.5,,44.09
"2024-03-11 00:00:00",31.51,,44.76
"2024-03-12 00:00:00",39.5,,48.49
"2024-03-13 00:00:00",45.51,,51.74
"2024-03-14 00:00:00",50.21,,49.87
"2024-03-15 00:00:00",69.48,,51.46
"2024-03-16 00:00:00",86.46,,50.21
"2024-03-17 00:00:00",26.41,,52.26
"2024-03-18 00:00:00",42.67,,49.41
"2024-03-19 00:00:00",30.7,,43.57
"2024-03-20 00:00:00",59.88,,34.49
"2024-03-21 00:00:00",30.25,,34.05
"2024-03-22 00:00:00",28.59,,30
"2024-03-23 00:00:00",22.92,,28.25
"2024-03-24 00:00:00",23.36,,24.09
"2024-03-25 00:00:00",14.28,,24.3
"2024-03-26 00:00:00",18.48,,24.82
"2024-03-27 00:00:00",30.72,,26.19
"2024-03-28 00:00:00",31.72,,25.05
"2024-03-29 00:00:00",32.25,,26.26
"2024-03-30 00:00:00",32.51,,26.88
"2024-03-31 00:00:00",15.42,,25.55
"2024-04-01 01:00:00",22.7,,24.84
"2024-04-02 01:00:00",22.86,,25.74
"2024-04-03 01:00:00",21.37,,25.72
"2024-04-04 01:00:00",26.8,,29.13
"2024-04-05 01:00:00",38.49,,30.63
"2024-04-06 01:00:00",32.38,,33.78
"2024-04-07 01:00:00",39.29,,41.58
"2024-04-08 01:00:00",33.24,,45.63
"2024-04-09 01:00:00",44.86,,52.22
"2024-04-10 01:00:00",76.02,,56.83
"2024-04-11 01:00:00",55.1,,56.35
"2024-04-12 01:00:00",84.64,,55.6
"2024-04-13 01:00:00",64.65,,53.97
"2024-04-14 01:00:00",35.93,,49.36
"2024-04-15 01:00:00",27.98,,49.63
"2024-04-16 01:00:00",33.46,,47.85
"2024-04-17 01:00:00",43.76,,49
"2024-04-18 01:00:00",57,,51.25
"2024-04-19 01:00:00",72.15,,51.51
"2024-04-20 01:00:00",72.71,,53.02
"2024-04-21 01:00:00",51.7,,54.93
"2024-04-22 01:00:00",29.82,,57.15
"2024-04-23 01:00:00",43.99,,53.58
"2024-04-24 01:00:00",57.17,,47.71
"2024-04-25 01:00:00",72.51,,45.43
"2024-04-26 01:00:00",47.19,,45.27
"2024-04-27 01:00:00",31.57,,45.68
"2024-04-28 01:00:00",35.73,,44.83
"2024-04-29 01:00:00",28.71,,43.25
"2024-04-30 01:00:00",46.89,,46.25
"2024-05-01 01:00:00",51.22,,49.19
"2024-05-02 01:00:00",61.41,,48.29
"2024-05-03 01:00:00",68.2,,48.52
"2024-05-04 01:00:00",52.18,,48.32
"2024-05-05 01:00:00",29.43,,47.5
"2024-05-06 01:00:00",30.31,,46.04
"2024-05-07 01:00:00",45.48,,45.67
"2024-05-08 01:00:00",45.48,,49.24
"2024-05-09 01:00:00",51.22,,50.17
"2024-05-10 01:00:00",65.56,,49.98
"2024-05-11 01:00:00",77.2,,48.78
"2024-05-12 01:00:00",35.95,,49.98
"2024-05-13 01:00:00",28.99,,53
"2024-05-14 01:00:00",37.03,,52.5
"2024-05-15 01:00:00",53.92,,49.31
"2024-05-16 01:00:00",72.32,,48.69
"2024-05-17 01:00:00",62.09,,48.45
"2024-05-18 01:00:00",54.88,,47.87
"2024-05-19 01:00:00",31.63,,46.52
"2024-05-20 01:00:00",27.28,,42.88
"2024-05-21 01:00:00",32.99,,44.55
"2024-05-22 01:00:00",44.47,,44.33
"2024-05-23 01:00:00",46.79,,44.15
"2024-05-24 01:00:00",73.82,,44.71
"2024-05-25 01:00:00",53.3,,45.41
"2024-05-26 01:00:00",30.37,,45.93
"2024-05-27 01:00:00",31.25,,50.21
"2024-05-28 01:00:00",37.88,,48.88
"2024-05-29 01:00:00",48.08,,48.24
"2024-05-30 01:00:00",76.8,,48.36
"2024-05-31 01:00:00",64.48,,48.02
"2024-06-01 01:00:00",48.81,,47.61
"2024-06-02 01:00:00",31.22,,47.33
"2024-06-03 01:00:00",28.88,,44.7
"2024-06-04 01:00:00",34.99,,46.28
"2024-06-05 01:00:00",46.16,,47.45
"2024-06-06 01:00:00",58.39,,51.97
"2024-06-07 01:00:00",75.53,,56.58
"2024-06-08 01:00:00",56.95,,63.15
"2024-06-09 01:00:00",62.9,,68.75
"2024-06-10 01:00:00",61.11,,73.46
"2024-06-11 01:00:00",81.04,,81.23
"2024-06-12 01:00:00",85.32,,95.76
"2024-06-13 01:00:00",91.36,,95.61
"2024-06-14 01:00:00",129.95,,95.72
"2024-06-15 01:00:00",158.67,,98.04
"2024-06-16 01:00:00",61.85,,100.1
"2024-06-17 01:00:00",61.85,,102.42
"2024-06-18 01:00:00",97.31,,102.71
"2024-06-19 01:00:00",99.7,,98.31
"2024-06-20 01:00:00",107.6,,100.56
"2024-06-21 01:00:00",132.01,,101.53
"2024-06-22 01:00:00",127.86,,96.99
"2024-06-23 01:00:00",77.61,,94.78
"2024-06-24 01:00:00",68.61,,99.41
"2024-06-25 01:00:00",65.57,,99.65
"2024-06-26 01:00:00",84.23,,94.15
"2024-06-27 01:00:00",140.01,,96.15
"2024-06-28 01:00:00",133.68,,95.92
"2024-06-29 01:00:00",89.31,,99.35
"2024-06-30 01:00:00",91.64,,103.83
"2024-07-01 01:00:00",66.97,,105.34
"2024-07-02 01:00:00",89.58,,99.64
"2024-07-03 01:00:00",115.59,,98.15
"2024-07-04 01:00:00",150.58,,93.27
"2024-07-05 01:00:00",93.8,,91.98
"2024-07-06 01:00:00",78.92,,89.84
"2024-07-07 01:00:00",57.44,,87.2
"2024-07-08 01:00:00",57.93,,84.43
"2024-07-09 01:00:00",74.59,,89.76
"2024-07-10 01:00:00",97.15,,97.98
"2024-07-11 01:00:00",131.15,,108.14
"2024-07-12 01:00:00",131.15,,117.91
"2024-07-13 01:00:00",136.46,,123.62
"2024-07-14 01:00:00",128.58,,118.44
"2024-07-15 01:00:00",126.26,,107.34
"2024-07-16 01:00:00",114.58,,101.42
"2024-07-17 01:00:00",60.9,,97.61
"2024-07-18 01:00:00",53.47,,87.65
"2024-07-19 01:00:00",89.68,,79.15
"2024-07-20 01:00:00",109.8,,74.65
"2024-07-21 01:00:00",58.83,,81.63
"2024-07-22 01:00:00",66.8,,91.88
"2024-07-23 01:00:00",83.05,,96.96
"2024-07-24 01:00:00",109.76,,95.87
"2024-07-25 01:00:00",125.24,,96.47
"2024-07-26 01:00:00",125.24,,95.26
"2024-07-27 01:00:00",102.17,,95.98
"2024-07-28 01:00:00",63.01,,95.26
"2024-07-29 01:00:00",58.36,,95.82
"2024-07-30 01:00:00",88.07,,95.17
"2024-07-31 01:00:00",104.73,,97.46
"2024-08-01 01:00:00",129.17,,101.79
"2024-08-02 01:00:00",120.71,,103.22
"2024-08-03 01:00:00",118.14,,103.45
"2024-08-04 01:00:00",93.36,,103.01
"2024-08-05 01:00:00",68.33,,97.37
"2024-08-06 01:00:00",89.71,,93.46
"2024-08-07 01:00:00",101.64,,94.23
"2024-08-08 01:00:00",89.71,,88.75
"2024-08-09 01:00:00",93.36,,87.98
"2024-08-10 01:00:00",123.52,,86.68
"2024-08-11 01:00:00",54.97,,85.8
"2024-08-12 01:00:00",62.98,,87.14
"2024-08-13 01:00:00",80.61,,89.13
"2024-08-14 01:00:00",95.44,,85.12
"2024-08-15 01:00:00",99.09,,91.94
"2024-08-16 01:00:00",107.29,,115.89
"2024-08-17 01:00:00",0,,111.03
"2024-08-18 01:00:00",0,,133.57
"2024-08-19 01:00:00",214.25,,224.84
"2024-08-20 01:00:00",261.12,,285.73
"2024-08-21 01:00:00",253.21,,283.47
"2024-08-22 01:00:00",309.48,,299.54
"2024-08-23 01:00:00",439.79,,310.28
"2024-08-24 01:00:00",0,,152.64
"2024-08-25 01:00:00",0,,122.83
"2024-08-26 01:00:00",28.75,,94.38
"2024-08-27 01:00:00",37.24,,40.88
"2024-08-28 01:00:00",44.54,,42.5
"2024-08-29 01:00:00",52.82,,41.47
"2024-08-30 01:00:00",48.33,,41.18
"2024-08-31 01:00:00",41.3,,39.47
"2024-09-01 01:00:00",37.29,,37.41
"2024-09-02 01:00:00",26.72,,35.91
"2024-09-03 01:00:00",25.29,,35.99
"2024-09-04 01:00:00",30.14,,35.42
"2024-09-05 01:00:00",42.31,,33.71
"2024-09-06 01:00:00",48.89,,33.27
"2024-09-07 01:00:00",37.29,,33.57
"2024-09-08 01:00:00",25.35,,34.42
"2024-09-09 01:00:00",23.6,,33.98
"2024-09-10 01:00:00",27.39,,34.28
"2024-09-11 01:00:00",36.11,,36.23
"2024-09-12 01:00:00",39.23,,36.28
"2024-09-13 01:00:00",50.98,,36.84
"2024-09-14 01:00:00",50.98,,38.9
"2024-09-15 01:00:00",25.7,,40.04
"2024-09-16 01:00:00",27.47,,40.41
"2024-09-17 01:00:00",41.82,,38.81
"2024-09-18 01:00:00",44.12,,36.26
"2024-09-19 01:00:00",41.82,,36.34
"2024-09-20 01:00:00",39.74,,36.27
"2024-09-21 01:00:00",33.16,,34.7
"2024-09-22 01:00:00",26.22,,32.65
"2024-09-23 01:00:00",27.03,,32.52
"2024-09-24 01:00:00",30.83,,33.29
"2024-09-25 01:00:00",29.78,,35.74
"2024-09-26 01:00:00",40.9,,42.8
"2024-09-27 01:00:00",45.11,,46.62
"2024-09-28 01:00:00",50.29,,50.89
"2024-09-29 01:00:00",75.67,,55.32
"2024-09-30 01:00:00",53.73,,57.16
"2024-10-01 01:00:00",60.78,,60.4
"2024-10-02 01:00:00",60.78,,61.9
"2024-10-03 01:00:00",0,,25.04
"2024-10-04 01:00:00",0,,17.37
"2024-10-05 01:00:00",0,,8.68
"2024-10-06 01:00:00",0,,0
"2024-10-07 01:00:00",0,,0
"2024-10-08 01:00:00",0,,0
