"Time","Sales","Trend Line","7-Day Moving Average"
"2025-09-14 01:00:00",910.5,2522.050823595832,1046.36
"2025-09-15 01:00:00",1080.31,,1239.64
"2025-09-16 01:00:00",1691.73,,1529.38
"2025-09-17 01:00:00",0,,1320.86
"2025-09-18 01:00:00",1754.03,,1714.87
"2025-09-19 01:00:00",1885.62,,1859.81
"2025-09-20 01:00:00",1923.82,,1907.85
"2025-09-21 01:00:00",1914.54,,1921.51
"2025-09-22 01:00:00",1963.31,,2045.69
"2025-09-23 01:00:00",1989.78,,2215.53
"2025-09-24 01:00:00",2019.47,,2398.86
"2025-09-25 01:00:00",2623.32,,2473.57
"2025-09-26 01:00:00",3074.46,,2541.31
"2025-09-27 01:00:00",3207.12,,2605.27
"2025-09-28 01:00:00",2437.51,,2698.52
"2025-09-29 01:00:00",2437.51,,2705.5
"2025-09-30 01:00:00",2437.51,,2638.09
"2025-10-01 01:00:00",2672.18,,2528.14
"2025-10-02 01:00:00",2672.18,,2590.93
"2025-10-03 01:00:00",2602.6,,2636.21
"2025-10-04 01:00:00",2437.51,,2672.92
"2025-10-05 01:00:00",2877.03,,2676.11
"2025-10-06 01:00:00",2754.46,,2749.2
"2025-10-07 01:00:00",2694.48,,2832.24
"2025-10-08 01:00:00",2694.48,,2938.86
"2025-10-09 01:00:00",3183.85,,2875.53
"2025-10-10 01:00:00",3183.85,,2818.85
"2025-10-11 01:00:00",3183.85,,2781.6
"2025-10-12 01:00:00",2433.74,,2717.21
"2025-10-13 01:00:00",2357.68,,2607.89
"2025-10-14 01:00:00",2433.74,,2479.12
"2025-10-15 01:00:00",2243.73,,2333.71
"2025-10-16 01:00:00",2418.62,,2328.75
"2025-10-17 01:00:00",2282.51,,2334.64
"2025-10-18 01:00:00",2165.98,,2329.67
"2025-10-19 01:00:00",2398.96,,2351.85
"2025-10-20 01:00:00",2398.96,,2359.15
"2025-10-21 01:00:00",2398.96,,2329.12
"2025-10-22 01:00:00",2398.96,,2296.86
"2025-10-23 01:00:00",2469.75,,2291.39
"2025-10-24 01:00:00",2072.25,,2303.3
"2025-10-25 01:00:00",1940.16,,2318.98
"2025-10-26 01:00:00",2360.72,,2283.89
"2025-10-27 00:00:00",2482.27,,2238.7
"2025-10-28 00:00:00",2508.72,,2222.71
"2025-10-29 00:00:00",2153.38,,2232.29
"2025-10-30 00:00:00",2153.38,,2267.81
"2025-10-31 00:00:00",1960.31,,2285.96
"2025-11-01 00:00:00",2007.22,,2327.52
"2025-11-02 00:00:00",2609.36,,2386.82
"2025-11-03 00:00:00",2609.36,,2451.96
"2025-11-04 00:00:00",2799.62,,2453.8
"2025-11-05 00:00:00",2568.52,,2445.29
"2025-11-06 00:00:00",2609.36,,2324.49
"2025-11-07 00:00:00",1973.19,,2203.69
"2025-11-08 00:00:00",1947.59,,2088.74
"2025-11-09 00:00:00",1763.77,,1987.29
"2025-11-10 00:00:00",1763.77,,1850
"2025-11-11 00:00:00",1994.97,,1820.08
"2025-11-12 00:00:00",1858.4,,1838
"2025-11-13 00:00:00",1648.32,,1803.07
"2025-11-14 00:00:00",1763.77,,1782.2
"2025-11-15 00:00:00",2072.99,,1728.29
"2025-11-16 00:00:00",1519.28,,1676.07
"2025-11-17 00:00:00",1617.64,,1653.86
"2025-11-18 00:00:00",1617.64,,1615.16
"2025-11-19 00:00:00",1492.85,,1579
"2025-11-20 00:00:00",1492.85,,1593.13
"2025-11-21 00:00:00",1492.85,,1591.7
