"Time","Sales","Trend Line","7-Day Moving Average"
"2024-02-24 00:00:00",51.99,272.02020343499515,52.98
"2024-02-25 00:00:00",60.14,,63.57
"2024-02-26 00:00:00",38.31,,60.69
"2024-02-27 00:00:00",64.45,,63.74
"2024-02-28 00:00:00",109.79,,63.43
"2024-02-29 00:00:00",61.87,,60.19
"2024-03-01 00:00:00",59.65,,60.36
"2024-03-02 00:00:00",49.8,,56.07
"2024-03-03 00:00:00",37.47,,49.7
"2024-03-04 00:00:00",39.46,,54.27
"2024-03-05 00:00:00",34.48,,58.98
"2024-03-06 00:00:00",65.19,,64.29
"2024-03-07 00:00:00",93.83,,65.83
"2024-03-08 00:00:00",92.64,,66.08
"2024-03-09 00:00:00",86.94,,68.07
"2024-03-10 00:00:00",48.24,,66.88
"2024-03-11 00:00:00",41.23,,69.6
"2024-03-12 00:00:00",48.4,,72.38
"2024-03-13 00:00:00",56.87,,75.57
"2024-03-14 00:00:00",112.91,,75.52
"2024-03-15 00:00:00",112.1,,77.48
"2024-03-16 00:00:00",109.25,,84.23
"2024-03-17 00:00:00",47.91,,93.26
"2024-03-18 00:00:00",54.89,,93.17
"2024-03-19 00:00:00",95.7,,91.59
"2024-03-20 00:00:00",120.09,,88
"2024-03-21 00:00:00",112.24,,94.47
"2024-03-22 00:00:00",101.07,,97.26
"2024-03-23 00:00:00",84.1,,98.38
"2024-03-24 00:00:00",93.18,,92.41
"2024-03-25 00:00:00",74.44,,91.89
"2024-03-26 00:00:00",103.51,,87.18
"2024-03-27 00:00:00",78.34,,81.57
"2024-03-28 00:00:00",108.58,,82.25
"2024-03-29 00:00:00",68.14,,86.15
"2024-03-30 00:00:00",44.81,,97.66
"2024-03-31 00:00:00",97.92,,117.31
"2024-04-01 01:00:00",101.76,,134.49
"2024-04-02 01:00:00",184.05,,160.41
"2024-04-03 01:00:00",215.9,,181.86
"2024-04-04 01:00:00",228.88,,184.71
"2024-04-05 01:00:00",249.53,,187.33
"2024-04-06 01:00:00",194.96,,185.19
"2024-04-07 01:00:00",117.86,,182.63
"2024-04-08 01:00:00",120.13,,169.3
"2024-04-09 01:00:00",169.09,,188.63
"2024-04-10 01:00:00",197.99,,196.14
"2024-04-11 01:00:00",135.53,,192.2
"2024-04-12 01:00:00",384.87,,186.47
"2024-04-13 01:00:00",247.54,,177.81
"2024-04-14 01:00:00",90.23,,170.27
"2024-04-15 01:00:00",80.04,,169.7
"2024-04-16 01:00:00",108.48,,147.31
"2024-04-17 01:00:00",145.17,,136.14
"2024-04-18 01:00:00",131.55,,136.23
"2024-04-19 01:00:00",228.18,,134.88
"2024-04-20 01:00:00",169.35,,140.69
"2024-04-21 01:00:00",90.87,,140.44
"2024-04-22 01:00:00",70.56,,138.48
"2024-04-23 01:00:00",149.15,,131.71
"2024-04-24 01:00:00",143.43,,123.57
"2024-04-25 01:00:00",117.79,,130.35
"2024-04-26 01:00:00",180.84,,134.75
"2024-04-27 01:00:00",112.35,,131.35
"2024-04-28 01:00:00",138.3,,134.79
"2024-04-29 01:00:00",101.36,,150.92
"2024-04-30 01:00:00",125.37,,157.94
"2024-05-01 01:00:00",167.51,,180.14
"2024-05-02 01:00:00",230.73,,180.27
"2024-05-03 01:00:00",229.93,,186.09
"2024-05-04 01:00:00",267.8,,193.2
"2024-05-05 01:00:00",139.17,,203.94
"2024-05-06 01:00:00",142.09,,214.7
"2024-05-07 01:00:00",175.15,,239.05
"2024-05-08 01:00:00",242.72,,240.71
"2024-05-09 01:00:00",306.02,,247.81
"2024-05-10 01:00:00",400.42,,249.9
"2024-05-11 01:00:00",279.43,,248.84
"2024-05-12 01:00:00",188.84,,255.89
"2024-05-13 01:00:00",156.69,,276.17
"2024-05-14 01:00:00",167.74,,264.24
"2024-05-15 01:00:00",292.07,,268.71
"2024-05-16 01:00:00",447.98,,267.77
"2024-05-17 01:00:00",316.96,,272.96
"2024-05-18 01:00:00",310.71,,290.87
"2024-05-19 01:00:00",182.23,,301.25
"2024-05-20 01:00:00",193.02,,292.84
"2024-05-21 01:00:00",293.11,,315.15
"2024-05-22 01:00:00",364.74,,325.43
"2024-05-23 01:00:00",389.13,,355.46
"2024-05-24 01:00:00",473.09,,390.83
"2024-05-25 01:00:00",382.68,,434.23
"2024-05-26 01:00:00",392.42,,438.72
"2024-05-27 01:00:00",440.65,,440
"2024-05-28 01:00:00",596.91,,420.07
"2024-05-29 01:00:00",396.13,,399.14
"2024-05-30 01:00:00",398.11,,384.86
"2024-05-31 01:00:00",333.62,,358.91
"2024-06-01 01:00:00",236.16,,326.18
"2024-06-02 01:00:00",292.45,,333.19
"2024-06-03 01:00:00",258.97,,343.08
"2024-06-04 01:00:00",367.83,,394.68
"2024-06-05 01:00:00",445.18,,447
"2024-06-06 01:00:00",467.37,,454.99
"2024-06-07 01:00:00",694.82,,454.76
"2024-06-08 01:00:00",602.37,,442.57
"2024-06-09 01:00:00",348.39,,417.68
"2024-06-10 01:00:00",257.34,,405.4
"2024-06-11 01:00:00",282.5,,422.53
"2024-06-12 01:00:00",270.94,,429.86
"2024-06-13 01:00:00",381.42,,420.07
"2024-06-14 01:00:00",814.76,,421.77
"2024-06-15 01:00:00",653.66,,440.84
