"Time","Sales","Trend Line","7-Day Moving Average"
"2024-02-25 00:00:00",203.72,671.7332094694465,213.22
"2024-02-26 00:00:00",290.91,,233.16
"2024-02-27 00:00:00",221.13,,252.51
"2024-02-28 00:00:00",165.63,,265.14
"2024-02-29 00:00:00",168.9,,265.34
"2024-03-01 00:00:00",496.14,,277.03
"2024-03-02 00:00:00",309.57,,287.93
"2024-03-03 00:00:00",205.12,,337.35
"2024-03-04 00:00:00",372.74,,365.94
"2024-03-05 00:00:00",297.38,,332.34
"2024-03-06 00:00:00",511.59,,352.86
"2024-03-07 00:00:00",369.06,,387.07
"2024-03-08 00:00:00",260.93,,402.78
"2024-03-09 00:00:00",453.17,,458.28
"2024-03-10 00:00:00",444.63,,446.69
"2024-03-11 00:00:00",482.73,,454.54
"2024-03-12 00:00:00",685.83,,469.65
"2024-03-13 00:00:00",430.5,,442.57
"2024-03-14 00:00:00",423.96,,439.28
"2024-03-15 00:00:00",366.71,,462.26
"2024-03-16 00:00:00",263.65,,460.04
"2024-03-17 00:00:00",421.61,,534.28
"2024-03-18 00:00:00",643.57,,593.17
"2024-03-19 00:00:00",670.29,,666.27
"2024-03-20 00:00:00",950.19,,758.43
"2024-03-21 00:00:00",836.15,,783.11
"2024-03-22 00:00:00",878.41,,764.17
"2024-03-23 00:00:00",908.79,,729.01
"2024-03-24 00:00:00",594.38,,640.36
"2024-03-25 00:00:00",510.95,,567.25
"2024-03-26 00:00:00",424.17,,502.51
"2024-03-27 00:00:00",329.65,,408.72
"2024-03-28 00:00:00",324.38,,371.67
"2024-03-29 00:00:00",425.24,,341.04
"2024-03-30 00:00:00",252.24,,338.06
"2024-03-31 00:00:00",335.07,,363.43
"2024-04-01 01:00:00",296.56,,423.74
"2024-04-02 01:00:00",403.25,,443.19
"2024-04-03 01:00:00",507.29,,457.86
"2024-04-04 01:00:00",746.52,,455.24
"2024-04-05 01:00:00",561.38,,456.33
"2024-04-06 01:00:00",354.93,,479.63
"2024-04-07 01:00:00",316.77,,520.24
"2024-04-08 01:00:00",304.14,,503.91
"2024-04-09 01:00:00",566.37,,500.88
"2024-04-10 01:00:00",791.57,,509
"2024-04-11 01:00:00",632.19,,508.6
"2024-04-12 01:00:00",540.22,,505.44
"2024-04-13 01:00:00",411.74,,497.4
"2024-04-14 01:00:00",313.96,,473.98
"2024-04-15 01:00:00",282.02,,477.42
"2024-04-16 01:00:00",510.07,,494.74
"2024-04-17 01:00:00",627.66,,528.86
"2024-04-18 01:00:00",656.26,,599.08
"2024-04-19 01:00:00",661.46,,669.46
"2024-04-20 01:00:00",650.58,,694.52
"2024-04-21 01:00:00",805.52,,669.15
"2024-04-22 01:00:00",774.64,,638.76
"2024-04-23 01:00:00",685.54,,595.84
"2024-04-24 01:00:00",450.04,,550
"2024-04-25 01:00:00",443.53,,499.19
"2024-04-26 01:00:00",361.01,,434.25
"2024-04-27 01:00:00",329.72,,423.71
"2024-04-28 01:00:00",449.83,,473.58
"2024-04-29 01:00:00",320.05,,493.62
"2024-04-30 01:00:00",611.77,,527.83
"2024-05-01 01:00:00",799.16,,539
"2024-05-02 01:00:00",583.81,,523.49
"2024-05-03 01:00:00",600.48,,618.93
"2024-05-04 01:00:00",407.9,,609.39
"2024-05-05 01:00:00",341.26,,545.9
"2024-05-06 01:00:00",988.1,,547.01
