"Time","Sales","Trend Line","7-Day Moving Average"
"2024-02-24 00:00:00",705.76,1493.9852011545995,638.03
"2024-02-25 00:00:00",767.38,,623.4
"2024-02-26 00:00:00",419.15,,554.32
"2024-02-27 00:00:00",456.64,,593.53
"2024-02-28 00:00:00",480.14,,583.14
"2024-02-29 00:00:00",632.01,,583.65
"2024-03-01 00:00:00",693.65,,616.46
"2024-03-02 00:00:00",633.03,,679.79
"2024-03-03 00:00:00",770.96,,745.68
"2024-03-04 00:00:00",648.8,,784
"2024-03-05 00:00:00",899.95,,808.17
"2024-03-06 00:00:00",941.34,,879
"2024-03-07 00:00:00",900.27,,960.24
"2024-03-08 00:00:00",862.84,,948
"2024-03-09 00:00:00",1128.84,,903.43
"2024-03-10 00:00:00",1339.66,,835.39
"2024-03-11 00:00:00",563.13,,758.68
"2024-03-12 00:00:00",587.95,,682.91
"2024-03-13 00:00:00",465.02,,566.14
"2024-03-14 00:00:00",363.34,,436.31
"2024-03-15 00:00:00",332.4,,408.61
"2024-03-16 00:00:00",311.5,,400.74
"2024-03-17 00:00:00",430.8,,459.23
"2024-03-18 00:00:00",369.25,,482.29
"2024-03-19 00:00:00",532.87,,560.72
"2024-03-20 00:00:00",874.48,,599.72
"2024-03-21 00:00:00",524.71,,624.03
"2024-03-22 00:00:00",881.41,,639.55
"2024-03-23 00:00:00",584.49,,646.62
"2024-03-24 00:00:00",601.02,,626.69
"2024-03-25 00:00:00",477.88,,649.19
"2024-03-26 00:00:00",582.36,,671.62
"2024-03-27 00:00:00",734.99,,711.71
"2024-03-28 00:00:00",682.16,,1032.1
"2024-03-29 00:00:00",1038.42,,1892.44
"2024-03-30 00:00:00",865.17,,2414.65
"2024-03-31 00:00:00",2843.7,,2560.61
"2024-04-01 01:00:00",6500.27,,2579.26
"2024-04-02 01:00:00",4237.83,,2575.59
"2024-04-03 01:00:00",1756.72,,2838.29
"2024-04-04 01:00:00",812.72,,3703.86
"2024-04-05 01:00:00",1012.69,,3243.42
"2024-04-06 01:00:00",2704.07,,2820.25
"2024-04-07 01:00:00",8902.75,,3275.12
"2024-04-08 01:00:00",3277.15,,3341.75
"2024-04-09 01:00:00",1275.62,,4008.75
"2024-04-10 01:00:00",4940.82,,3922.71
"2024-04-11 01:00:00",1279.18,,2903.48
"2024-04-12 01:00:00",5681.65,,2672.35
"2024-04-13 01:00:00",2101.82,,2801.38
"2024-04-14 01:00:00",1768.14,,2506.41
"2024-04-15 01:00:00",1659.21,,2815.32
"2024-04-16 01:00:00",2178.84,,2576.68
"2024-04-17 01:00:00",2876.01,,2849.43
"2024-04-18 01:00:00",3441.6,,3171.13
"2024-04-19 01:00:00",4011.15,,3510
"2024-04-20 01:00:00",4011.05,,3629.12
"2024-04-21 01:00:00",4020.07,,3592.91
"2024-04-22 01:00:00",4031.3,,3428.65
"2024-04-23 01:00:00",3012.68,,3161.43
"2024-04-24 01:00:00",2622.49,,2847.57
"2024-04-25 01:00:00",2291.84,,2387.51
"2024-04-26 01:00:00",2140.56,,1916.56
"2024-04-27 01:00:00",1814.06,,1620.1
"2024-04-28 01:00:00",799.65,,1390.08
"2024-04-29 01:00:00",734.64,,1204.86
"2024-04-30 01:00:00",937.46,,1057.26
"2024-05-01 01:00:00",1012.38,,1066.57
"2024-05-02 01:00:00",995.26,,1126.15
"2024-05-03 01:00:00",1107.36,,1234.09
"2024-05-04 01:00:00",1879.24,,1335.46
"2024-05-05 01:00:00",1216.68,,1450
"2024-05-06 01:00:00",1490.25,,1566.99
"2024-05-07 01:00:00",1647.03,,1754.69
"2024-05-08 01:00:00",1814.19,,1780.43
"2024-05-09 01:00:00",1814.19,,1728.94
"2024-05-10 01:00:00",2421.24,,1640.8
"2024-05-11 01:00:00",2059.41,,1593.83
"2024-05-12 01:00:00",856.3,,1611.94
"2024-05-13 01:00:00",873.26,,1614.44
"2024-05-14 01:00:00",1318.21,,1504.79
"2024-05-15 01:00:00",1940.96,,1423
"2024-05-16 01:00:00",1831.71,,1803.21
"2024-05-17 01:00:00",1653.71,,1938.98
"2024-05-18 01:00:00",1486.86,,2015.02
"2024-05-19 01:00:00",3517.78,,2033.38
"2024-05-20 01:00:00",1823.63,,2037.73
"2024-05-21 01:00:00",1850.47,,2088.25
"2024-05-22 01:00:00",2069.53,,2122.43
"2024-05-23 01:00:00",1862.15,,1834.73
"2024-05-24 01:00:00",2007.31,,1788.4
"2024-05-25 01:00:00",1726.13,,1768.47
"2024-05-26 01:00:00",1503.89,,1839.65
"2024-05-27 01:00:00",1499.31,,2027.17
"2024-05-28 01:00:00",1710.97,,2080.83
"2024-05-29 01:00:00",2567.76,,2114.71
"2024-05-30 01:00:00",3174.84,,2030.46
"2024-05-31 01:00:00",2382.94,,1962.94
"2024-06-01 01:00:00",1963.28,,1945.96
"2024-06-02 01:00:00",914.1,,1810
"2024-06-03 01:00:00",1026.7,,1578.09
"2024-06-04 01:00:00",1592.13,,1478.34
"2024-06-05 01:00:00",1615.99,,1419.43
"2024-06-06 01:00:00",1551.46,,1529.82
"2024-06-07 01:00:00",1684.71,,1594.73
"2024-06-08 01:00:00",1550.91,,1710.51
"2024-06-09 01:00:00",1686.87,,1843.26
"2024-06-10 01:00:00",1481.03,,1913.16
"2024-06-11 01:00:00",2402.57,,2054.78
"2024-06-12 01:00:00",2545.29,,2120.57
"2024-06-13 01:00:00",2040.75,,2077.43
"2024-06-14 01:00:00",2676.05,,2031.86
"2024-06-15 01:00:00",2011.45,,1933.75
"2024-06-16 01:00:00",1384.84,,1829.85
"2024-06-17 01:00:00",1162.07,,1838.87
"2024-06-18 01:00:00",1715.8,,1759.17
"2024-06-19 01:00:00",1817.98,,1759.72
"2024-06-20 01:00:00",2103.92,,2161.94
"2024-06-21 01:00:00",2118.15,,2450.12
"2024-06-22 01:00:00",2015.25,,2650.31
"2024-06-23 01:00:00",4200.39,,2804.74
"2024-06-24 01:00:00",3179.35,,2958.49
"2024-06-25 01:00:00",3117.16,,3133.97
"2024-06-26 01:00:00",2898.97,,3197.71
"2024-06-27 01:00:00",3180.16,,2860.17
"2024-06-28 01:00:00",3346.53,,2594.26
"2024-06-29 01:00:00",2461.44,,2358.39
"2024-06-30 01:00:00",1837.56,,2153.69
"2024-07-01 01:00:00",1317.99,,1932.92
"2024-07-02 01:00:00",1466.06,,1617.74
"2024-07-03 01:00:00",1466.06,,1429.57
"2024-07-04 01:00:00",1634.79,,1303.69
"2024-07-05 01:00:00",1140.26,,1252.72
"2024-07-06 01:00:00",1144.29,,1211.09
"2024-07-07 01:00:00",956.35,,1239.81
"2024-07-08 01:00:00",961.2,,1223.19
"2024-07-09 01:00:00",1174.65,,1284.48
"2024-07-10 01:00:00",1667.12,,1412.29
"2024-07-11 01:00:00",1518.43,,1545.22
"2024-07-12 01:00:00",1569.35,,1680.75
"2024-07-13 01:00:00",2038.9,,1735.28
"2024-07-14 01:00:00",1886.92,,1614.61
"2024-07-15 01:00:00",1909.86,,1518.81
"2024-07-16 01:00:00",1556.39,,1493.81
"2024-07-17 01:00:00",822.39,,1439.29
"2024-07-18 01:00:00",847.88,,1443.12
"2024-07-19 01:00:00",1394.31,,1554.95
"2024-07-20 01:00:00",1657.26,,1733.61
"2024-07-21 01:00:00",1913.74,,2039.21
"2024-07-22 01:00:00",2692.7,,2381.37
"2024-07-23 01:00:00",2807,,2643.63
"2024-07-24 01:00:00",2961.61,,2846.29
"2024-07-25 01:00:00",3242.95,,2647.64
"2024-07-26 01:00:00",3230.16,,2336.26
"2024-07-27 01:00:00",3075.84,,2046.61
"2024-07-28 01:00:00",523.23,,1725.4
"2024-07-29 01:00:00",513.03,,1382.11
"2024-07-30 01:00:00",779.48,,1040.69
"2024-07-31 01:00:00",713.14,,739.86
"2024-08-01 01:00:00",839.87,,959.75
"2024-08-02 01:00:00",840.25,,1117.38
"2024-08-03 01:00:00",970,,1357.24
"2024-08-04 01:00:00",2062.49,,1582.38
"2024-08-05 01:00:00",1616.4,,1805.54
"2024-08-06 01:00:00",2458.55,,2014.27
"2024-08-07 01:00:00",2289.1,,2140
"2024-08-08 01:00:00",2401.97,,1955.84
"2024-08-09 01:00:00",2301.41,,1812.05
"2024-08-10 01:00:00",1850.09,,1563.57
"2024-08-11 01:00:00",773.36,,1351.5
"2024-08-12 01:00:00",609.9,,1167.33
"2024-08-13 01:00:00",719.16,,989.58
"2024-08-14 01:00:00",804.62,,840.23
"2024-08-15 01:00:00",1112.79,,932.74
"2024-08-16 01:00:00",1057.16,,932.73
"2024-08-17 01:00:00",0,,673.81
"2024-08-18 01:00:00",0,,704.72
"2024-08-19 01:00:00",721.07,,865.77
"2024-08-20 01:00:00",1021,,914.44
"2024-08-21 01:00:00",1021,,862.29
"2024-08-22 01:00:00",798.02,,804.45
"2024-08-23 01:00:00",798.02,,778.72
"2024-08-24 01:00:00",655.89,,739.32
"2024-08-25 01:00:00",616.17,,709.66
"2024-08-26 01:00:00",540.95,,737.89
"2024-08-27 01:00:00",745.19,,734.96
"2024-08-28 01:00:00",813.39,,716.29
"2024-08-29 01:00:00",995.64,,698.24
"2024-08-30 01:00:00",777.52,,676.86
"2024-08-31 01:00:00",525.15,,609.26
"2024-09-01 01:00:00",489.83,,545.32
"2024-09-02 01:00:00",391.27,,476.08
"2024-09-03 01:00:00",272.04,,422.87
"2024-09-04 01:00:00",365.77,,401.86
"2024-09-05 01:00:00",511.01,,421.1
