"Time","Sales","Trend Line","7-Day Moving Average"
"2026-01-11 00:00:00",39.38,33.8946794027229,40.6
"2026-01-12 00:00:00",35.47,,36.59
"2026-01-13 00:00:00",37.53,,35.1
"2026-01-14 00:00:00",53.68,,32.71
"2026-01-15 00:00:00",19.11,,34.89
"2026-01-16 00:00:00",23.02,,36.56
"2026-01-17 00:00:00",20.8,,37.25
"2026-01-18 00:00:00",54.59,,35.64
"2026-01-19 00:00:00",47.17,,35.85
"2026-01-20 00:00:00",42.41,,35.9
"2026-01-21 00:00:00",42.41,,37.14
"2026-01-22 00:00:00",20.54,,33.29
"2026-01-23 00:00:00",23.39,,29.3
"2026-01-24 00:00:00",29.48,,26.24
"2026-01-25 00:00:00",27.64,,23.14
"2026-01-26 00:00:00",19.24,,23.35
"2026-01-27 00:00:00",21.01,,24.09
"2026-01-28 00:00:00",20.7,,31.14
"2026-01-29 00:00:00",21.98,,29.87
"2026-01-30 00:00:00",28.58,,29.58
"2026-01-31 00:00:00",78.85,,30.21
"2026-02-01 00:00:00",18.72,,31.68
"2026-02-02 00:00:00",17.2,,31.8
"2026-02-03 00:00:00",25.44,,32.46
"2026-02-04 00:00:00",30.98,,28.72
"2026-02-05 00:00:00",22.86,,33.91
"2026-02-06 00:00:00",33.15,,39.53
"2026-02-07 00:00:00",52.66,,41.93
"2026-02-08 00:00:00",55.06,,43.76
"2026-02-09 00:00:00",56.53,,48.57
"2026-02-10 00:00:00",42.26,,47.48
"2026-02-11 00:00:00",43.83,,43.55
"2026-02-12 00:00:00",0,,29.42
"2026-02-13 00:00:00",39.77,,36.5
"2026-02-14 00:00:00",23.54,,28.68
"2026-02-15 00:00:00",0,,23.21
"2026-02-16 00:00:00",26.54,,31.31
"2026-02-17 00:00:00",20,,31.92
"2026-02-18 00:00:00",52.65,,38.09
"2026-02-19 00:00:00",30.15,,34.84
"2026-02-20 00:00:00",50.54,,35.2
"2026-02-21 00:00:00",34.12,,37.02
"2026-02-22 00:00:00",29.86,,33.77
"2026-02-23 00:00:00",29.08,,33.5
"2026-02-24 00:00:00",32.77,31.540070707070683,32.02
