"Time","Sales","Trend Line","7-Day Moving Average"
"2024-02-29 00:00:00",14,94.95937762444639,14
"2024-03-01 00:00:00",0,,2
"2024-03-02 00:00:00",0,,2
"2024-03-03 00:00:00",0,,2
"2024-03-04 00:00:00",0,,0
"2024-03-05 00:00:00",0,,0
"2024-03-06 00:00:00",0,,0
"2024-03-07 00:00:00",0,,0
"2024-03-08 00:00:00",0,,0
"2024-03-09 00:00:00",0,,0
"2024-03-10 00:00:00",0,,0
"2024-03-11 00:00:00",0,,0
"2024-03-12 00:00:00",0,,1.09
"2024-03-13 00:00:00",0,,4.43
"2024-03-14 00:00:00",0,,7.13
"2024-03-15 00:00:00",7.61,,13.58
"2024-03-16 00:00:00",23.39,,20.57
"2024-03-17 00:00:00",18.91,,21.81
"2024-03-18 00:00:00",22.35,,25.43
"2024-03-19 00:00:00",24.93,,31.34
"2024-03-20 00:00:00",36.54,,35
"2024-03-21 00:00:00",44.27,,36.01
"2024-03-22 00:00:00",49,,36.83
"2024-03-23 00:00:00",49,,38.72
"2024-03-24 00:00:00",26,,42.37
"2024-03-25 00:00:00",28.07,,46.03
"2024-03-26 00:00:00",38.18,,45.83
"2024-03-27 00:00:00",62.04,,46.57
"2024-03-28 00:00:00",69.94,,49.36
"2024-03-29 00:00:00",47.56,,53.02
"2024-03-30 00:00:00",54.21,,57.74
"2024-03-31 00:00:00",45.5,,65.39
"2024-04-01 01:00:00",53.7,,64.8
"2024-04-02 01:00:00",71.24,,65.83
"2024-04-03 01:00:00",115.6,,63.57
"2024-04-04 01:00:00",65.82,,63.13
"2024-04-05 01:00:00",54.77,,60.12
"2024-04-06 01:00:00",38.37,,55.43
"2024-04-07 01:00:00",42.38,,50.18
"2024-04-08 01:00:00",32.65,,46.43
"2024-04-09 01:00:00",38.4,,52.37
"2024-04-10 01:00:00",78.88,,56.43
"2024-04-11 01:00:00",39.57,,58.57
"2024-04-12 01:00:00",96.35,,59.42
"2024-04-13 01:00:00",66.77,,60.37
"2024-04-14 01:00:00",57.38,,68.46
"2024-04-15 01:00:00",38.59,,71.58
"2024-04-16 01:00:00",45.06,,66.4
"2024-04-17 01:00:00",135.53,,62.57
"2024-04-18 01:00:00",61.36,,61.55
"2024-04-19 01:00:00",60.1,,63.89
"2024-04-20 01:00:00",39.98,,70.31
"2024-04-21 01:00:00",50.22,,66.5
"2024-04-22 01:00:00",54.99,,64.13
"2024-04-23 01:00:00",89.97,,60.72
"2024-04-24 01:00:00",108.89,,61.57
"2024-04-25 01:00:00",44.74,,60.63
"2024-04-26 01:00:00",36.24,,59.61
"2024-04-27 01:00:00",45.95,,56.12
"2024-04-28 01:00:00",43.66,,51.57
"2024-04-29 01:00:00",47.8,,56.56
"2024-04-30 01:00:00",65.57,,68.33
"2024-05-01 01:00:00",77.06,,78.57
"2024-05-02 01:00:00",79.67,,88.88
"2024-05-03 01:00:00",118.58,,90.37
"2024-05-04 01:00:00",117.66,,89.63
"2024-05-05 01:00:00",115.84,,95.97
"2024-05-06 01:00:00",58.23,,90.87
"2024-05-07 01:00:00",60.38,,91.08
"2024-05-08 01:00:00",121.44,,80.72
"2024-05-09 01:00:00",43.94,,70.07
"2024-05-10 01:00:00",120.1,,68.06
"2024-05-11 01:00:00",45.08,,70.02
"2024-05-12 01:00:00",41.33,,65.19
"2024-05-13 01:00:00",44.15,,74.15
"2024-05-14 01:00:00",74.09,,69.31
"2024-05-15 01:00:00",87.65,,75.28
"2024-05-16 01:00:00",106.64,,89.7
"2024-05-17 01:00:00",86.24,,97.98
"2024-05-18 01:00:00",86.89,,98.66
"2024-05-19 01:00:00",142.27,,100.92
"2024-05-20 01:00:00",102.05,,94.38
"2024-05-21 01:00:00",78.88,,89.47
"2024-05-22 01:00:00",103.47,,84
"2024-05-23 01:00:00",60.83,,69.8
"2024-05-24 01:00:00",51.88,,62.59
"2024-05-25 01:00:00",48.61,,57.7
"2024-05-26 01:00:00",42.87,,49.53
"2024-05-27 01:00:00",51.61,,48.19
"2024-05-28 01:00:00",44.6,,53.73
"2024-05-29 01:00:00",46.34,,71
"2024-05-30 01:00:00",51.39,,74.5
"2024-05-31 01:00:00",90.72,,77.26
"2024-06-01 01:00:00",169.47,,83.05
"2024-06-02 01:00:00",67.38,,89.33
"2024-06-03 01:00:00",70.92,,100.18
"2024-06-04 01:00:00",85.11,,112.24
"2024-06-05 01:00:00",90.29,,117.57
"2024-06-06 01:00:00",127.39,,126.14
"2024-06-07 01:00:00",175.13,,147.85
"2024-06-08 01:00:00",206.77,,174.27
"2024-06-09 01:00:00",0,,72.76
"2024-06-10 01:00:00",0,,54.56
"2024-06-11 01:00:00",0,,29.54
"2024-06-12 01:00:00",0,,0
"2024-06-13 01:00:00",0,,0
"2024-06-14 01:00:00",0,,0
"2024-06-15 01:00:00",0,,0
"2024-06-16 01:00:00",0,,0
"2024-06-17 01:00:00",0,,0
"2024-06-18 01:00:00",0,,0
"2024-06-19 01:00:00",0,,0
"2024-06-20 01:00:00",0,,0
"2024-06-21 01:00:00",0,,0
"2024-06-22 01:00:00",0,,0
"2024-06-23 01:00:00",0,,0
"2024-06-24 01:00:00",0,,0
"2024-06-25 01:00:00",0,,0
"2024-06-26 01:00:00",0,,0
"2024-06-27 01:00:00",0,,27.94
"2024-06-28 01:00:00",0,,52.74
"2024-06-29 01:00:00",0,,88.41
"2024-06-30 01:00:00",195.6,,227.22
"2024-07-01 01:00:00",173.56,,246.03
"2024-07-02 01:00:00",249.73,,287.09
"2024-07-03 01:00:00",384.83,,313.14
"2024-07-04 01:00:00",371.37,,368.01
"2024-07-05 01:00:00",384.83,,381.73
"2024-07-06 01:00:00",432.08,,395.97
"2024-07-07 01:00:00",579.7,,392.2
"2024-07-08 01:00:00",269.6,,379.78
"2024-07-09 01:00:00",349.36,,354.28
"2024-07-10 01:00:00",358.45,,327.43
"2024-07-11 01:00:00",284.44,,306.12
"2024-07-12 01:00:00",206.33,,319.55
"2024-07-13 01:00:00",244.11,,316.96
"2024-07-14 01:00:00",430.52,,293.14
"2024-07-15 01:00:00",363.62,,276.25
"2024-07-16 01:00:00",331.22,,282.9
"2024-07-17 01:00:00",191.71,,298.86
"2024-07-18 01:00:00",166.21,,261.2
"2024-07-19 01:00:00",252.91,,233.69
"2024-07-20 01:00:00",355.82,,220.78
"2024-07-21 01:00:00",166.9,,232.17
"2024-07-22 01:00:00",171.05,,262.68
"2024-07-23 01:00:00",240.86,,293.42
"2024-07-24 01:00:00",271.43,,273.71
"2024-07-25 01:00:00",379.79,,276.53
"2024-07-26 01:00:00",468.09,,273.23
"2024-07-27 01:00:00",217.88,,259.87
"2024-07-28 01:00:00",186.59,,246.12
"2024-07-29 01:00:00",147.95,,228.69
"2024-07-30 01:00:00",147.36,,226.43
"2024-07-31 01:00:00",175.15,,239.86
"2024-08-01 01:00:00",257.78,,238.2
"2024-08-02 01:00:00",452.33,,242.23
"2024-08-03 01:00:00",311.84,,263.21
"2024-08-04 01:00:00",175.02,,273.56
"2024-08-05 01:00:00",176.12,,268.71
"2024-08-06 01:00:00",294.25,,233.5
"2024-08-07 01:00:00",247.56,,206.28
"2024-08-08 01:00:00",223.88,,210.31
"2024-08-09 01:00:00",205.83,,212.69
"2024-08-10 01:00:00",121.33,,200.4
"2024-08-11 01:00:00",203.22,,184.88
"2024-08-12 01:00:00",192.79,,198.33
"2024-08-13 01:00:00",208.22,,219.62
"2024-08-14 01:00:00",138.86,,222.12
"2024-08-15 01:00:00",318.07,,264.13
"2024-08-16 01:00:00",354.84,,265.09
"2024-08-17 01:00:00",0,,164.67
"2024-08-18 01:00:00",0,,178.87
"2024-08-19 01:00:00",125.98,,190.3
"2024-08-20 01:00:00",214.92,,185.1
"2024-08-21 01:00:00",238.27,,202.47
"2024-08-22 01:00:00",146.14,,189.89
"2024-08-23 01:00:00",140.53,,186.56
"2024-08-24 01:00:00",313.16,,172.63
"2024-08-25 01:00:00",150.2,,162.46
"2024-08-26 01:00:00",102.72,,170.09
"2024-08-27 01:00:00",117.42,,191.33
"2024-08-28 01:00:00",167.03,,167.86
"2024-08-29 01:00:00",199.54,,158.47
"2024-08-30 01:00:00",289.24,,156.72
"2024-08-31 01:00:00",148.85,,154.25
"2024-09-01 01:00:00",84.47,,143.02
"2024-09-02 01:00:00",90.51,,132.32
"2024-09-03 01:00:00",100.08,,120.88
"2024-09-04 01:00:00",88.42,,140.86
"2024-09-05 01:00:00",124.69,,142.8
"2024-09-06 01:00:00",209.16,,143.49
"2024-09-07 01:00:00",288.66,,145.65
"2024-09-08 01:00:00",98.08,,145.93
"2024-09-09 01:00:00",95.37,,143.79
"2024-09-10 01:00:00",115.15,,146.65
"2024-09-11 01:00:00",90.41,,145.43
"2024-09-12 01:00:00",109.7,,143.56
"2024-09-13 01:00:00",229.21,,145.12
"2024-09-14 01:00:00",280.08,,150.29
"2024-09-15 01:00:00",85,,164.41
"2024-09-16 01:00:00",106.3,,179.5
"2024-09-17 01:00:00",151.3,,167.75
"2024-09-18 01:00:00",189.3,,148
"2024-09-19 01:00:00",215.32,,179.72
"2024-09-20 01:00:00",146.94,,189.8
"2024-09-21 01:00:00",141.85,,181.06
"2024-09-22 01:00:00",307,,167.2
"2024-09-23 01:00:00",176.91,,149.02
"2024-09-24 01:00:00",90.1,,139.91
"2024-09-25 01:00:00",92.29,,134.86
"2024-09-26 01:00:00",88.03,,125.43
"2024-09-27 01:00:00",83.21,,111.98
"2024-09-28 01:00:00",106.47,,115.33
"2024-09-29 01:00:00",241.03,,117.62
"2024-09-30 01:00:00",82.7,,121.2
"2024-10-01 01:00:00",113.58,,128.85
"2024-10-02 01:00:00",108.34,,131.14
"2024-10-03 01:00:00",113.04,,113.82
"2024-10-04 01:00:00",136.81,,121.71
"2024-10-05 01:00:00",122.5,,124.7
"2024-10-06 01:00:00",119.77,,118.64
"2024-10-07 01:00:00",137.95,,110.48
"2024-10-08 01:00:00",134.5,,103.54
"2024-10-09 01:00:00",65.93,,104.43
"2024-10-10 01:00:00",55.87,,105.07
"2024-10-11 01:00:00",88.28,,112.2
"2024-10-12 01:00:00",128.71,,110.83
"2024-10-13 01:00:00",124.22,,116.95
"2024-10-14 01:00:00",187.87,,120.85
"2024-10-15 01:00:00",124.96,,117.35
"2024-10-16 01:00:00",108.74,,108.29
"2024-10-17 01:00:00",83.16,,108.46
"2024-10-18 01:00:00",63.78,,94.86
"2024-10-19 01:00:00",65.27,,88.25
"2024-10-20 01:00:00",125.43,,96.87
"2024-10-21 01:00:00",92.66,,93.54
"2024-10-22 01:00:00",78.71,,95.94
"2024-10-23 01:00:00",169.05,,94.72
"2024-10-24 01:00:00",59.89,,94.17
"2024-10-25 01:00:00",80.58,,131.13
"2024-10-26 01:00:00",56.69,,127.99
"2024-10-27 01:00:00",121.64,,130.49
"2024-10-28 00:00:00",351.36,,237.76
"2024-10-29 00:00:00",0,,75.67
"2024-10-30 00:00:00",0,,67.57
"2024-10-31 00:00:00",0,,50.19
"2024-11-01 00:00:00",0,,2.92
"2024-11-02 00:00:00",0,,8.77
"2024-11-03 00:00:00",0,,14.8
"2024-11-04 00:00:00",20.47,,29.51
"2024-11-05 00:00:00",40.95,,38.82
"2024-11-06 00:00:00",42.19,,39.88
"2024-11-07 00:00:00",41.57,,42.25
"2024-11-08 00:00:00",44.67,,43.77
"2024-11-09 00:00:00",47.15,,41.61
"2024-11-10 00:00:00",58.77,,39.18
"2024-11-11 00:00:00",31.11,,36.04
"2024-11-12 00:00:00",25.78,,34.09
