"Time","Sales","Trend Line","7-Day Moving Average"
"2024-02-24 00:00:00",79.48,130.015427529298,66.06
"2024-02-25 00:00:00",51.73,,56.13
"2024-02-26 00:00:00",42.76,,58.83
"2024-02-27 00:00:00",49.99,,61.31
"2024-02-28 00:00:00",65.49,,58.92
"2024-02-29 00:00:00",79.59,,65
"2024-03-01 00:00:00",60.16,,71.51
"2024-03-02 00:00:00",62.71,,80.81
"2024-03-03 00:00:00",94.31,,92.55
"2024-03-04 00:00:00",88.33,,102.28
"2024-03-05 00:00:00",115.11,,113.39
"2024-03-06 00:00:00",147.67,,130.05
"2024-03-07 00:00:00",147.67,,127.64
"2024-03-08 00:00:00",137.92,,125.44
"2024-03-09 00:00:00",179.37,,120.76
"2024-03-10 00:00:00",77.38,,112.24
"2024-03-11 00:00:00",72.97,,102.9
"2024-03-12 00:00:00",82.34,,97.77
"2024-03-13 00:00:00",88,,86.72
"2024-03-14 00:00:00",82.34,,88.83
"2024-03-15 00:00:00",101.99,,91.17
"2024-03-16 00:00:00",101.99,,98.56
"2024-03-17 00:00:00",92.16,,106.05
"2024-03-18 00:00:00",89.36,,114.34
"2024-03-19 00:00:00",134.05,,121.95
"2024-03-20 00:00:00",140.43,,128.44
"2024-03-21 00:00:00",140.43,,122.88
"2024-03-22 00:00:00",155.21,,117.33
"2024-03-23 00:00:00",147.45,,107.82
"2024-03-24 00:00:00",53.2,,98.08
"2024-03-25 00:00:00",50.53,,90.08
"2024-03-26 00:00:00",67.46,,81.7
"2024-03-27 00:00:00",72.3,,73.23
"2024-03-28 00:00:00",84.42,,74.85
"2024-03-29 00:00:00",96.56,,75.45
"2024-03-30 00:00:00",88.11,,75.04
"2024-03-31 00:00:00",64.58,,77.04
"2024-04-01 01:00:00",54.75,,78.6
"2024-04-02 01:00:00",64.58,,78.44
"2024-04-03 01:00:00",86.25,,78.17
"2024-04-04 01:00:00",95.4,,85.77
"2024-04-05 01:00:00",95.4,,89.77
"2024-04-06 01:00:00",86.25,,95.55
"2024-04-07 01:00:00",117.73,,100.05
"2024-04-08 01:00:00",82.77,,103.24
"2024-04-09 01:00:00",105.05,,107.51
"2024-04-10 01:00:00",117.73,,110.19
"2024-04-11 01:00:00",117.73,,105
"2024-04-12 01:00:00",125.29,,103.51
"2024-04-13 01:00:00",105.05,,103.08
"2024-04-14 01:00:00",81.41,,102.95
"2024-04-15 01:00:00",72.28,,105.65
"2024-04-16 01:00:00",102.04,,106.49
"2024-04-17 01:00:00",116.84,,109.48
"2024-04-18 01:00:00",136.67,,119.58
"2024-04-19 01:00:00",131.11,,125.59
"2024-04-20 01:00:00",125.98,,131.4
"2024-04-21 01:00:00",152.13,,136.44
"2024-04-22 01:00:00",114.37,,140.19
"2024-04-23 01:00:00",142.71,,143.19
"2024-04-24 01:00:00",152.13,,145.58
"2024-04-25 01:00:00",162.89,,144.57
"2024-04-26 01:00:00",152.13,,146.85
"2024-04-27 01:00:00",142.71,,150.83
"2024-04-28 01:00:00",145.02,,158.67
"2024-04-29 01:00:00",130.38,,166.64
"2024-04-30 01:00:00",170.56,,174.48
"2024-05-01 01:00:00",207.01,,182.17
"2024-05-02 01:00:00",218.7,,183.62
"2024-05-03 01:00:00",207.01,,187.17
"2024-05-04 01:00:00",196.51,,194.81
"2024-05-05 01:00:00",155.2,,198.91
"2024-05-06 01:00:00",155.2,,205.23
"2024-05-07 01:00:00",224.05,,211.16
