"Time","Sales","Trend Line","7-Day Moving Average"
"2024-05-26 01:00:00",2272.53,3099.8758868654886,2387.45
"2024-05-27 01:00:00",2113.84,,2457.67
"2024-05-28 01:00:00",2689.78,,2686.26
"2024-05-29 01:00:00",2818.39,,2750.29
"2024-05-30 01:00:00",3081.47,,2799.39
"2024-05-31 01:00:00",3138,,2871.16
"2024-06-01 01:00:00",3138,,2860.65
"2024-06-02 01:00:00",2616.23,,2831.77
"2024-06-03 01:00:00",2616.23,,2733.79
"2024-06-04 01:00:00",2616.23,,2659.25
"2024-06-05 01:00:00",2616.23,,2584.71
"2024-06-06 01:00:00",2395.6,,2381.85
"2024-06-07 01:00:00",2616.23,,2178.99
"2024-06-08 01:00:00",2616.23,,1976.14
"2024-06-09 01:00:00",1196.22,,1832.16
"2024-06-10 01:00:00",1196.22,,1675.58
"2024-06-11 01:00:00",1196.22,,1546.37
"2024-06-12 01:00:00",1608.37,,2595
"2024-06-13 01:00:00",1299.58,,2842.33
"2024-06-14 01:00:00",1711.73,,3069.27
"2024-06-15 01:00:00",9956.68,,3263.86
"2024-06-16 01:00:00",2927.48,,3414.56
"2024-06-17 01:00:00",2784.81,,3604.34
"2024-06-18 01:00:00",2558.4,,3687.27
"2024-06-19 01:00:00",2663.23,,2570.14
"2024-06-20 01:00:00",2628.05,,2527.96
"2024-06-21 01:00:00",2292.24,,2488.14
"2024-06-22 01:00:00",2136.78,,2542.66
"2024-06-23 01:00:00",2632.24,,2634.96
"2024-06-24 01:00:00",2506.01,,2732.28
"2024-06-25 01:00:00",2940.1,,2909.26
"2024-06-26 01:00:00",3309.29,,3144.71
"2024-06-27 01:00:00",3309.29,,3292.37
"2024-06-28 01:00:00",3531.12,,3507.34
"2024-06-29 01:00:00",3784.95,,3571.12
"2024-06-30 01:00:00",3665.8,,3580.6
"2024-07-01 01:00:00",4010.85,,3590.08
"2024-07-02 01:00:00",3386.57,,3566.97
"2024-07-03 01:00:00",3375.65,,3548.29
"2024-07-04 01:00:00",3375.65,,3428.36
"2024-07-05 01:00:00",3369.31,,3259.14
"2024-07-06 01:00:00",3654.18,,3206.49
"2024-07-07 01:00:00",2826.3,,3155.4
"2024-07-08 01:00:00",2826.3,,3349.38
"2024-07-09 01:00:00",3018.03,,3780.03
"2024-07-10 01:00:00",3018.03,,3783.71
"2024-07-11 01:00:00",4733.54,,3858.28
