"Time","Sales","Trend Line","7-Day Moving Average"
"2025-07-25 01:00:00",4666.21,6294.652087106666,4087.93
"2025-07-26 01:00:00",8,,2178.74
"2025-07-27 01:00:00",0,,3357.77
"2025-07-28 01:00:00",5276.47,,5358.08
"2025-07-29 01:00:00",5276.47,,5938
"2025-07-30 01:00:00",8277.27,,8155.75
"2025-07-31 01:00:00",8725.66,,7970.03
"2025-08-01 01:00:00",8725.66,,8212.99
"2025-08-02 01:00:00",12531.47,,8207.29
"2025-08-03 01:00:00",6977.19,,7775.1
"2025-08-04 01:00:00",6977.19,,7451.01
"2025-08-05 01:00:00",5236.62,,7258.09
"2025-08-06 01:00:00",5251.9,,7290.86
"2025-08-07 01:00:00",6457.03,,6877.91
"2025-08-08 01:00:00",7375.25,,6767.69
"2025-08-09 01:00:00",12760.82,,7317.08
"2025-08-10 01:00:00",4086.58,,7594.03
"2025-08-11 01:00:00",6205.62,,7163.67
"2025-08-12 01:00:00",9082.36,,7182.09
"2025-08-13 01:00:00",7190.56,,6431.14
"2025-08-14 01:00:00",3444.52,,6669.41
"2025-08-15 01:00:00",7504.18,,6604.95
"2025-08-16 01:00:00",7504.18,,6129.53
"2025-08-17 01:00:00",5754.42,,5632.62
"2025-08-18 01:00:00",5754.42,,5960.65
"2025-08-19 01:00:00",5754.42,,5710.68
"2025-08-20 01:00:00",3712.22,,5460.72
"2025-08-21 01:00:00",5740.7,,5359.76
"2025-08-22 01:00:00",5754.42,,5258.8
"2025-08-23 01:00:00",5754.42,,5050.65
"2025-08-24 01:00:00",5047.72,,5211.19
"2025-08-25 01:00:00",5047.72,,4970.99
"2025-08-26 01:00:00",4297.35,,4728.83
"2025-08-27 01:00:00",4835.97,,4541
"2025-08-28 01:00:00",4059.33,,4396.49
"2025-08-29 01:00:00",4059.33,,4251.97
"2025-08-30 01:00:00",4439.6,,4214.66
"2025-08-31 01:00:00",4036.12,,4100.39
"2025-09-01 01:00:00",4036.12,,4174.26
"2025-09-02 01:00:00",4036.12,,4189
"2025-09-03 01:00:00",4036.12,,4189.29
"2025-09-04 01:00:00",4576.38,,4128.31
"2025-09-05 01:00:00",4162.51,,4187.81
"2025-09-06 01:00:00",4441.63,,4247.31
"2025-09-07 01:00:00",3609.32,,4306.81
"2025-09-08 01:00:00",4452.61,,4289.13
"2025-09-09 01:00:00",4452.61,,4330.57
"2025-09-10 01:00:00",4452.61,,4332.14
"2025-09-11 01:00:00",4452.61,,4547.67
"2025-09-12 01:00:00",4452.61,,4642.72
"2025-09-13 01:00:00",4452.61,,4737.78
"2025-09-14 01:00:00",5118.01,,4832.84
