"Time","Sales","Trend Line","7-Day Moving Average"
"2024-02-24 00:00:00",0.06,18.70422182374178,0.06
"2024-02-25 00:00:00",0.07,,0.07
"2024-02-26 00:00:00",0.05,,0.08
"2024-02-27 00:00:00",0.08,,0.08
"2024-02-28 00:00:00",0.09,,0.08
"2024-02-29 00:00:00",0.13,,0.81
"2024-03-01 00:00:00",0.1,,1.38
"2024-03-02 00:00:00",0.07,,2.07
"2024-03-03 00:00:00",5.17,,3.17
"2024-03-04 00:00:00",4,,4.33
"2024-03-05 00:00:00",4.96,,5.35
"2024-03-06 00:00:00",7.77,,6.74
"2024-03-07 00:00:00",8.21,,6.81
"2024-03-08 00:00:00",7.24,,6.87
"2024-03-09 00:00:00",9.84,,7.01
"2024-03-10 00:00:00",5.64,,6.85
"2024-03-11 00:00:00",4.41,,6.74
"2024-03-12 00:00:00",5.93,,7.14
"2024-03-13 00:00:00",6.71,,7.39
"2024-03-14 00:00:00",7.39,,6.6
"2024-03-15 00:00:00",10.07,,5.99
"2024-03-16 00:00:00",11.57,,5.16
"2024-03-17 00:00:00",0.11,,4.24
"2024-03-18 00:00:00",0.17,,3.2
"2024-03-19 00:00:00",0.13,,1.78
"2024-03-20 00:00:00",0.25,,0.14
"2024-03-21 00:00:00",0.12,,0.14
"2024-03-22 00:00:00",0.12,,0.12
"2024-03-23 00:00:00",0.09,,0.12
"2024-03-24 00:00:00",0.1,,0.1
"2024-03-25 00:00:00",0.06,,0.1
"2024-03-26 00:00:00",0.08,,0.1
"2024-03-27 00:00:00",0.13,,0.11
"2024-03-28 00:00:00",0.13,,0.11
"2024-03-29 00:00:00",0.14,,0.11
"2024-03-30 00:00:00",0.14,,0.12
"2024-03-31 00:00:00",0.07,,0.11
"2024-04-01 01:00:00",0.1,,0.11
"2024-04-02 01:00:00",0.1,,0.11
"2024-04-03 01:00:00",0.1,,0.11
"2024-04-04 01:00:00",0.11,,0.67
"2024-04-05 01:00:00",0.17,,1.13
"2024-04-06 01:00:00",0.14,,1.79
"2024-04-07 01:00:00",4,,2.85
"2024-04-08 01:00:00",3.29,,3.63
"2024-04-09 01:00:00",4.71,,4.77
"2024-04-10 01:00:00",7.53,,5.68
"2024-04-11 01:00:00",5.57,,5.6
"2024-04-12 01:00:00",8.18,,5.53
"2024-04-13 01:00:00",6.5,,5.36
"2024-04-14 01:00:00",3.45,,4.91
"2024-04-15 01:00:00",2.8,,4.93
"2024-04-16 01:00:00",3.48,,4.79
"2024-04-17 01:00:00",4.41,,4.9
"2024-04-18 01:00:00",5.69,,5.92
"2024-04-19 01:00:00",7.18,,6.37
"2024-04-20 01:00:00",7.29,,7.06
"2024-04-21 01:00:00",10.6,,8.08
"2024-04-22 01:00:00",5.91,,9.29
"2024-04-23 01:00:00",8.35,,9.63
"2024-04-24 01:00:00",11.51,,9.54
"2024-04-25 01:00:00",14.19,,9.12
"2024-04-26 01:00:00",9.54,,9.09
"2024-04-27 01:00:00",6.68,,9.28
"2024-04-28 01:00:00",7.65,,9.07
"2024-04-29 01:00:00",5.73,,8.75
"2024-04-30 01:00:00",9.66,,9.33
"2024-05-01 01:00:00",10.07,,9.84
"2024-05-02 01:00:00",11.95,,10
"2024-05-03 01:00:00",13.56,,10.51
"2024-05-04 01:00:00",10.24,,11.06
"2024-05-05 01:00:00",8.79,,11.53
"2024-05-06 01:00:00",9.28,,12.11
"2024-05-07 01:00:00",13.54,,12.98
"2024-05-08 01:00:00",13.34,,14.77
"2024-05-09 01:00:00",16.02,,15.06
"2024-05-10 01:00:00",19.63,,14.98
"2024-05-11 01:00:00",22.81,,14.63
"2024-05-12 01:00:00",10.8,,15.05
"2024-05-13 01:00:00",8.7,,15.86
"2024-05-14 01:00:00",11.13,,15.68
"2024-05-15 01:00:00",16.28,,14.79
"2024-05-16 01:00:00",21.66,,14.98
"2024-05-17 01:00:00",18.4,,15.27
"2024-05-18 01:00:00",16.57,,15.55
"2024-05-19 01:00:00",12.15,,15.77
"2024-05-20 01:00:00",10.73,,15.34
"2024-05-21 01:00:00",13.09,,16.76
"2024-05-22 01:00:00",17.82,,17.73
"2024-05-23 01:00:00",18.64,,18.23
"2024-05-24 01:00:00",28.3,,18.85
"2024-05-25 01:00:00",23.39,,19.5
"2024-05-26 01:00:00",15.67,,20.34
"2024-05-27 01:00:00",15.05,,23.06
"2024-05-28 01:00:00",17.66,,23.92
