"Time","Sales","Trend Line","7-Day Moving Average"
"2024-03-07 00:00:00",1.13,10.997044940163784,2.48
"2024-03-08 00:00:00",2.63,,3.12
"2024-03-09 00:00:00",2.25,,2.96
"2024-03-10 00:00:00",7.96,,5.41
"2024-03-11 00:00:00",0,,2.24
"2024-03-12 00:00:00",0,,2.48
"2024-03-13 00:00:00",0,,2.86
"2024-03-14 00:00:00",2.83,,3.47
"2024-03-15 00:00:00",4.31,,3.88
"2024-03-16 00:00:00",4.91,,3.58
"2024-03-17 00:00:00",3.78,,3.09
"2024-03-18 00:00:00",2.73,,2.94
"2024-03-19 00:00:00",1.61,,2.53
"2024-03-20 00:00:00",1.47,,2
"2024-03-21 00:00:00",1.75,,1.65
"2024-03-22 00:00:00",1.47,,1.4
"2024-03-23 00:00:00",1.19,,1.52
"2024-03-24 00:00:00",1.36,,1.56
"2024-03-25 00:00:00",0.95,,1.47
"2024-03-26 00:00:00",2.44,,1.45
"2024-03-27 00:00:00",1.77,,1.57
"2024-03-28 00:00:00",1.09,,2.1
"2024-03-29 00:00:00",1.36,,2.62
"2024-03-30 00:00:00",2.04,,2.7
"2024-03-31 00:00:00",5.07,,3.03
"2024-04-01 01:00:00",4.56,,3.53
"2024-04-02 01:00:00",3.04,,4.56
"2024-04-03 01:00:00",4.05,,5.43
"2024-04-04 01:00:00",4.56,,6.4
"2024-04-05 01:00:00",8.61,,6.33
"2024-04-06 01:00:00",8.11,,6.95
"2024-04-07 01:00:00",11.87,,7.31
"2024-04-08 01:00:00",4.1,,7.31
"2024-04-09 01:00:00",7.37,,7.74
"2024-04-10 01:00:00",6.54,,7.29
"2024-04-11 01:00:00",4.54,,7.28
"2024-04-12 01:00:00",11.65,,7.39
"2024-04-13 01:00:00",4.93,,7.71
"2024-04-14 01:00:00",11.84,,7.78
"2024-04-15 01:00:00",4.84,,7.68
"2024-04-16 01:00:00",9.62,,6.65
"2024-04-17 01:00:00",7.07,,6.57
"2024-04-18 01:00:00",3.8,,5.54
"2024-04-19 01:00:00",4.45,,5.81
"2024-04-20 01:00:00",4.38,,5.34
"2024-04-21 01:00:00",4.6,,5.81
"2024-04-22 01:00:00",6.74,,7.07
"2024-04-23 01:00:00",6.31,,7.46
"2024-04-24 01:00:00",10.38,,7.86
"2024-04-25 01:00:00",12.63,,8.53
"2024-04-26 01:00:00",7.17,,8.39
"2024-04-27 01:00:00",7.17,,8.43
"2024-04-28 01:00:00",9.31,,7.52
"2024-04-29 01:00:00",5.73,,6.16
"2024-04-30 01:00:00",6.65,,5.66
"2024-05-01 01:00:00",3.99,,5.14
"2024-05-02 01:00:00",3.07,,5
"2024-05-03 01:00:00",3.68,,5.48
"2024-05-04 01:00:00",3.58,,6.6
"2024-05-05 01:00:00",8.31,,7.27
"2024-05-06 01:00:00",9.05,,8.39
"2024-05-07 01:00:00",14.51,,8.89
"2024-05-08 01:00:00",8.68,,9.14
"2024-05-09 01:00:00",10.91,,9.15
"2024-05-10 01:00:00",7.19,,8.91
"2024-05-11 01:00:00",5.33,,7.53
"2024-05-12 01:00:00",8.4,,6.82
"2024-05-13 01:00:00",7.32,,5.87
"2024-05-14 01:00:00",4.88,,6.44
"2024-05-15 01:00:00",3.73,,6.43
"2024-05-16 01:00:00",4.27,,6.36
"2024-05-17 01:00:00",11.18,,6.06
"2024-05-18 01:00:00",5.22,,6.25
"2024-05-19 01:00:00",7.95,,6.32
"2024-05-20 01:00:00",5.21,,6.14
"2024-05-21 01:00:00",6.21,,5.04
"2024-05-22 01:00:00",4.22,,5.29
"2024-05-23 01:00:00",2.98,,4.74
"2024-05-24 01:00:00",3.48,,4.51
"2024-05-25 01:00:00",6.95,,4.11
"2024-05-26 01:00:00",4.14,,3.79
"2024-05-27 01:00:00",3.6,,3.75
"2024-05-28 01:00:00",3.42,,4
"2024-05-29 01:00:00",1.98,,3.57
"2024-05-30 01:00:00",2.7,,3.64
"2024-05-31 01:00:00",5.22,,3.56
"2024-06-01 01:00:00",3.96,,3.5
"2024-06-02 01:00:00",4.6,,3.45
"2024-06-03 01:00:00",3.06,,3.29
"2024-06-04 01:00:00",2.98,,2.86
"2024-06-05 01:00:00",1.62,,2.86
"2024-06-06 01:00:00",1.62,,2.63
"2024-06-07 01:00:00",2.21,,3.12
"2024-06-08 01:00:00",3.91,,3.5
"2024-06-09 01:00:00",3.03,,3.98
"2024-06-10 01:00:00",6.5,,4.53
"2024-06-11 01:00:00",5.63,,5.01
"2024-06-12 01:00:00",4.98,,5.57
"2024-06-13 01:00:00",5.42,,5.65
"2024-06-14 01:00:00",5.63,,5.21
"2024-06-15 01:00:00",7.8,,4.82
"2024-06-16 01:00:00",3.58,,4.88
"2024-06-17 01:00:00",3.42,,5.2
"2024-06-18 01:00:00",2.93,,4.91
"2024-06-19 01:00:00",5.38,,4.14
"2024-06-20 01:00:00",7.66,,4.05
"2024-06-21 01:00:00",3.58,,3.83
"2024-06-22 01:00:00",2.44,,3.97
"2024-06-23 01:00:00",2.91,,3.67
"2024-06-24 01:00:00",1.94,,3.24
"2024-06-25 01:00:00",3.88,,3.39
"2024-06-26 01:00:00",3.29,,3.57
"2024-06-27 01:00:00",4.65,,3.54
"2024-06-28 01:00:00",4.65,,4.25
"2024-06-29 01:00:00",3.68,,4.01
"2024-06-30 01:00:00",2.72,,4.05
"2024-07-01 01:00:00",6.85,,3.84
"2024-07-02 01:00:00",2.25,,3.73
"2024-07-03 01:00:00",3.55,,3.72
"2024-07-04 01:00:00",3.19,,3.7
"2024-07-05 01:00:00",3.9,,3.36
"2024-07-06 01:00:00",3.55,,3.61
"2024-07-07 01:00:00",2.59,,3.81
"2024-07-08 01:00:00",4.47,,4.19
"2024-07-09 01:00:00",4,,4.34
"2024-07-10 01:00:00",4.94,,4.57
"2024-07-11 01:00:00",5.88,,5.09
"2024-07-12 01:00:00",4.94,,5.53
"2024-07-13 01:00:00",5.18,,5.99
"2024-07-14 01:00:00",6.2,,5.98
"2024-07-15 01:00:00",7.58,,5.85
"2024-07-16 01:00:00",7.24,,7.29
"2024-07-17 01:00:00",4.82,,8.71
"2024-07-18 01:00:00",5,,9.45
"2024-07-19 01:00:00",14.99,,9.84
"2024-07-20 01:00:00",15.16,,10.54
"2024-07-21 01:00:00",11.35,,12.17
"2024-07-22 01:00:00",10.32,,14.63
"2024-07-23 01:00:00",12.13,,16.8
"2024-07-24 01:00:00",16.26,,18.28
"2024-07-25 01:00:00",22.19,,18.67
"2024-07-26 01:00:00",30.19,,18.58
"2024-07-27 01:00:00",25.55,,18.76
"2024-07-28 01:00:00",14.03,,17.94
"2024-07-29 01:00:00",9.7,,17.36
"2024-07-30 01:00:00",13.38,,17.94
"2024-07-31 01:00:00",10.56,,15.86
"2024-08-01 01:00:00",18.1,,15.67
"2024-08-02 01:00:00",34.29,,16.31
"2024-08-03 01:00:00",10.95,,16.46
"2024-08-04 01:00:00",12.72,,17.44
"2024-08-05 01:00:00",14.14,,17.02
"2024-08-06 01:00:00",14.45,,14.28
"2024-08-07 01:00:00",17.4,,20.71
"2024-08-08 01:00:00",15.16,,21.05
"2024-08-09 01:00:00",15.16,,21.17
"2024-08-10 01:00:00",55.96,,24.89
"2024-08-11 01:00:00",15.1,,25.48
"2024-08-12 01:00:00",14.98,,27.28
"2024-08-13 01:00:00",40.46,,31.28
"2024-08-14 01:00:00",21.57,,26.37
"2024-08-15 01:00:00",27.74,,29.05
"2024-08-16 01:00:00",43.14,,35.27
"2024-08-17 01:00:00",0,,19.99
"2024-08-18 01:00:00",0,,19.84
"2024-08-19 01:00:00",27.7,,28.55
"2024-08-20 01:00:00",19.81,,26.2
"2024-08-21 01:00:00",20.52,,32.22
"2024-08-22 01:00:00",33.3,,35.44
"2024-08-23 01:00:00",42.45,,35.32
"2024-08-24 01:00:00",61.23,,43.6
"2024-08-25 01:00:00",43.06,,47.94
"2024-08-26 01:00:00",26.85,,50.5
"2024-08-27 01:00:00",77.76,,50.65
"2024-08-28 01:00:00",50.91,,45.86
"2024-08-29 01:00:00",51.26,,46.84
"2024-08-30 01:00:00",43.47,,51.02
"2024-08-31 01:00:00",27.68,,44.93
"2024-09-01 01:00:00",49.96,,46.69
"2024-09-02 01:00:00",56.07,,53.26
