"Time","Sales","Trend Line","7-Day Moving Average"
"2024-02-24 00:00:00",19.53,69.13627331948067,22.96
"2024-02-25 00:00:00",21.43,,24.91
"2024-02-26 00:00:00",35.22,,26.11
"2024-02-27 00:00:00",25.92,,24.21
"2024-02-28 00:00:00",29.41,,27.71
"2024-02-29 00:00:00",16.06,,29.37
"2024-03-01 00:00:00",21.93,,26.89
"2024-03-02 00:00:00",44.03,,25.48
"2024-03-03 00:00:00",33.03,,23.86
"2024-03-04 00:00:00",17.86,,25.06
"2024-03-05 00:00:00",16.01,,26.32
"2024-03-06 00:00:00",18.12,,27.14
"2024-03-07 00:00:00",24.43,,26.84
"2024-03-08 00:00:00",30.75,,27.86
"2024-03-09 00:00:00",49.8,,30.07
"2024-03-10 00:00:00",30.89,,33.61
"2024-03-11 00:00:00",25.03,,36.5
"2024-03-12 00:00:00",31.5,,42.07
"2024-03-13 00:00:00",42.85,,44
"2024-03-14 00:00:00",44.68,,43.99
"2024-03-15 00:00:00",69.71,,45.08
"2024-03-16 00:00:00",63.36,,47.03
"2024-03-17 00:00:00",30.79,,48.57
"2024-03-18 00:00:00",32.7,,54.43
"2024-03-19 00:00:00",45.14,,54.04
"2024-03-20 00:00:00",53.58,,54
"2024-03-21 00:00:00",85.74,,53.95
"2024-03-22 00:00:00",66.94,,55.78
"2024-03-23 00:00:00",63.12,,56.97
"2024-03-24 00:00:00",30.44,,57.49
"2024-03-25 00:00:00",45.5,,53.74
"2024-03-26 00:00:00",53.46,,54.89
"2024-03-27 00:00:00",57.21,,54.57
"2024-03-28 00:00:00",59.48,,56.25
"2024-03-29 00:00:00",75.01,,58.14
"2024-03-30 00:00:00",60.89,,60.02
"2024-03-31 00:00:00",42.21,,65.27
"2024-04-01 01:00:00",58.74,,69.79
"2024-04-02 01:00:00",66.62,,73.69
"2024-04-03 01:00:00",93.91,,78
"2024-04-04 01:00:00",91.14,,79.42
"2024-04-05 01:00:00",102.34,,77.73
"2024-04-06 01:00:00",91.04,,74.93
"2024-04-07 01:00:00",52.14,,70.33
"2024-04-08 01:00:00",46.95,,70.1
"2024-04-09 01:00:00",47.01,,76.81
"2024-04-10 01:00:00",61.71,,82.57
"2024-04-11 01:00:00",89.51,,93.87
"2024-04-12 01:00:00",149.29,,101.49
"2024-04-13 01:00:00",131.39,,105.9
"2024-04-14 01:00:00",131.21,,113.59
"2024-04-15 01:00:00",100.34,,116.74
"2024-04-16 01:00:00",77.83,,107.55
"2024-04-17 01:00:00",115.53,,96.43
"2024-04-18 01:00:00",111.56,,88.14
"2024-04-19 01:00:00",84.97,,81.69
"2024-04-20 01:00:00",53.56,,82.56
"2024-04-21 01:00:00",73.17,,81.31
"2024-04-22 01:00:00",55.18,,80.85
"2024-04-23 01:00:00",83.92,,87.35
"2024-04-24 01:00:00",106.79,,99.43
"2024-04-25 01:00:00",108.38,,98.78
"2024-04-26 01:00:00",130.46,,100.08
"2024-04-27 01:00:00",138.11,,102.72
"2024-04-28 01:00:00",68.6,,110.38
"2024-04-29 01:00:00",64.31,,115.73
"2024-04-30 01:00:00",102.42,,119.95
"2024-05-01 01:00:00",160.37,,120.71
"2024-05-02 01:00:00",145.85,,128.08
"2024-05-03 01:00:00",160.02,,131.83
"2024-05-04 01:00:00",143.43,,140.78
"2024-05-05 01:00:00",120.18,,142.87
"2024-05-06 01:00:00",90.51,,142.21
"2024-05-07 01:00:00",165.13,,131.07
"2024-05-08 01:00:00",174.97,,120.29
"2024-05-09 01:00:00",141.24,,112.8
"2024-05-10 01:00:00",82,,109.74
"2024-05-11 01:00:00",67.97,,100.97
"2024-05-12 01:00:00",67.76,,90.36
"2024-05-13 01:00:00",69.1,,85.94
"2024-05-14 01:00:00",103.76,,102.29
"2024-05-15 01:00:00",100.66,,117.57
"2024-05-16 01:00:00",110.35,,146.89
"2024-05-17 01:00:00",196.41,,150.98
"2024-05-18 01:00:00",174.95,,151.74
"2024-05-19 01:00:00",272.98,,157.27
"2024-05-20 01:00:00",97.73,,164.32
"2024-05-21 01:00:00",109.11,,157.77
"2024-05-22 01:00:00",139.34,,145.43
"2024-05-23 01:00:00",159.74,,126.71
"2024-05-24 01:00:00",150.52,,138.65
"2024-05-25 01:00:00",88.58,,140.02
"2024-05-26 01:00:00",141.94,,140.68
"2024-05-27 01:00:00",181.33,,140.53
"2024-05-28 01:00:00",118.72,,136.14
"2024-05-29 01:00:00",143.95,,134.14
"2024-05-30 01:00:00",158.66,,123.71
"2024-05-31 01:00:00",119.82,,111.22
"2024-06-01 01:00:00",74.58,,112.29
"2024-06-02 01:00:00",68.89,,116.76
"2024-06-03 01:00:00",93.91,,114.76
"2024-06-04 01:00:00",126.25,,117.86
"2024-06-05 01:00:00",175.19,,122.43
"2024-06-06 01:00:00",144.71,,124.58
"2024-06-07 01:00:00",141.49,,125.02
"2024-06-08 01:00:00",106.55,,127.13
"2024-06-09 01:00:00",83.94,,121.39
"2024-06-10 01:00:00",96.98,,124.39
"2024-06-11 01:00:00",141.05,,135.47
"2024-06-12 01:00:00",135.01,,150.14
"2024-06-13 01:00:00",165.72,,150.73
"2024-06-14 01:00:00",219.06,,149.71
"2024-06-15 01:00:00",209.25,,148.18
"2024-06-16 01:00:00",88.01,,148.77
"2024-06-17 01:00:00",89.84,,148.72
"2024-06-18 01:00:00",130.39,,152.16
"2024-06-19 01:00:00",139.13,,157
"2024-06-20 01:00:00",165.36,,161.02
"2024-06-21 01:00:00",243.13,,164.68
"2024-06-22 01:00:00",243.13,,169.78
"2024-06-23 01:00:00",116.15,,174.15
"2024-06-24 01:00:00",115.48,,188.53
"2024-06-25 01:00:00",166.11,,198.44
"2024-06-26 01:00:00",169.69,,200.71
"2024-06-27 01:00:00",266.04,,211.35
"2024-06-28 01:00:00",312.5,,214.04
"2024-06-29 01:00:00",259.03,,213.22
"2024-06-30 01:00:00",190.59,,244.49
"2024-07-01 01:00:00",134.33,,242.84
"2024-07-02 01:00:00",160.36,,215.67
"2024-07-03 01:00:00",388.55,,196.14
"2024-07-04 01:00:00",254.54,,185.63
"2024-07-05 01:00:00",122.32,,184.95
"2024-07-06 01:00:00",122.32,,187.21
"2024-07-07 01:00:00",116.96,,163.12
"2024-07-08 01:00:00",129.57,,167.75
"2024-07-09 01:00:00",176.21,,192.06
"2024-07-10 01:00:00",219.91,,213.57
"2024-07-11 01:00:00",286.99,,240.12
"2024-07-12 01:00:00",292.44,,266.97
"2024-07-13 01:00:00",272.91,,283.45
"2024-07-14 01:00:00",302.78,,272.02
"2024-07-15 01:00:00",317.56,,249.08
"2024-07-16 01:00:00",291.53,,232.86
"2024-07-17 01:00:00",139.9,,236.14
"2024-07-18 01:00:00",126.41,,211.46
"2024-07-19 01:00:00",178.95,,187.28
"2024-07-20 01:00:00",295.87,,169.73
"2024-07-21 01:00:00",130,,184.89
"2024-07-22 01:00:00",148.3,,200.06
"2024-07-23 01:00:00",168.71,,212.74
"2024-07-24 01:00:00",245.98,,220.71
"2024-07-25 01:00:00",232.63,,220.85
"2024-07-26 01:00:00",267.68,,235.33
"2024-07-27 01:00:00",351.7,,255.18
"2024-07-28 01:00:00",130.97,,254.09
"2024-07-29 01:00:00",249.62,,260.65
"2024-07-30 01:00:00",307.67,,247.61
"2024-07-31 01:00:00",238.37,,226
"2024-08-01 01:00:00",278.51,,245.9
"2024-08-02 01:00:00",176.4,,230.65
"2024-08-03 01:00:00",200.46,,211.41
"2024-08-04 01:00:00",270.28,,206.4
"2024-08-05 01:00:00",142.86,,190.16
"2024-08-06 01:00:00",173,,188.23
"2024-08-07 01:00:00",203.28,,215.57
"2024-08-08 01:00:00",164.82,,199.48
"2024-08-09 01:00:00",162.89,,199.9
"2024-08-10 01:00:00",391.86,,199.05
"2024-08-11 01:00:00",157.63,,202.01
"2024-08-12 01:00:00",145.83,,217.02
"2024-08-13 01:00:00",167.07,,259.84
"2024-08-14 01:00:00",223.95,,235.85
"2024-08-15 01:00:00",269.92,,250.86
"2024-08-16 01:00:00",462.61,,279.97
"2024-08-17 01:00:00",0,,222.31
"2024-08-18 01:00:00",216.71,,254.14
"2024-08-19 01:00:00",156.91,,225.39
"2024-08-20 01:00:00",226.08,,182.73
"2024-08-21 01:00:00",230.06,,168.43
"2024-08-22 01:00:00",128.42,,151.61
"2024-08-23 01:00:00",94.88,,148.1
"2024-08-24 01:00:00",125.94,,140.04
"2024-08-25 01:00:00",98.98,,135.44
"2024-08-26 01:00:00",132.35,,154
"2024-08-27 01:00:00",169.62,,168.71
"2024-08-28 01:00:00",197.88,,169.29
"2024-08-29 01:00:00",258.32,,176.35
"2024-08-30 01:00:00",197.88,,202.28
"2024-08-31 01:00:00",129.97,,193.23
"2024-09-01 01:00:00",148.46,,185.16
"2024-09-02 01:00:00",313.86,,164.47
"2024-09-03 01:00:00",106.22,,161.42
"2024-09-04 01:00:00",141.42,,162.14
"2024-09-05 01:00:00",113.47,,154.28
"2024-09-06 01:00:00",176.54,,120.89
"2024-09-07 01:00:00",135.03,,119.02
"2024-09-08 01:00:00",93.4,,114.68
"2024-09-09 01:00:00",80.15,,117.87
"2024-09-10 01:00:00",93.1,,126.47
"2024-09-11 01:00:00",111.09,,132.71
"2024-09-12 01:00:00",135.78,,136.58
"2024-09-13 01:00:00",236.72,,137.29
"2024-09-14 01:00:00",178.76,,139.4
"2024-09-15 01:00:00",120.49,,147.81
"2024-09-16 01:00:00",85.06,,163.58
"2024-09-17 01:00:00",107.9,,154.83
"2024-09-18 01:00:00",169.96,,141.72
"2024-09-19 01:00:00",246.14,,135.93
"2024-09-20 01:00:00",175.5,,135.81
"2024-09-21 01:00:00",86.97,,138.17
"2024-09-22 01:00:00",79.97,,134.81
"2024-09-23 01:00:00",84.21,,122.62
"2024-09-24 01:00:00",124.44,,125.86
"2024-09-25 01:00:00",146.43,,143.57
"2024-09-26 01:00:00",160.81,,166.54
"2024-09-27 01:00:00",198.2,,206.62
"2024-09-28 01:00:00",210.93,,214.29
"2024-09-29 01:00:00",240.75,,214.13
"2024-09-30 01:00:00",364.79,,211.07
"2024-10-01 01:00:00",178.1,,201.29
"2024-10-02 01:00:00",145.33,,188.28
"2024-10-03 01:00:00",139.42,,196.09
"2024-10-04 01:00:00",129.73,,180.73
"2024-10-05 01:00:00",119.87,,196.36
"2024-10-06 01:00:00",295.41,,198.08
"2024-10-07 01:00:00",257.28,,195.75
"2024-10-08 01:00:00",287.49,,203.91
"2024-10-09 01:00:00",157.34,,223.71
"2024-10-10 01:00:00",123.15,,205.31
"2024-10-11 01:00:00",186.8,,200.01
"2024-10-12 01:00:00",258.52,,199.92
"2024-10-13 01:00:00",166.57,,216.6
"2024-10-14 01:00:00",220.19,,233.9
"2024-10-15 01:00:00",286.87,,233.9
"2024-10-16 01:00:00",274.11,,214.57
"2024-10-17 01:00:00",244.21,,210.75
"2024-10-18 01:00:00",186.8,,202.15
"2024-10-19 01:00:00",123.25,,194.7
"2024-10-20 01:00:00",139.83,,192.71
"2024-10-21 01:00:00",159.99,,201.58
"2024-10-22 01:00:00",234.74,,224.35
"2024-10-23 01:00:00",260.18,,252.57
"2024-10-24 01:00:00",306.29,,296.26
"2024-10-25 01:00:00",346.16,,320.08
"2024-10-26 01:00:00",320.8,,323.85
"2024-10-27 01:00:00",445.63,,318.08
"2024-10-28 00:00:00",326.73,,297.98
"2024-10-29 00:00:00",261.16,,276.14
"2024-10-30 00:00:00",219.79,,258.71
"2024-10-31 00:00:00",165.61,,228.93
"2024-11-01 00:00:00",193.27,,213.56
"2024-11-02 00:00:00",198.81,,220.05
"2024-11-03 00:00:00",237.15,,222.53
"2024-11-04 00:00:00",219.11,,221.54
"2024-11-05 00:00:00",306.59,,241.53
"2024-11-06 00:00:00",237.15,,252.71
"2024-11-07 00:00:00",158.72,,269.52
"2024-11-08 00:00:00",333.19,,273.78
"2024-11-09 00:00:00",277.09,,277.13
"2024-11-10 00:00:00",354.76,,277.61
"2024-11-11 00:00:00",248.96,,285.19
"2024-11-12 00:00:00",330.01,,259.62
"2024-11-13 00:00:00",240.51,,246.71
"2024-11-14 00:00:00",211.79,,238.76
"2024-11-15 00:00:00",154.25,,243.85
"2024-11-16 00:00:00",186.72,,234.12
"2024-11-17 00:00:00",299.11,,242.65
"2024-11-18 00:00:00",284.58,,247.36
"2024-11-19 00:00:00",261.91,,247.19
"2024-11-20 00:00:00",300.18,,238.71
"2024-11-21 00:00:00",244.74,,230.11
"2024-11-22 00:00:00",153.09,,225.05
"2024-11-23 00:00:00",127.38,,223.02
"2024-11-24 00:00:00",238.86,,214.92
"2024-11-25 00:00:00",249.16,,205.27
"2024-11-26 00:00:00",247.76,,204.01
"2024-11-27 00:00:00",243.44,,201
"2024-11-28 00:00:00",177.21,,182.91
"2024-11-29 00:00:00",144.28,,166.42
"2024-11-30 00:00:00",106.28,,144.48
"2024-12-01 00:00:00",112.22,,135
"2024-12-02 00:00:00",133.75,,142.94
"2024-12-03 00:00:00",94.2,,156.89
"2024-12-04 00:00:00",177.08,,169.71
"2024-12-05 00:00:00",232.76,,166.74
"2024-12-06 00:00:00",241.94,,162.14
"2024-12-07 00:00:00",196.04,,172.11
"2024-12-08 00:00:00",91.44,,174.94
"2024-12-09 00:00:00",101.49,,171.49
"2024-12-10 00:00:00",164.02,,168.63
"2024-12-11 00:00:00",196.86,,167.57
"2024-12-12 00:00:00",208.63,,201.54
"2024-12-13 00:00:00",221.93,,220.55
"2024-12-14 00:00:00",188.63,,220.75
"2024-12-15 00:00:00",329.24,,219.45
"2024-12-16 00:00:00",234.53,,209.46
"2024-12-17 00:00:00",165.42,,196.81
"2024-12-18 00:00:00",187.75,,185.86
"2024-12-19 00:00:00",138.69,,149.61
"2024-12-20 00:00:00",133.41,,128.39
"2024-12-21 00:00:00",111.95,,121.43
"2024-12-22 00:00:00",75.5,,115.08
"2024-12-23 00:00:00",86.03,,117.88
"2024-12-24 00:00:00",116.66,,123.75
"2024-12-25 00:00:00",143.33,,135.43
"2024-12-26 00:00:00",158.31,,151.23
"2024-12-27 00:00:00",174.45,,154.06
