"Time","Sales","Trend Line","7-Day Moving Average"
"2025-02-23 00:00:00",25.95,243.72943758251742,30.72
"2025-02-24 00:00:00",30.6,,37.01
"2025-02-25 00:00:00",33.68,,42.13
"2025-02-26 00:00:00",46.98,,47.14
"2025-02-27 00:00:00",60.68,,50.75
"2025-02-28 00:00:00",63.37,,55.44
"2025-03-01 00:00:00",68.74,,55.29
"2025-03-02 00:00:00",51.2,,54.36
"2025-03-03 00:00:00",63.4,,56.61
"2025-03-04 00:00:00",32.68,,52.88
"2025-03-05 00:00:00",40.48,,47
"2025-03-06 00:00:00",76.41,,44.76
"2025-03-07 00:00:00",37.25,,42.67
"2025-03-08 00:00:00",27.59,,50.61
"2025-03-09 00:00:00",35.49,,55.81
"2025-03-10 00:00:00",48.78,,51.33
"2025-03-11 00:00:00",88.25,,50.57
"2025-03-12 00:00:00",76.93,,50.86
"2025-03-13 00:00:00",45.02,,52.66
"2025-03-14 00:00:00",31.96,,59.13
"2025-03-15 00:00:00",29.58,,62.14
"2025-03-16 00:00:00",48.08,,60.02
"2025-03-17 00:00:00",94.08,,72.22
"2025-03-18 00:00:00",109.31,,77.19
"2025-03-19 00:00:00",62.08,,81.86
"2025-03-20 00:00:00",130.43,,82.93
"2025-03-21 00:00:00",66.77,,77.49
"2025-03-22 00:00:00",62.26,,71.56
"2025-03-23 00:00:00",55.59,,75.29
"2025-03-24 00:00:00",55.98,,68.9
"2025-03-25 00:00:00",67.81,,73.71
"2025-03-26 00:00:00",88.22,,91.28
"2025-03-27 00:00:00",85.68,,102.43
"2025-03-28 00:00:00",100.45,,117.82
"2025-03-29 00:00:00",185.26,,126.41
"2025-03-30 00:00:00",133.64,,125.57
"2025-03-31 01:00:00",163.67,,122.11
"2025-04-01 01:00:00",127.93,,118.3
"2025-04-02 01:00:00",82.37,,107.57
"2025-04-03 01:00:00",61.46,,114.79
"2025-04-04 01:00:00",73.8,,107.07
"2025-04-05 01:00:00",110.14,,111.04
"2025-04-06 01:00:00",184.16,,108.27
"2025-04-07 01:00:00",109.62,,109.17
"2025-04-08 01:00:00",155.74,,109.51
"2025-04-09 01:00:00",62.97,,106.14
"2025-04-10 01:00:00",67.79,,90.91
"2025-04-11 01:00:00",76.16,,86.3
"2025-04-12 01:00:00",86.55,,98.08
"2025-04-13 01:00:00",77.54,,116.08
"2025-04-14 01:00:00",77.37,,129.39
"2025-04-15 01:00:00",238.21,,133.16
"2025-04-16 01:00:00",188.95,,133.71
"2025-04-17 01:00:00",160.95,,133.59
"2025-04-18 01:00:00",102.54,,141.38
"2025-04-19 01:00:00",90.44,,147.74
"2025-04-20 01:00:00",76.64,,131.96
"2025-04-21 01:00:00",131.93,,122.61
"2025-04-22 01:00:00",282.72,,121.22
"2025-04-23 01:00:00",78.48,,121.14
"2025-04-24 01:00:00",95.52,,133.97
"2025-04-25 01:00:00",92.79,,128.95
"2025-04-26 01:00:00",89.91,,99.59
"2025-04-27 01:00:00",166.44,,115.26
"2025-04-28 01:00:00",96.8,,121.36
"2025-04-29 01:00:00",77.16,,134.99
"2025-04-30 01:00:00",188.18,,141.86
"2025-05-01 01:00:00",138.24,,157.16
"2025-05-02 01:00:00",188.18,,163.31
"2025-05-03 01:00:00",138,,172.68
"2025-05-04 01:00:00",273.57,,159.51
"2025-05-05 01:00:00",139.84,,152.31
"2025-05-06 01:00:00",142.77,,138.51
"2025-05-07 01:00:00",96,,146.86
"2025-05-08 01:00:00",87.78,,121.6
"2025-05-09 01:00:00",91.62,,113.73
"2025-05-10 01:00:00",196.42,,105.12
"2025-05-11 01:00:00",96.74,,110.81
"2025-05-12 01:00:00",84.76,,118.21
"2025-05-13 01:00:00",82.54,,128.52
"2025-05-14 01:00:00",135.79,,137.57
"2025-05-15 01:00:00",139.6,,143.69
"2025-05-16 01:00:00",163.81,,151.41
"2025-05-17 01:00:00",259.76,,174.3
"2025-05-18 01:00:00",0,,141.2
"2025-05-19 01:00:00",114.57,,166.86
"2025-05-20 01:00:00",146.78,,178.27
"2025-05-21 01:00:00",163.9,,189.7
"2025-05-22 01:00:00",204.62,,186.87
"2025-05-23 01:00:00",211.51,,190.28
"2025-05-24 01:00:00",322.63,,188.08
"2025-05-25 01:00:00",144.05,,183.4
"2025-05-26 01:00:00",138.5,,188.8
"2025-05-27 01:00:00",131.36,,203.87
"2025-05-28 01:00:00",131.13,,223.71
"2025-05-29 01:00:00",242.43,,228.14
"2025-05-30 01:00:00",317.01,,250.11
"2025-05-31 01:00:00",461.51,,275.23
"2025-06-01 01:00:00",175.02,,298.6
"2025-06-02 01:00:00",292.33,,299.67
"2025-06-03 01:00:00",307.21,,289.6
"2025-06-04 01:00:00",294.68,,286.86
"2025-06-05 01:00:00",249.93,,337.06
"2025-06-06 01:00:00",246.53,,377.78
"2025-06-07 01:00:00",442.3,,383.77
"2025-06-08 01:00:00",526.42,,374.97
"2025-06-09 01:00:00",577.41,,400.86
"2025-06-10 01:00:00",349.1,,407.03
"2025-06-11 01:00:00",233.08,,377.14
"2025-06-12 01:00:00",431.2,,339.03
"2025-06-13 01:00:00",289.72,,303.6
"2025-06-14 01:00:00",233.08,,303.43
"2025-06-15 01:00:00",259.6,,362.22
"2025-06-16 01:00:00",329.4,,378.67
"2025-06-17 01:00:00",347.91,,394.59
"2025-06-18 01:00:00",644.6,,413.49
"2025-06-19 01:00:00",546.38,,433.79
"2025-06-20 01:00:00",401.18,,431.7
"2025-06-21 01:00:00",365.38,,417.19
"2025-06-22 01:00:00",401.69,,363.8
"2025-06-23 01:00:00",314.79,,328.72
"2025-06-24 01:00:00",246.3,,333.05
"2025-06-25 01:00:00",270.87,,384
"2025-06-26 01:00:00",300.85,,371.42
"2025-06-27 01:00:00",431.48,,377.94
"2025-06-28 01:00:00",722.02,,418.46
"2025-06-29 01:00:00",313.62,,478.74
"2025-06-30 01:00:00",360.44,,487.25
"2025-07-01 01:00:00",529.93,,555.28
"2025-07-02 01:00:00",692.82,,574.38
"2025-07-03 01:00:00",0,,456.32
"2025-07-04 01:00:00",738.19,,752.56
"2025-07-05 01:00:00",0,,593.78
"2025-07-06 01:00:00",872.84,,868.88
"2025-07-07 01:00:00",957.78,,841.21
"2025-07-08 01:00:00",894.83,,771.66
"2025-07-09 01:00:00",0,,567.57
"2025-07-10 01:00:00",509.3,,549.59
"2025-07-11 01:00:00",377.19,,436.76
"2025-07-12 01:00:00",361.05,,358.2
"2025-07-13 01:00:00",237.69,,350
"2025-07-14 01:00:00",300.07,,357.62
"2025-07-15 01:00:00",0,,333.04
"2025-07-16 01:00:00",427.03,,427.43
"2025-07-17 01:00:00",500.27,,460.8
"2025-07-18 01:00:00",505.16,,470.8
"2025-07-19 01:00:00",594.78,,436.7
"2025-07-20 01:00:00",398,,414.35
"2025-07-21 01:00:00",365.22,,375.98
"2025-07-22 01:00:00",266.47,,375.05
"2025-07-23 01:00:00",270.53,,365.57
"2025-07-24 01:00:00",231.68,,341.81
"2025-07-25 01:00:00",498.69,,399.02
"2025-07-26 01:00:00",528.41,,433.62
"2025-07-27 01:00:00",0,,302.22
"2025-07-28 01:00:00",0,,351.33
"2025-07-29 01:00:00",449.23,,536.04
"2025-07-30 01:00:00",407.53,,498.29
"2025-07-31 01:00:00",575.42,,541.37
"2025-08-01 01:00:00",893.23,,522.64
"2025-08-02 01:00:00",347.58,,504.46
"2025-08-03 01:00:00",541.17,,483.24
"2025-08-04 01:00:00",444.33,,455.4
"2025-08-05 01:00:00",321.95,,387.91
"2025-08-06 01:00:00",259,,369.71
"2025-08-07 01:00:00",380.52,,319.91
"2025-08-08 01:00:00",420.81,,281.75
"2025-08-09 01:00:00",220.22,,266.83
"2025-08-10 01:00:00",192.55,,272.31
"2025-08-11 01:00:00",177.21,,269.57
"2025-08-12 01:00:00",217.5,,273.9
"2025-08-13 01:00:00",297.35,,311.71
"2025-08-14 01:00:00",361.32,,338.7
"2025-08-15 01:00:00",451.15,,373.93
"2025-08-16 01:00:00",484.91,,396.02
"2025-08-17 01:00:00",381.45,,393.91
"2025-08-18 01:00:00",423.83,,387.7
"2025-08-19 01:00:00",372.14,,353.11
"2025-08-20 01:00:00",282.56,,311.43
"2025-08-21 01:00:00",317.87,,323.71
"2025-08-22 01:00:00",209.02,,303.3
"2025-08-23 01:00:00",193.13,,286.9
"2025-08-24 01:00:00",467.43,,284.82
"2025-08-25 01:00:00",280.93,,271.89
"2025-08-26 01:00:00",257.38,,269.14
