"Time","Sales","Trend Line","7-Day Moving Average"
"2025-12-26 00:00:00",158.67,86.27362771020633,158.68
"2025-12-27 00:00:00",231.02,,167.84
"2025-12-28 00:00:00",129.98,,127.95
"2025-12-29 00:00:00",115.09,,118.3
"2025-12-30 00:00:00",78.08,,104.68
"2025-12-31 00:00:00",52.84,,77.14
"2026-01-01 00:00:00",62.44,,78.01
"2026-01-02 00:00:00",63.34,,70.82
"2026-01-03 00:00:00",38.23,,67.18
"2026-01-04 00:00:00",136.07,,67.51
"2026-01-05 00:00:00",64.77,,65.18
"2026-01-06 00:00:00",52.59,,62.32
"2026-01-07 00:00:00",55.16,,68
"2026-01-08 00:00:00",46.1,,56.65
"2026-01-09 00:00:00",43.31,,56.85
"2026-01-10 00:00:00",78,,61.25
"2026-01-11 00:00:00",56.62,,67.84
"2026-01-12 00:00:00",66.16,,72.51
"2026-01-13 00:00:00",83.4,,75.97
"2026-01-14 00:00:00",101.27,,70.57
"2026-01-15 00:00:00",78.79,,75.59
"2026-01-16 00:00:00",67.57,,75.6
"2026-01-17 00:00:00",40.2,,69.02
"2026-01-18 00:00:00",91.75,,60.07
"2026-01-19 00:00:00",66.24,,54.48
"2026-01-20 00:00:00",37.34,,49.24
"2026-01-21 00:00:00",38.59,,48.43
"2026-01-22 00:00:00",39.67,,39.54
"2026-01-23 00:00:00",30.92,,34.81
"2026-01-24 00:00:00",34.49,,33.52
"2026-01-25 00:00:00",29.51,,32.6
"2026-01-26 00:00:00",33.16,,34.61
"2026-01-27 00:00:00",28.3,,42.77
"2026-01-28 00:00:00",32.17,,42.14
"2026-01-29 00:00:00",53.69,,43.63
"2026-01-30 00:00:00",88.04,,45.1
"2026-01-31 00:00:00",30.13,,47.33
"2026-02-01 00:00:00",39.9,,48.69
"2026-02-02 00:00:00",43.47,,49.7
"2026-02-03 00:00:00",43.94,,48.31
"2026-02-04 00:00:00",41.67,,64.57
"2026-02-05 00:00:00",60.78,,81.6
"2026-02-06 00:00:00",78.28,,89.45
"2026-02-07 00:00:00",143.97,,93.4
"2026-02-08 00:00:00",159.09,,96.12
"2026-02-09 00:00:00",98.44,,96.84
"2026-02-10 00:00:00",71.58,,93.03
"2026-02-11 00:00:00",60.73,,80.86
"2026-02-12 00:00:00",65.82,,64.11
"2026-02-13 00:00:00",51.57,,58.62
"2026-02-14 00:00:00",58.77,,66.86
"2026-02-15 00:00:00",41.83,,64.2
"2026-02-16 00:00:00",60.05,,61.21
"2026-02-17 00:00:00",129.24,,60.26
"2026-02-18 00:00:00",42.12,,57
"2026-02-19 00:00:00",44.92,,57.96
"2026-02-20 00:00:00",44.87,,55.93
"2026-02-21 00:00:00",35.97,,44.25
"2026-02-22 00:00:00",48.56,,45.17
"2026-02-23 00:00:00",45.8,,44.9
"2026-02-24 00:00:00",47.49,46.58573770491796,45.76
