"Time","Sales","Trend Line","7-Day Moving Average"
"2025-11-23 00:00:00",138.19,54.60194321424705,104.51
"2025-11-24 00:00:00",83.94,,74.74
"2025-11-25 00:00:00",52.5,,64.01
"2025-11-26 00:00:00",42.36,,63.29
"2025-11-27 00:00:00",38.34,,44.2
"2025-11-28 00:00:00",40.25,,41.49
"2025-11-29 00:00:00",47.42,,44.93
"2025-11-30 00:00:00",4.61,,46.61
"2025-12-01 00:00:00",64.95,,51.67
"2025-12-02 00:00:00",76.6,,60.36
"2025-12-03 00:00:00",54.08,,76
"2025-12-04 00:00:00",73.76,,84.64
"2025-12-05 00:00:00",101.11,,86.25
"2025-12-06 00:00:00",156.9,,84.22
"2025-12-07 00:00:00",65.09,,90.14
"2025-12-08 00:00:00",76.18,,86.63
"2025-12-09 00:00:00",62.39,,80.58
"2025-12-10 00:00:00",95.53,,63.72
"2025-12-11 00:00:00",49.18,,62.15
"2025-12-12 00:00:00",58.76,,56.55
"2025-12-13 00:00:00",38.88,,52.25
"2025-12-14 00:00:00",54.11,,39.89
"2025-12-15 00:00:00",37,,38.78
"2025-12-16 00:00:00",32.32,,41.89
"2025-12-17 00:00:00",9,,49.57
"2025-12-18 00:00:00",41.42,,47.42
"2025-12-19 00:00:00",80.48,,46.28
"2025-12-20 00:00:00",92.66,,43.02
"2025-12-21 00:00:00",39.06,,43.27
"2025-12-22 00:00:00",29.05,,44.96
"2025-12-23 00:00:00",9.47,,40.6
"2025-12-24 00:00:00",10.75,,38.86
"2025-12-25 00:00:00",53.26,,39.03
"2025-12-26 00:00:00",49.96,,39.85
"2025-12-27 00:00:00",80.45,,41.61
"2025-12-28 00:00:00",40.25,,43.11
"2025-12-29 00:00:00",34.84,,43.35
"2025-12-30 00:00:00",21.75,,40.77
"2025-12-31 00:00:00",21.24,,34.57
"2026-01-01 00:00:00",54.97,,34.5
"2026-01-02 00:00:00",31.87,,34.42
"2026-01-03 00:00:00",37.06,,35.1
"2026-01-04 00:00:00",39.74,,34.83
"2026-01-05 00:00:00",34.28,,30.61
"2026-01-06 00:00:00",26.52,,33.76
"2026-01-07 00:00:00",19.39,,33.14
"2026-01-08 00:00:00",25.43,,32.02
"2026-01-09 00:00:00",53.9,,30.27
"2026-01-10 00:00:00",32.73,,31.28
"2026-01-11 00:00:00",31.86,,34.7
"2026-01-12 00:00:00",22.06,,38.75
"2026-01-13 00:00:00",33.57,,35.22
"2026-01-14 00:00:00",43.35,,46.86
"2026-01-15 00:00:00",53.78,,47.43
"2026-01-16 00:00:00",29.16,,59.41
"2026-01-17 00:00:00",114.21,,65.77
"2026-01-18 00:00:00",35.85,,69.99
"2026-01-19 00:00:00",105.97,,70.08
"2026-01-20 00:00:00",78.06,,71.94
"2026-01-21 00:00:00",72.92,,63.71
"2026-01-22 00:00:00",54.41,,72.26
"2026-01-23 00:00:00",42.19,,69.41
"2026-01-24 00:00:00",56.6,,69.84
"2026-01-25 00:00:00",95.68,,66.42
"2026-01-26 00:00:00",85.98,,65.28
"2026-01-27 00:00:00",81.07,,64.76
"2026-01-28 00:00:00",49.03,,67.29
"2026-01-29 00:00:00",46.41,,60.86
"2026-01-30 00:00:00",38.54,,57.4
"2026-01-31 00:00:00",74.29,,56.28
"2026-02-01 00:00:00",50.67,,52
"2026-02-02 00:00:00",61.79,,64.49
"2026-02-03 00:00:00",73.24,,77.46
"2026-02-04 00:00:00",19.08,,71.29
"2026-02-05 00:00:00",133.79,,86.24
"2026-02-06 00:00:00",129.35,,88.87
"2026-02-07 00:00:00",31.08,,89.75
"2026-02-08 00:00:00",155.36,,95.79
"2026-02-09 00:00:00",80.22,,87.2
"2026-02-10 00:00:00",79.38,,78.47
"2026-02-11 00:00:00",61.38,,81.86
"2026-02-12 00:00:00",73.6,,67.22
"2026-02-13 00:00:00",68.25,,63.55
"2026-02-14 00:00:00",54.8,,59.35
"2026-02-15 00:00:00",52.91,,55.78
"2026-02-16 00:00:00",54.56,,50.84
"2026-02-17 00:00:00",49.98,,50.63
"2026-02-18 00:00:00",36.39,,53.57
"2026-02-19 00:00:00",39,,53.02
"2026-02-20 00:00:00",66.79,,49.3
"2026-02-21 00:00:00",75.37,,45.46
"2026-02-22 00:00:00",49.02,,47.26
"2026-02-23 00:00:00",28.54,,42.84
"2026-02-24 00:00:00",23.08,58.385813315030845,35.04
