"Time","Sales","Trend Line","7-Day Moving Average"
"2024-02-25 00:00:00",48.09,343.0368930999348,58.95
"2024-02-26 00:00:00",51.59,,70.9
"2024-02-27 00:00:00",63.08,,80.08
"2024-02-28 00:00:00",105.63,,89
"2024-02-29 00:00:00",124.76,,101.32
"2024-03-01 00:00:00",104.34,,107.29
"2024-03-02 00:00:00",125.5,,105.57
"2024-03-03 00:00:00",134.35,,98.72
"2024-03-04 00:00:00",93.38,,94.44
"2024-03-05 00:00:00",51.06,,91.8
"2024-03-06 00:00:00",57.65,,89.28
"2024-03-07 00:00:00",94.77,,83.81
"2024-03-08 00:00:00",85.87,,78.88
"2024-03-09 00:00:00",107.91,,79.59
"2024-03-10 00:00:00",96.03,,84.84
"2024-03-11 00:00:00",58.88,,85.93
"2024-03-12 00:00:00",56.03,,95.18
"2024-03-13 00:00:00",94.42,,98.72
"2024-03-14 00:00:00",102.34,,106.85
"2024-03-15 00:00:00",150.66,,116.47
"2024-03-16 00:00:00",132.65,,123.41
"2024-03-17 00:00:00",152.97,,120.1
"2024-03-18 00:00:00",126.24,,113.59
"2024-03-19 00:00:00",104.59,,107.24
"2024-03-20 00:00:00",71.26,,98.71
"2024-03-21 00:00:00",56.78,,85.43
"2024-03-22 00:00:00",106.17,,75.75
"2024-03-23 00:00:00",72.98,,74.93
"2024-03-24 00:00:00",60.02,,82.15
"2024-03-25 00:00:00",58.43,,92.21
"2024-03-26 00:00:00",98.9,,96.44
"2024-03-27 00:00:00",121.76,,107.57
"2024-03-28 00:00:00",127.24,,122.32
"2024-03-29 00:00:00",135.73,,134.12
"2024-03-30 00:00:00",150.93,,139.65
"2024-03-31 00:00:00",163.26,,150.17
"2024-04-01 01:00:00",141.04,,186.99
"2024-04-02 01:00:00",137.58,,220.67
"2024-04-03 01:00:00",195.38,,227.72
"2024-04-04 01:00:00",385.01,,256.25
"2024-04-05 01:00:00",371.51,,273.05
"2024-04-06 01:00:00",200.23,,295.21
"2024-04-07 01:00:00",362.97,,289.59
"2024-04-08 01:00:00",258.68,,257.59
"2024-04-09 01:00:00",292.67,,253.91
"2024-04-10 01:00:00",156.03,,282.43
"2024-04-11 01:00:00",161.04,,256.1
"2024-04-12 01:00:00",345.74,,235.94
"2024-04-13 01:00:00",399.89,,218.86
"2024-04-14 01:00:00",178.65,,227.93
"2024-04-15 01:00:00",117.55,,222.32
"2024-04-16 01:00:00",173.09,,216.11
"2024-04-17 01:00:00",219.58,,192.43
"2024-04-18 01:00:00",121.71,,187.85
"2024-04-19 01:00:00",302.3,,192.58
"2024-04-20 01:00:00",234.1,,203.36
"2024-04-21 01:00:00",146.6,,214.15
"2024-04-22 01:00:00",150.69,,243.32
"2024-04-23 01:00:00",248.54,,251.78
"2024-04-24 01:00:00",295.09,,271.28
"2024-04-25 01:00:00",325.9,,329.63
"2024-04-26 01:00:00",361.51,,369.76
"2024-04-27 01:00:00",370.66,,365.57
"2024-04-28 01:00:00",555.03,,347.71
"2024-04-29 01:00:00",431.57,,323.15
"2024-04-30 01:00:00",219.2,,294.17
"2024-05-01 01:00:00",170.07,,264
"2024-05-02 01:00:00",154.04,,209.4
"2024-05-03 01:00:00",158.62,,168.5
"2024-05-04 01:00:00",159.48,,160.87
"2024-05-05 01:00:00",172.84,,169.27
"2024-05-06 01:00:00",145.26,,189.67
"2024-05-07 01:00:00",165.75,,223.77
"2024-05-08 01:00:00",228.9,,256.29
"2024-05-09 01:00:00",296.84,,281.3
"2024-05-10 01:00:00",397.32,,311.31
"2024-05-11 01:00:00",387.1,,322.08
"2024-05-12 01:00:00",347.94,,322.26
"2024-05-13 01:00:00",355.32,,314.98
"2024-05-14 01:00:00",241.15,,284.62
"2024-05-15 01:00:00",230.17,,249.71
"2024-05-16 01:00:00",245.85,,224.16
"2024-05-17 01:00:00",184.79,,199.95
"2024-05-18 01:00:00",142.77,,205.14
"2024-05-19 01:00:00",169.09,,217.27
"2024-05-20 01:00:00",185.86,,233.4
"2024-05-21 01:00:00",277.46,,262.33
"2024-05-22 01:00:00",315.09,,303.86
"2024-05-23 01:00:00",358.74,,411.55
"2024-05-24 01:00:00",387.32,,514.35
"2024-05-25 01:00:00",433.43,,541.23
"2024-05-26 01:00:00",922.93,,545.13
"2024-05-27 01:00:00",905.48,,564.68
"2024-05-28 01:00:00",465.59,,581.94
"2024-05-29 01:00:00",342.39,,590.71
"2024-05-30 01:00:00",495.64,,700.09
"2024-05-31 01:00:00",508.14,,595.42
"2024-06-01 01:00:00",494.83,,578.35
"2024-06-02 01:00:00",1688.58,,566.66
"2024-06-03 01:00:00",172.78,,596.95
"2024-06-04 01:00:00",346.07,,569.95
"2024-06-05 01:00:00",260.6,,544
"2024-06-06 01:00:00",707.68,,350.89
"2024-06-07 01:00:00",319.1,,373.78
"2024-06-08 01:00:00",313.19,,372.44
"2024-06-09 01:00:00",336.8,,368.17
"2024-06-10 01:00:00",333.03,,305.11
"2024-06-11 01:00:00",336.66,,311.66
"2024-06-12 01:00:00",230.72,,357.14
"2024-06-13 01:00:00",266.29,,341.58
"2024-06-14 01:00:00",364.95,,345.07
"2024-06-15 01:00:00",631.55,,360.35
"2024-06-16 01:00:00",227.88,,392.05
"2024-06-17 01:00:00",357.44,,423.56
"2024-06-18 01:00:00",443.65,,443.04
