"Time","Sales","Trend Line","7-Day Moving Average"
"2025-05-04 01:00:00",2.87,10.673474437457493,3.16
"2025-05-05 01:00:00",2.51,,3.51
"2025-05-06 01:00:00",2.63,,4.03
"2025-05-07 01:00:00",5.48,,4.64
"2025-05-08 01:00:00",6.03,,4.6
"2025-05-09 01:00:00",6.07,,4.62
"2025-05-10 01:00:00",6.9,,4.98
"2025-05-11 01:00:00",2.57,,5.11
"2025-05-12 01:00:00",2.68,,4.87
"2025-05-13 01:00:00",5.13,,4.86
"2025-05-14 01:00:00",6.41,,4.82
"2025-05-15 01:00:00",4.33,,5.99
"2025-05-16 01:00:00",6.03,,6.26
"2025-05-17 01:00:00",6.56,,5.95
"2025-05-18 01:00:00",10.81,,5.59
"2025-05-19 01:00:00",4.52,,5.57
"2025-05-20 01:00:00",2.99,,5.14
"2025-05-21 01:00:00",3.92,,4.61
"2025-05-22 01:00:00",4.17,,4.25
"2025-05-23 01:00:00",3.02,,4.48
"2025-05-24 01:00:00",2.85,,4.87
"2025-05-25 01:00:00",8.27,,5.13
"2025-05-26 01:00:00",6.12,,5.41
"2025-05-27 01:00:00",5.74,,6.01
"2025-05-28 01:00:00",5.76,,9.02
"2025-05-29 01:00:00",0,,8.23
"2025-05-30 01:00:00",7.56,,9.6
"2025-05-31 01:00:00",23.93,,12.04
"2025-06-01 01:00:00",8.53,,9.8
"2025-06-02 01:00:00",8.13,,9.45
"2025-06-03 01:00:00",6.41,,9.8
"2025-06-04 01:00:00",5.54,,9.04
"2025-06-05 01:00:00",6.06,,10.11
"2025-06-06 01:00:00",9.97,,10.37
"2025-06-07 01:00:00",18.61,,11.87
"2025-06-08 01:00:00",16.04,,11.61
"2025-06-09 01:00:00",0,,10.81
"2025-06-10 01:00:00",8.23,,12.17
"2025-06-11 01:00:00",6.35,,10.64
"2025-06-12 01:00:00",16.46,,10.81
"2025-06-13 01:00:00",11.26,,9.34
"2025-06-14 01:00:00",9.79,,9
"2025-06-15 01:00:00",7.14,,8.97
"2025-06-16 01:00:00",6.12,,8.07
"2025-06-17 01:00:00",5.89,,9.34
"2025-06-18 01:00:00",6.13,,9.82
"2025-06-19 01:00:00",10.19,,10.58
"2025-06-20 01:00:00",20.12,,10.99
"2025-06-21 01:00:00",13.17,,10.88
"2025-06-22 01:00:00",12.41,,11.07
"2025-06-23 01:00:00",9,,10.73
"2025-06-24 01:00:00",5.12,,9.29
"2025-06-25 01:00:00",7.45,,9.23
"2025-06-26 01:00:00",7.81,,9.62
"2025-06-27 01:00:00",10.08,,9.11
"2025-06-28 01:00:00",12.74,,9.06
"2025-06-29 01:00:00",15.13,,8.7
"2025-06-30 01:00:00",5.44,,8.54
"2025-07-01 01:00:00",4.74,,8.28
"2025-07-02 01:00:00",4.95,,7.98
"2025-07-03 01:00:00",6.71,,7.42
"2025-07-04 01:00:00",8.28,,8.55
"2025-07-05 01:00:00",10.62,,9.64
"2025-07-06 01:00:00",11.17,,11.69
"2025-07-07 01:00:00",13.35,,11.77
"2025-07-08 01:00:00",12.41,,11.53
"2025-07-09 01:00:00",19.26,,11.2
"2025-07-10 01:00:00",7.32,,10.34
"2025-07-11 01:00:00",6.57,,9.26
"2025-07-12 01:00:00",8.29,,8.44
"2025-07-13 01:00:00",5.15,,6.93
"2025-07-14 01:00:00",5.82,,7.2
"2025-07-15 01:00:00",6.67,,7.96
"2025-07-16 01:00:00",8.69,,8.91
"2025-07-17 01:00:00",9.21,,8.97
"2025-07-18 01:00:00",11.92,,8.99
"2025-07-19 01:00:00",14.91,,8.94
"2025-07-20 01:00:00",5.59,,8.66
"2025-07-21 01:00:00",5.96,,8.58
"2025-07-22 01:00:00",6.31,,8.59
"2025-07-23 01:00:00",6.7,,9.25
"2025-07-24 01:00:00",8.66,,9.69
"2025-07-25 01:00:00",12,,10.14
"2025-07-26 01:00:00",19.52,,11.26
"2025-07-27 01:00:00",0,,9.76
"2025-07-28 01:00:00",5.81,,11.16
"2025-07-29 01:00:00",6.58,,11.26
"2025-07-30 01:00:00",15.78,,10.98
"2025-07-31 01:00:00",12.61,,12.38
"2025-08-01 01:00:00",11.95,,13.09
"2025-08-02 01:00:00",8.34,,13.34
"2025-08-03 01:00:00",25.61,,12.57
"2025-08-04 01:00:00",10.73,,12.48
"2025-08-05 01:00:00",8.36,,12.89
"2025-08-06 01:00:00",10.39,,13.64
"2025-08-07 01:00:00",11.98,,11.05
"2025-08-08 01:00:00",14.8,,10.6
"2025-08-09 01:00:00",13.58,,10.41
"2025-08-10 01:00:00",7.53,,10.13
"2025-08-11 01:00:00",7.58,,9.95
"2025-08-12 01:00:00",7.04,,10.48
"2025-08-13 01:00:00",8.42,,11.9
"2025-08-14 01:00:00",10.71,,12.96
"2025-08-15 01:00:00",18.5,,13.04
"2025-08-16 01:00:00",23.55,,12.96
"2025-08-17 01:00:00",14.94,,12.79
"2025-08-18 01:00:00",8.11,,13.17
"2025-08-19 01:00:00",6.5,,13.04
"2025-08-20 01:00:00",7.19,,11.53
"2025-08-21 01:00:00",13.38,,12.84
"2025-08-22 01:00:00",17.62,,13.17
"2025-08-23 01:00:00",12.94,,13.43
"2025-08-24 01:00:00",24.16,,13.84
"2025-08-25 01:00:00",10.39,,13.08
"2025-08-26 01:00:00",8.3,,12.3
"2025-08-27 01:00:00",10.1,,13.99
