"Time","Sales","Trend Line","7-Day Moving Average"
"2025-05-04 01:00:00",33.34,65.22723096285812,37.72
"2025-05-05 01:00:00",28.67,,42.93
"2025-05-06 01:00:00",30.48,,50.78
"2025-05-07 01:00:00",71.53,,56.65
"2025-05-08 01:00:00",79.15,,56.65
"2025-05-09 01:00:00",81.82,,56.75
"2025-05-10 01:00:00",0,,48.06
"2025-05-11 01:00:00",25.78,,50.75
"2025-05-12 01:00:00",26.68,,45.55
"2025-05-13 01:00:00",51.49,,46.08
"2025-05-14 01:00:00",64.54,,48.16
"2025-05-15 01:00:00",41.86,,61.43
"2025-05-16 01:00:00",60.71,,65.18
"2025-05-17 01:00:00",66.09,,62.92
"2025-05-18 01:00:00",118.63,,60.31
"2025-05-19 01:00:00",52.94,,61.89
"2025-05-20 01:00:00",35.67,,56.01
"2025-05-21 01:00:00",46.25,,52.73
"2025-05-22 01:00:00",0,,34.86
"2025-05-23 01:00:00",36.81,,36.95
"2025-05-24 01:00:00",32.56,,35.4
"2025-05-25 01:00:00",39.77,,35.5
"2025-05-26 01:00:00",30.77,,33.58
"2025-05-27 01:00:00",29.05,,33.19
"2025-05-28 01:00:00",0,,40.98
"2025-05-29 01:00:00",35.3,,46.43
"2025-05-30 01:00:00",35.86,,47.88
"2025-05-31 01:00:00",116.13,,59.78
"2025-06-01 01:00:00",42.59,,47.15
"2025-06-02 01:00:00",40.4,,46.44
"2025-06-03 01:00:00",32.03,,48.43
"2025-06-04 01:00:00",27.73,,45.18
"2025-06-05 01:00:00",30.33,,48.41
"2025-06-06 01:00:00",49.77,,51.69
"2025-06-07 01:00:00",93.39,,51.99
"2025-06-08 01:00:00",65.24,,51.84
"2025-06-09 01:00:00",63.32,,56.4
"2025-06-10 01:00:00",34.18,,56.21
"2025-06-11 01:00:00",26.62,,48.66
"2025-06-12 01:00:00",62.29,,44.34
"2025-06-13 01:00:00",48.44,,39.58
"2025-06-14 01:00:00",40.53,,38.83
"2025-06-15 01:00:00",35.02,,39.32
"2025-06-16 01:00:00",30.01,,37.53
"2025-06-17 01:00:00",28.92,,44.44
"2025-06-18 01:00:00",30.06,,49.11
"2025-06-19 01:00:00",49.74,,53.76
"2025-06-20 01:00:00",96.8,,55.61
"2025-06-21 01:00:00",73.19,,55.22
"2025-06-22 01:00:00",67.59,,55.95
"2025-06-23 01:00:00",43,,54.84
"2025-06-24 01:00:00",26.19,,47.94
"2025-06-25 01:00:00",35.16,,46.16
"2025-06-26 01:00:00",41.98,,46.73
"2025-06-27 01:00:00",48.46,,44.62
"2025-06-28 01:00:00",60.74,,44.26
"2025-06-29 01:00:00",71.59,,43.2
"2025-06-30 01:00:00",28.21,,42.12
"2025-07-01 01:00:00",23.69,,41.16
"2025-07-02 01:00:00",27.75,,39.91
"2025-07-03 01:00:00",34.38,,37.77
"2025-07-04 01:00:00",41.79,,43.25
"2025-07-05 01:00:00",51.96,,48.33
"2025-07-06 01:00:00",56.62,,58.61
"2025-07-07 01:00:00",66.56,,58.97
"2025-07-08 01:00:00",59.24,,57.73
"2025-07-09 01:00:00",99.72,,55.98
"2025-07-10 01:00:00",36.9,,51.55
"2025-07-11 01:00:00",33.08,,46.32
"2025-07-12 01:00:00",39.76,,42.73
"2025-07-13 01:00:00",25.59,,34.88
"2025-07-14 01:00:00",29.96,,36.39
"2025-07-15 01:00:00",34.08,,40.01
"2025-07-16 01:00:00",44.82,,44.55
"2025-07-17 01:00:00",47.44,,45.06
"2025-07-18 01:00:00",58.43,,44.76
"2025-07-19 01:00:00",71.54,,44.1
"2025-07-20 01:00:00",29.15,,42.84
"2025-07-21 01:00:00",27.84,,42.24
"2025-07-22 01:00:00",29.5,,42.56
"2025-07-23 01:00:00",35.99,,46.25
"2025-07-24 01:00:00",43.25,,48.26
"2025-07-25 01:00:00",60.63,,55.43
"2025-07-26 01:00:00",97.39,,71.56
"2025-07-27 01:00:00",0,,63.55
"2025-07-28 01:00:00",0,,77.51
"2025-07-29 01:00:00",68.87,,106.57
"2025-07-30 01:00:00",174.69,,137.17
"2025-07-31 01:00:00",140.99,,140.48
"2025-08-01 01:00:00",126.3,,132.05
"2025-08-02 01:00:00",99.93,,131.55
"2025-08-03 01:00:00",231.6,,117.92
"2025-08-04 01:00:00",81.98,,110.36
"2025-08-05 01:00:00",65.38,,101.66
"2025-08-06 01:00:00",79.26,,102.22
"2025-08-07 01:00:00",88.06,,82.51
"2025-08-08 01:00:00",0,,65.6
"2025-08-09 01:00:00",90.02,,75.97
"2025-08-10 01:00:00",84.83,,72.08
"2025-08-11 01:00:00",51.67,,65.16
"2025-08-12 01:00:00",47.9,,71.46
"2025-08-13 01:00:00",57.28,,79.37
"2025-08-14 01:00:00",72.73,,81.34
"2025-08-15 01:00:00",95.77,,81.53
"2025-08-16 01:00:00",145.38,,80.88
"2025-08-17 01:00:00",98.63,,79.47
"2025-08-18 01:00:00",53.01,,81.69
"2025-08-19 01:00:00",43.34,,84.9
"2025-08-20 01:00:00",47.4,,76.84
"2025-08-21 01:00:00",88.28,,75.57
"2025-08-22 01:00:00",118.26,,73.59
"2025-08-23 01:00:00",88.93,,71.77
"2025-08-24 01:00:00",89.77,,77.82
"2025-08-25 01:00:00",39.13,,62.33
"2025-08-26 01:00:00",30.62,,50.73
"2025-08-27 01:00:00",0,,46.64
"2025-08-28 01:00:00",30.5,,45.81
"2025-08-29 01:00:00",45.51,,48.54
"2025-08-30 01:00:00",90.94,,55.66
"2025-08-31 01:00:00",53.44,,47.03
"2025-09-01 01:00:00",43.28,,48.85
"2025-09-02 01:00:00",35.03,,48.77
"2025-09-03 01:00:00",30.52,,49.64
"2025-09-04 01:00:00",43.24,,47.26
"2025-09-05 01:00:00",44.97,,44.77
"2025-09-06 01:00:00",97.02,,43.7
"2025-09-07 01:00:00",36.75,,48.06
"2025-09-08 01:00:00",25.87,,51.33
"2025-09-09 01:00:00",27.5,,54.16
"2025-09-10 01:00:00",61.09,,47.59
"2025-09-11 01:00:00",66.08,,48.48
"2025-09-12 01:00:00",64.83,,51.31
"2025-09-13 01:00:00",51,,53.72
"2025-09-14 01:00:00",43.02,,51.13
"2025-09-15 01:00:00",45.64,,51.06
"2025-09-16 01:00:00",44.35,,66.66
"2025-09-17 01:00:00",0,,53.04
"2025-09-18 01:00:00",62.94,,73.86
"2025-09-19 01:00:00",175.3,,140.54
"2025-09-20 01:00:00",0,,34.03
"2025-09-21 01:00:00",0,,34.03
"2025-09-22 01:00:00",0,,34.3
"2025-09-23 01:00:00",0,,18.09
"2025-09-24 01:00:00",0,,50.72
"2025-09-25 01:00:00",64.78,,82.27
"2025-09-26 01:00:00",61.83,,76.61
"2025-09-27 01:00:00",228.4,,96.18
"2025-09-28 01:00:00",26.57,,68.74
"2025-09-29 01:00:00",31.05,,66.26
"2025-09-30 01:00:00",32.26,,67.05
"2025-10-01 01:00:00",36.27,,45.64
"2025-10-02 01:00:00",47.44,,57.58
"2025-10-03 01:00:00",67.34,,65.14
"2025-10-04 01:00:00",78.52,,70.58
"2025-10-05 01:00:00",110.17,,84.12
"2025-10-06 01:00:00",83.98,,108.59
"2025-10-07 01:00:00",70.34,,111.2
"2025-10-08 01:00:00",131.02,,111.43
"2025-10-09 01:00:00",218.74,,117.39
"2025-10-10 01:00:00",85.64,,121.4
"2025-10-11 01:00:00",80.1,,124.44
"2025-10-12 01:00:00",151.88,,116.27
"2025-10-13 01:00:00",112.06,,93.31
"2025-10-14 01:00:00",91.64,,90.35
"2025-10-15 01:00:00",73.83,,86.38
"2025-10-16 01:00:00",58.05,,85.34
"2025-10-17 01:00:00",64.87,,80.66
"2025-10-18 01:00:00",52.35,,79.24
"2025-10-19 01:00:00",144.61,,80.16
"2025-10-20 01:00:00",79.3,,83.03
"2025-10-21 01:00:00",81.67,,81.15
"2025-10-22 01:00:00",80.28,,80.67
"2025-10-23 01:00:00",78.13,,69.39
"2025-10-24 01:00:00",51.73,,64.39
"2025-10-25 01:00:00",48.94,,59.04
"2025-10-26 01:00:00",65.68,,56.39
"2025-10-27 00:00:00",44.27,,59.15
"2025-10-28 00:00:00",44.27,,68.59
