"Time","Sales","Trend Line","7-Day Moving Average"
"2025-09-28 01:00:00",64.41,100.00372679122079,63.07
"2025-09-29 01:00:00",64.41,,63.07
"2025-09-30 01:00:00",55.02,,61.73
"2025-10-01 01:00:00",64.41,,63.07
"2025-10-02 01:00:00",64.41,,66.56
"2025-10-03 01:00:00",64.41,,69.09
"2025-10-04 01:00:00",64.41,,72.97
"2025-10-05 01:00:00",88.86,,75.96
"2025-10-06 01:00:00",82.13,,75.27
"2025-10-07 01:00:00",82.13,,72.75
"2025-10-08 01:00:00",85.36,,71.62
"2025-10-09 01:00:00",59.59,,78.1
"2025-10-10 01:00:00",46.75,,85.55
"2025-10-11 01:00:00",56.49,,93
"2025-10-12 01:00:00",134.26,,101.85
"2025-10-13 01:00:00",134.26,,114.38
"2025-10-14 01:00:00",134.26,,126.88
"2025-10-15 01:00:00",147.32,,137.99
"2025-10-16 01:00:00",147.32,,160.98
"2025-10-17 01:00:00",134.26,,180.18
"2025-10-18 01:00:00",134.26,,201.19
"2025-10-19 01:00:00",295.18,,220.33
"2025-10-20 01:00:00",268.69,,236.02
"2025-10-21 01:00:00",281.31,,244.19
"2025-10-22 01:00:00",281.31,,249.25
"2025-10-23 01:00:00",257.15,,243.17
"2025-10-24 01:00:00",191.4,,221.67
"2025-10-25 01:00:00",169.7,,195.27
"2025-10-26 01:00:00",252.64,,168.42
"2025-10-27 00:00:00",118.2,,147.9
"2025-10-28 00:00:00",96.48,,137.45
"2025-10-29 00:00:00",93.36,,129.75
"2025-10-30 00:00:00",113.55,,97.8
"2025-10-31 00:00:00",118.2,,84.17
"2025-11-01 00:00:00",115.83,,73.26
"2025-11-02 00:00:00",28.95,,63.39
"2025-11-03 00:00:00",22.83,,51.41
"2025-11-04 00:00:00",20.12,,39.51
"2025-11-05 00:00:00",24.23,,29.48
"2025-11-06 00:00:00",29.68,,27.39
"2025-11-07 00:00:00",34.92,,25.91
"2025-11-08 00:00:00",45.66,,24.71
"2025-11-09 00:00:00",14.28,,22.53
