"Time","Sales","Trend Line","7-Day Moving Average"
"2024-09-05 01:00:00",2.69,19.137108700903596,4.52
"2024-09-06 01:00:00",4.7,,5.91
"2024-09-07 01:00:00",7.39,,7.51
"2024-09-08 01:00:00",8.8,,8.45
"2024-09-09 01:00:00",8.42,,10.91
"2024-09-10 01:00:00",13.2,,13.79
"2024-09-11 01:00:00",13.97,,14.73
"2024-09-12 01:00:00",19.9,,17.17
"2024-09-13 01:00:00",24.87,,20.94
"2024-09-14 01:00:00",0,,10.07
"2024-09-15 01:00:00",0,,8.07
"2024-09-16 01:00:00",0,,7.18
"2024-09-17 01:00:00",11.74,,13.55
"2024-09-18 01:00:00",0,,11.98
"2024-09-19 01:00:00",13.63,,17.39
"2024-09-20 01:00:00",22.53,,19.94
"2024-09-21 01:00:00",35.97,,27.24
"2024-09-22 01:00:00",10.62,,16.45
"2024-09-23 01:00:00",0,,14.61
"2024-09-24 01:00:00",0,,14.65
"2024-09-25 01:00:00",11.19,,17.01
"2024-09-26 01:00:00",21.95,,21.29
"2024-09-27 01:00:00",22.8,,22.38
"2024-09-28 01:00:00",30.16,,23.43
"2024-09-29 01:00:00",19.06,,22.97
"2024-09-30 01:00:00",28.68,,24.42
"2024-10-01 01:00:00",0,,15.82
"2024-10-02 01:00:00",0,,16.38
"2024-10-03 01:00:00",12.87,,19.17
"2024-10-04 01:00:00",19.94,,19.97
"2024-10-05 01:00:00",34.12,,25.96
"2024-10-06 01:00:00",0,,18.66
"2024-10-07 01:00:00",13.02,,21.84
"2024-10-08 01:00:00",33.51,,25.49
"2024-10-09 01:00:00",17.17,,22.65
"2024-10-10 01:00:00",22.13,,25.19
"2024-10-11 01:00:00",24.98,,28.88
"2024-10-12 01:00:00",30.57,,28.4
"2024-10-13 01:00:00",34.95,,30.94
"2024-10-14 01:00:00",38.87,,33.89
"2024-10-15 01:00:00",30.13,,32.13
"2024-10-16 01:00:00",0,,17.09
"2024-10-17 01:00:00",0,,13.3
"2024-10-18 01:00:00",0,,7.75
"2024-10-19 01:00:00",15.67,,14.64
"2024-10-20 01:00:00",8.46,,9.34
"2024-10-21 01:00:00",0,,5.79
"2024-10-22 01:00:00",0,,9.32
