"Time","Sales","Trend Line","7-Day Moving Average"
"2024-09-05 01:00:00",0,7.831221526012038,0.54
"2024-09-06 01:00:00",0,,1.04
"2024-09-07 01:00:00",0,,1.81
"2024-09-08 01:00:00",3.78,,4.24
"2024-09-09 01:00:00",3.53,,4.72
"2024-09-10 01:00:00",5.38,,5.81
"2024-09-11 01:00:00",5.63,,6.36
"2024-09-12 01:00:00",7.65,,7.06
"2024-09-13 01:00:00",9.33,,7.16
"2024-09-14 01:00:00",9.25,,7.05
"2024-09-15 01:00:00",8.63,,7.08
"2024-09-16 01:00:00",4.23,,6.73
"2024-09-17 01:00:00",4.66,,6.6
"2024-09-18 01:00:00",5.78,,7.12
"2024-09-19 01:00:00",5.26,,7.1
"2024-09-20 01:00:00",8.37,,7.62
"2024-09-21 01:00:00",12.94,,8.25
"2024-09-22 01:00:00",8.46,,8.85
"2024-09-23 01:00:00",7.84,,10.62
"2024-09-24 01:00:00",9.09,,12.14
"2024-09-25 01:00:00",9.96,,13.81
"2024-09-26 01:00:00",17.67,,14.92
"2024-09-27 01:00:00",19.04,,17.12
"2024-09-28 01:00:00",24.64,,18.4
"2024-09-29 01:00:00",16.21,,19.19
"2024-09-30 01:00:00",23.24,,17.99
"2024-10-01 01:00:00",18.04,,17.27
"2024-10-02 01:00:00",15.49,,16.38
"2024-10-03 01:00:00",9.27,,17.75
"2024-10-04 01:00:00",14.02,,16.17
"2024-10-05 01:00:00",18.39,,16.22
"2024-10-06 01:00:00",25.77,,18.74
"2024-10-07 01:00:00",12.22,,15.29
"2024-10-08 01:00:00",0,,11.89
"2024-10-09 01:00:00",0,,13.46
"2024-10-10 01:00:00",0,,12.48
"2024-10-11 01:00:00",26.87,,26.21
"2024-10-12 01:00:00",29.39,,24.83
"2024-10-13 01:00:00",18.87,,20.81
"2024-10-14 01:00:00",27.73,,19.43
"2024-10-15 01:00:00",12.2,,17.33
"2024-10-16 01:00:00",11.74,,14.75
"2024-10-17 01:00:00",9.21,,12.64
"2024-10-18 01:00:00",0,,4.74
"2024-10-19 01:00:00",0,,3.68
"2024-10-20 01:00:00",0,,3.06
"2024-10-21 01:00:00",0,,2.75
"2024-10-22 01:00:00",4.83,,6.72
"2024-10-23 01:00:00",7.41,,8.19
"2024-10-24 01:00:00",7,,7.64
"2024-10-25 01:00:00",13.28,,7.2
"2024-10-26 01:00:00",9.98,,7.21
"2024-10-27 01:00:00",3.96,,7.21
"2024-10-28 00:00:00",3.94,,7.46
"2024-10-29 00:00:00",4.88,,7.13
"2024-10-30 00:00:00",7.46,,7.27
"2024-10-31 00:00:00",8.7,,7.19
"2024-11-01 00:00:00",11.01,,7.62
"2024-11-02 00:00:00",10.94,,7.81
"2024-11-03 00:00:00",3.43,,7.57
"2024-11-04 00:00:00",6.93,,6.84
"2024-11-05 00:00:00",6.2,,5.8
"2024-11-06 00:00:00",5.8,,4.61
"2024-11-07 00:00:00",3.56,,4.63
"2024-11-08 00:00:00",3.73,,4.49
"2024-11-09 00:00:00",2.6,,4.55
"2024-11-10 00:00:00",3.6,,4.37
"2024-11-11 00:00:00",5.94,,4.87
"2024-11-12 00:00:00",6.61,,4.75
"2024-11-13 00:00:00",4.52,,4.75
"2024-11-14 00:00:00",7.09,,4.61
"2024-11-15 00:00:00",2.87,,4.09
"2024-11-16 00:00:00",2.62,,3.91
"2024-11-17 00:00:00",2.63,,4.03
"2024-11-18 00:00:00",2.3,,3.89
"2024-11-19 00:00:00",5.33,,4.07
"2024-11-20 00:00:00",5.39,,4.18
"2024-11-21 00:00:00",6.06,,4.5
"2024-11-22 00:00:00",4.16,,5.29
"2024-11-23 00:00:00",3.36,,6.29
"2024-11-24 00:00:00",4.89,,7.18
"2024-11-25 00:00:00",7.87,,7.83
"2024-11-26 00:00:00",12.29,,8.4
"2024-11-27 00:00:00",11.65,,8.88
"2024-11-28 00:00:00",10.58,,9.7
"2024-11-29 00:00:00",8.19,,9.96
"2024-11-30 00:00:00",6.72,,9.58
"2024-12-01 00:00:00",0,,9.57
"2024-12-02 00:00:00",12.12,,12.75
"2024-12-03 00:00:00",11.06,,15.24
"2024-12-04 00:00:00",18.3,,19.65
"2024-12-05 00:00:00",20.74,,18.31
"2024-12-06 00:00:00",26.68,,17.72
"2024-12-07 00:00:00",30.34,,17.09
"2024-12-08 00:00:00",8.9,,16.27
"2024-12-09 00:00:00",8.04,,16.75
"2024-12-10 00:00:00",6.6,,14.01
"2024-12-11 00:00:00",12.62,,10.6
"2024-12-12 00:00:00",24.07,,10.04
"2024-12-13 00:00:00",7.47,,9.47
"2024-12-14 00:00:00",6.47,,8.98
"2024-12-15 00:00:00",5.01,,7.78
"2024-12-16 00:00:00",4.08,,5.19
"2024-12-17 00:00:00",3.12,,5.37
"2024-12-18 00:00:00",4.26,,5.33
"2024-12-19 00:00:00",5.93,,4.94
"2024-12-20 00:00:00",8.7,,4.7
"2024-12-21 00:00:00",6.24,,4.75
"2024-12-22 00:00:00",2.22,,5.12
"2024-12-23 00:00:00",2.44,,4.77
"2024-12-24 00:00:00",3.44,,4.07
"2024-12-25 00:00:00",6.85,,3.67
"2024-12-26 00:00:00",3.48,,3.86
"2024-12-27 00:00:00",3.81,,4
"2024-12-28 00:00:00",3.42,,4.12
"2024-12-29 00:00:00",3.6,,3.94
"2024-12-30 00:00:00",3.37,,3.74
"2024-12-31 00:00:00",4.32,,3.6
"2025-01-01 00:00:00",5.61,,3.52
"2025-01-02 00:00:00",2.05,,3.33
"2025-01-03 00:00:00",2.82,,3.17
"2025-01-04 00:00:00",2.9,,2.92
"2025-01-05 00:00:00",2.21,,2.99
"2025-01-06 00:00:00",2.25,,3.42
"2025-01-07 00:00:00",2.58,,3.69
"2025-01-08 00:00:00",6.1,,4.08
"2025-01-09 00:00:00",5.11,,4.28
"2025-01-10 00:00:00",4.7,,5.21
"2025-01-11 00:00:00",5.58,,5.52
"2025-01-12 00:00:00",3.62,,5.08
"2025-01-13 00:00:00",8.77,,4.75
"2025-01-14 00:00:00",4.73,,4.64
"2025-01-15 00:00:00",3.04,,4.56
"2025-01-16 00:00:00",2.79,,4.43
"2025-01-17 00:00:00",3.97,,3.73
"2025-01-18 00:00:00",5.01,,3.78
"2025-01-19 00:00:00",2.68,,3.92
"2025-01-20 00:00:00",3.88,,4.62
"2025-01-21 00:00:00",5.07,,4.52
"2025-01-22 00:00:00",4.02,,4.44
