"Time","Sales","Trend Line","7-Day Moving Average"
"2024-09-05 01:00:00",0.87,6.887764356500402,1.57
"2024-09-06 01:00:00",1.92,,2.2
"2024-09-07 01:00:00",2.44,,2.5
"2024-09-08 01:00:00",3.18,,2.65
"2024-09-09 01:00:00",3.18,,3.02
"2024-09-10 01:00:00",3.47,,3.28
"2024-09-11 01:00:00",3.47,,3.18
"2024-09-12 01:00:00",3.47,,4
"2024-09-13 01:00:00",3.76,,3.95
"2024-09-14 01:00:00",1.74,,3.86
"2024-09-15 01:00:00",8.92,,3.97
"2024-09-16 01:00:00",2.79,,3.98
"2024-09-17 01:00:00",2.88,,4.48
"2024-09-18 01:00:00",4.21,,4.84
"2024-09-19 01:00:00",3.54,,3.97
"2024-09-20 01:00:00",7.3,,5.69
"2024-09-21 01:00:00",0,,2.65
"2024-09-22 01:00:00",0,,3.08
"2024-09-23 01:00:00",0,,4.02
"2024-09-24 01:00:00",3.49,,5.96
"2024-09-25 01:00:00",7.22,,9.74
"2024-09-26 01:00:00",10.12,,10.13
"2024-09-27 01:00:00",10.42,,10.19
"2024-09-28 01:00:00",22.52,,11.22
"2024-09-29 01:00:00",7.02,,11.22
"2024-09-30 01:00:00",10.54,,10.41
"2024-10-01 01:00:00",10.67,,9.85
"2024-10-02 01:00:00",7.27,,8.19
"2024-10-03 01:00:00",4.45,,9.59
"2024-10-04 01:00:00",6.51,,9.34
"2024-10-05 01:00:00",10.88,,11.08
"2024-10-06 01:00:00",16.84,,11.58
"2024-10-07 01:00:00",8.75,,12.2
"2024-10-08 01:00:00",22.84,,15.61
"2024-10-09 01:00:00",10.8,,15.01
"2024-10-10 01:00:00",0,,13.99
"2024-10-11 01:00:00",16.35,,20.33
"2024-10-12 01:00:00",18.67,,18.97
"2024-10-13 01:00:00",20.51,,19.33
"2024-10-14 01:00:00",36.76,,21.65
"2024-10-15 01:00:00",11.06,,17.22
"2024-10-16 01:00:00",11.43,,16.29
"2024-10-17 01:00:00",0,,8.46
"2024-10-18 01:00:00",0,,3.78
"2024-10-19 01:00:00",0,,3.07
"2024-10-20 01:00:00",0,,2.44
"2024-10-21 01:00:00",3.98,,5.2
"2024-10-22 01:00:00",6.11,,6.64
"2024-10-23 01:00:00",6.96,,7.06
"2024-10-24 01:00:00",7.39,,6.68
"2024-10-25 01:00:00",9.81,,6.67
"2024-10-26 01:00:00",8.24,,6.47
"2024-10-27 01:00:00",4.24,,6.56
"2024-10-28 00:00:00",3.96,,6.75
"2024-10-29 00:00:00",4.69,,6.92
"2024-10-30 00:00:00",7.62,,7.27
"2024-10-31 00:00:00",8.7,,7.09
"2024-11-01 00:00:00",11.01,,7.65
"2024-11-02 00:00:00",10.66,,7.79
"2024-11-03 00:00:00",2.99,,7.73
"2024-11-04 00:00:00",7.89,,6.86
"2024-11-05 00:00:00",5.67,,5.76
"2024-11-06 00:00:00",7.22,,4.61
"2024-11-07 00:00:00",2.59,,4.69
"2024-11-08 00:00:00",3.29,,4.5
"2024-11-09 00:00:00",2.59,,4.66
"2024-11-10 00:00:00",3.55,,4.27
"2024-11-11 00:00:00",6.59,,4.82
"2024-11-12 00:00:00",6.78,,4.75
"2024-11-13 00:00:00",4.53,,4.75
"2024-11-14 00:00:00",6.42,,4.66
"2024-11-15 00:00:00",2.8,,4.06
"2024-11-16 00:00:00",2.57,,3.81
"2024-11-17 00:00:00",2.96,,4
"2024-11-18 00:00:00",2.34,,4.01
"2024-11-19 00:00:00",5.08,,4.17
"2024-11-20 00:00:00",5.84,,4.18
"2024-11-21 00:00:00",6.51,,4.46
"2024-11-22 00:00:00",3.89,,5.24
"2024-11-23 00:00:00",2.63,,6.26
"2024-11-24 00:00:00",4.9,,7.06
"2024-11-25 00:00:00",7.82,,7.66
"2024-11-26 00:00:00",12.25,,8.25
"2024-11-27 00:00:00",11.43,,8.88
"2024-11-28 00:00:00",10.69,,8.97
"2024-11-29 00:00:00",8.05,,8.44
"2024-11-30 00:00:00",7.04,,7.25
"2024-12-01 00:00:00",5.54,,6.57
"2024-12-02 00:00:00",4.11,,6.12
"2024-12-03 00:00:00",3.91,,6.23
"2024-12-04 00:00:00",6.68,,6.81
"2024-12-05 00:00:00",7.48,,7.3
"2024-12-06 00:00:00",8.82,,7.8
"2024-12-07 00:00:00",11.16,,8.27
"2024-12-08 00:00:00",8.93,,8.84
"2024-12-09 00:00:00",7.65,,11.39
"2024-12-10 00:00:00",7.16,,11.25
"2024-12-11 00:00:00",10.67,,10.6
"2024-12-12 00:00:00",25.37,,10.66
"2024-12-13 00:00:00",7.83,,10.79
"2024-12-14 00:00:00",6.57,,10.63
"2024-12-15 00:00:00",9.36,,10.43
"2024-12-16 00:00:00",8.59,,8.58
"2024-12-17 00:00:00",6.05,,9.72
"2024-12-18 00:00:00",9.21,,10.67
"2024-12-19 00:00:00",12.46,,9.96
"2024-12-20 00:00:00",15.77,,9.44
"2024-12-21 00:00:00",13.22,,9.63
"2024-12-22 00:00:00",4.41,,10.2
"2024-12-23 00:00:00",4.94,,9.43
"2024-12-24 00:00:00",7.42,,8.25
"2024-12-25 00:00:00",13.2,,7.33
"2024-12-26 00:00:00",7.07,,7.23
"2024-12-27 00:00:00",7.46,,7.01
"2024-12-28 00:00:00",6.84,,6.56
"2024-12-29 00:00:00",3.67,,5.42
"2024-12-30 00:00:00",3.42,,4.7
"2024-12-31 00:00:00",4.24,,4.03
"2025-01-01 00:00:00",5.23,,3.52
"2025-01-02 00:00:00",2.01,,3.33
"2025-01-03 00:00:00",2.78,,3.18
"2025-01-04 00:00:00",3.31,,3.01
"2025-01-05 00:00:00",2.32,,3.2
"2025-01-06 00:00:00",2.39,,3.62
"2025-01-07 00:00:00",3.01,,3.84
"2025-01-08 00:00:00",6.56,,4.08
"2025-01-09 00:00:00",4.99,,4.23
"2025-01-10 00:00:00",4.3,,5.11
"2025-01-11 00:00:00",4.96,,5.38
"2025-01-12 00:00:00",3.39,,4.93
"2025-01-13 00:00:00",8.59,,4.62
"2025-01-14 00:00:00",4.89,,4.55
"2025-01-15 00:00:00",3.4,,4.56
"2025-01-16 00:00:00",2.78,,4.56
"2025-01-17 00:00:00",3.87,,3.95
"2025-01-18 00:00:00",5.01,,4
"2025-01-19 00:00:00",3.35,,4.03
"2025-01-20 00:00:00",4.35,,4.71
"2025-01-21 00:00:00",5.25,,4.53
"2025-01-22 00:00:00",3.58,,4.44
"2025-01-23 00:00:00",7.53,,4.3
"2025-01-24 00:00:00",2.66,,4.12
"2025-01-25 00:00:00",4.37,,4.03
"2025-01-26 00:00:00",2.39,,4.23
