"Time","Sales","Trend Line","7-Day Moving Average"
"2025-05-01 01:00:00",13.09,34.44367294112359,12.17
"2025-05-02 01:00:00",6.55,,11.21
"2025-05-03 01:00:00",4.36,,14.14
"2025-05-04 01:00:00",21.91,,18.04
"2025-05-05 01:00:00",19.48,,24.51
"2025-05-06 01:00:00",29.22,,32.62
"2025-05-07 01:00:00",31.65,,36.52
"2025-05-08 01:00:00",58.43,,45.67
"2025-05-09 01:00:00",63.3,,48.02
"2025-05-10 01:00:00",0,,43.58
"2025-05-11 01:00:00",59.19,,52.6
"2025-05-12 01:00:00",31.04,,43.32
"2025-05-13 01:00:00",61.43,,42.44
"2025-05-14 01:00:00",35.64,,37.86
"2025-05-15 01:00:00",21.62,,33.95
"2025-05-16 01:00:00",26.76,,33.72
"2025-05-17 01:00:00",29.33,,29.13
"2025-05-18 01:00:00",31.82,,27.54
"2025-05-19 01:00:00",29.43,,27.48
"2025-05-20 01:00:00",0,,26.54
"2025-05-21 01:00:00",21.99,,35.43
"2025-05-22 01:00:00",23.58,,36.23
"2025-05-23 01:00:00",49.62,,42.83
"2025-05-24 01:00:00",69.55,,45.68
"2025-05-25 01:00:00",35.88,,41.68
"2025-05-26 01:00:00",49.6,,46.02
"2025-05-27 01:00:00",0,,31.84
"2025-05-28 01:00:00",27.63,,41.61
"2025-05-29 01:00:00",40.25,,45.36
"2025-05-30 01:00:00",0,,29.39
"2025-05-31 01:00:00",82.65,,44.27
"2025-06-01 01:00:00",36.87,,39.71
"2025-06-02 01:00:00",18.32,,37.6
"2025-06-03 01:00:00",21.52,,41.25
"2025-06-04 01:00:00",41.49,,34.72
"2025-06-05 01:00:00",44,,37.36
"2025-06-06 01:00:00",43.87,,40.49
"2025-06-07 01:00:00",36.94,,41.36
"2025-06-08 01:00:00",55.35,,38.41
"2025-06-09 01:00:00",40.25,,38.38
"2025-06-10 01:00:00",27.59,,37.32
"2025-06-11 01:00:00",20.84,,36.43
"2025-06-12 01:00:00",43.79,,31.8
"2025-06-13 01:00:00",36.45,,28.82
"2025-06-14 01:00:00",30.71,,27.89
"2025-06-15 01:00:00",22.97,,28.9
"2025-06-16 01:00:00",19.42,,30.17
"2025-06-17 01:00:00",21.08,,30.8
"2025-06-18 01:00:00",27.9,,34.57
"2025-06-19 01:00:00",52.65,,38.34
"2025-06-20 01:00:00",40.85,,39.15
"2025-06-21 01:00:00",57.12,,44.3
"2025-06-22 01:00:00",49.37,,42.56
"2025-06-23 01:00:00",25.1,,35.32
"2025-06-24 01:00:00",0,,35.83
"2025-06-25 01:00:00",23.43,,40.2
"2025-06-26 01:00:00",26.3,,41.54
"2025-06-27 01:00:00",69.51,,48.66
"2025-06-28 01:00:00",64.29,,41.75
"2025-06-29 01:00:00",55.85,,41.32
"2025-06-30 01:00:00",31.72,,42.09
"2025-07-01 01:00:00",21.14,,33.18
"2025-07-02 01:00:00",20.4,,26.2
"2025-07-03 01:00:00",0,,19.11
"2025-07-04 01:00:00",17.7,,20.67
"2025-07-05 01:00:00",16.2,,22.47
"2025-07-06 01:00:00",26.61,,31.71
"2025-07-07 01:00:00",24.94,,33.36
"2025-07-08 01:00:00",35.24,,36.92
"2025-07-09 01:00:00",74.67,,42.43
"2025-07-10 01:00:00",38.17,,48.3
"2025-07-11 01:00:00",42.63,,51.04
"2025-07-12 01:00:00",54.75,,50.54
"2025-07-13 01:00:00",67.73,,43.26
"2025-07-14 01:00:00",44.08,,40.86
"2025-07-15 01:00:00",31.78,,38.82
"2025-07-16 01:00:00",23.65,,34.38
"2025-07-17 01:00:00",21.38,,30.78
"2025-07-18 01:00:00",28.38,,29.64
"2025-07-19 01:00:00",0,,24.05
"2025-07-20 01:00:00",44.78,,30.87
"2025-07-21 01:00:00",29.12,,34.34
"2025-07-22 01:00:00",21.03,,34.71
"2025-07-23 01:00:00",26.62,,35.71
"2025-07-24 01:00:00",61.32,,38.08
"2025-07-25 01:00:00",39.04,,36.31
"2025-07-26 01:00:00",28.09,,32.78
"2025-07-27 01:00:00",0,,23.31
"2025-07-28 01:00:00",0,,18
"2025-07-29 01:00:00",18.19,,23.08
"2025-07-30 01:00:00",16.51,,25.72
"2025-07-31 01:00:00",24.14,,31.36
"2025-08-01 01:00:00",38.25,,31.53
"2025-08-02 01:00:00",49.91,,33.49
"2025-08-03 01:00:00",48.36,,33.46
"2025-08-04 01:00:00",25.37,,33.31
"2025-08-05 01:00:00",31.91,,31.05
"2025-08-06 01:00:00",16.27,,27
"2025-08-07 01:00:00",23.07,,23.78
"2025-08-08 01:00:00",22.45,,22.77
"2025-08-09 01:00:00",21.57,,20.25
"2025-08-10 01:00:00",25.83,,20.2
"2025-08-11 01:00:00",18.28,,19.91
"2025-08-12 01:00:00",14.31,,21.38
"2025-08-13 01:00:00",15.89,,24.43
"2025-08-14 01:00:00",21.06,,27.3
"2025-08-15 01:00:00",32.72,,29.68
"2025-08-16 01:00:00",42.92,,32.03
"2025-08-17 01:00:00",45.95,,32.4
"2025-08-18 01:00:00",34.89,,32.08
"2025-08-19 01:00:00",30.75,,29.72
"2025-08-20 01:00:00",18.48,,25.71
"2025-08-21 01:00:00",18.83,,21.97
"2025-08-22 01:00:00",16.24,,18.38
"2025-08-23 01:00:00",14.86,,15.12
"2025-08-24 01:00:00",19.73,,13.6
"2025-08-25 01:00:00",9.78,,12.57
"2025-08-26 01:00:00",7.93,,11.52
"2025-08-27 01:00:00",7.84,,10.29
"2025-08-28 01:00:00",11.63,,9.11
"2025-08-29 01:00:00",8.85,,9.01
"2025-08-30 01:00:00",6.24,,9.26
"2025-08-31 01:00:00",11.5,,9.16
"2025-09-01 01:00:00",9.08,,8.88
"2025-09-02 01:00:00",9.69,,10.06
"2025-09-03 01:00:00",7.14,,12.14
"2025-09-04 01:00:00",9.69,,12.28
"2025-09-05 01:00:00",17.07,,12.04
"2025-09-06 01:00:00",20.83,,11.57
"2025-09-07 01:00:00",12.43,,13.02
"2025-09-08 01:00:00",7.41,,13.97
"2025-09-09 01:00:00",6.43,,13.09
"2025-09-10 01:00:00",17.3,,11.43
"2025-09-11 01:00:00",16.31,,14.91
"2025-09-12 01:00:00",10.94,,16.36
"2025-09-13 01:00:00",9.18,,17.24
"2025-09-14 01:00:00",36.81,,20.03
"2025-09-15 01:00:00",17.52,,16.5
"2025-09-16 01:00:00",12.61,,16.4
"2025-09-17 01:00:00",0,,13.29
"2025-09-18 01:00:00",10.92,,12.71
"2025-09-19 01:00:00",15.15,,14.18
"2025-09-20 01:00:00",0,,3.72
"2025-09-21 01:00:00",0,,3.72
"2025-09-22 01:00:00",0,,2.16
"2025-09-23 01:00:00",0,,0
