"Time","Sales","Trend Line","7-Day Moving Average"
"2026-01-11 00:00:00",29.28,103.62928985507233,45.91
"2026-01-12 00:00:00",25.28,,54.44
"2026-01-13 00:00:00",84.53,,77.9
"2026-01-14 00:00:00",94.44,,90.43
"2026-01-15 00:00:00",96.97,,111.56
"2026-01-16 00:00:00",130.28,,128.9
"2026-01-17 00:00:00",172.23,,138.22
"2026-01-18 00:00:00",177.2,,135.03
"2026-01-19 00:00:00",146.63,,134.08
"2026-01-20 00:00:00",149.77,,125.36
"2026-01-21 00:00:00",72.14,,112
"2026-01-22 00:00:00",90.33,,102.75
"2026-01-23 00:00:00",69.22,,98.6
"2026-01-24 00:00:00",78.69,,105.61
"2026-01-25 00:00:00",112.47,,109.34
"2026-01-26 00:00:00",117.59,,106.8
"2026-01-27 00:00:00",198.83,,111.02
"2026-01-28 00:00:00",98.28,,111
"2026-01-29 00:00:00",72.55,,105.36
"2026-01-30 00:00:00",98.73,,101.98
"2026-01-31 00:00:00",78.55,,86.83
"2026-02-01 00:00:00",73.02,,89.38
"2026-02-02 00:00:00",93.91,,106.46
"2026-02-03 00:00:00",92.79,,114.64
"2026-02-04 00:00:00",116.1,,124
"2026-02-05 00:00:00",192.11,,139.19
"2026-02-06 00:00:00",156,,140.88
"2026-02-07 00:00:00",144.06,,138.9
"2026-02-08 00:00:00",179.33,,155.1
"2026-02-09 00:00:00",105.74,,153.77
"2026-02-10 00:00:00",78.99,,135.02
"2026-02-11 00:00:00",229.49,,127.72
"2026-02-12 00:00:00",182.76,,119.71
"2026-02-13 00:00:00",24.8,,118.58
"2026-02-14 00:00:00",92.9,,134.26
"2026-02-15 00:00:00",123.31,,116.14
"2026-02-16 00:00:00",97.78,,105
"2026-02-17 00:00:00",188.8,,105.18
"2026-02-18 00:00:00",102.66,,111.86
"2026-02-19 00:00:00",104.73,,107.92
"2026-02-20 00:00:00",26.07,,107.64
"2026-02-21 00:00:00",139.65,,95.12
"2026-02-22 00:00:00",95.74,,94.13
"2026-02-23 00:00:00",95.86,,92.88
"2026-02-24 00:00:00",101.1,120.78100000000006,105.09
