"Time","Sales","Trend Line","7-Day Moving Average"
"2025-05-04 01:00:00",0,1.3919984337187723,0
"2025-05-05 01:00:00",0,,0
"2025-05-06 01:00:00",0,,0
"2025-05-07 01:00:00",0,,0
"2025-05-08 01:00:00",0,,0
"2025-05-09 01:00:00",0,,0
"2025-05-10 01:00:00",0,,0
"2025-05-11 01:00:00",0,,0
"2025-05-12 01:00:00",0,,0
"2025-05-13 01:00:00",0,,0
"2025-05-14 01:00:00",0,,0
"2025-05-15 01:00:00",0,,0
"2025-05-16 01:00:00",0,,0
"2025-05-17 01:00:00",0,,0
"2025-05-18 01:00:00",0,,0
"2025-05-19 01:00:00",0,,0
"2025-05-20 01:00:00",0,,0
"2025-05-21 01:00:00",0,,0
"2025-05-22 01:00:00",0,,0
"2025-05-23 01:00:00",0,,0
"2025-05-24 01:00:00",0,,0
"2025-05-25 01:00:00",0,,0
"2025-05-26 01:00:00",0,,0
"2025-05-27 01:00:00",0,,0
"2025-05-28 01:00:00",0,,0
"2025-05-29 01:00:00",0,,0
"2025-05-30 01:00:00",0,,0
"2025-05-31 01:00:00",0,,0
"2025-06-01 01:00:00",0,,0
"2025-06-02 01:00:00",0,,0.09
"2025-06-03 01:00:00",0,,0.22
"2025-06-04 01:00:00",0,,0.5
"2025-06-05 01:00:00",0.64,,0.87
"2025-06-06 01:00:00",0.92,,0.95
"2025-06-07 01:00:00",1.95,,1.25
"2025-06-08 01:00:00",0.65,,0.87
"2025-06-09 01:00:00",0.66,,1.19
"2025-06-10 01:00:00",0,,0.96
"2025-06-11 01:00:00",0.64,,0.99
"2025-06-12 01:00:00",2.84,,1.59
"2025-06-13 01:00:00",0,,0.74
"2025-06-14 01:00:00",0.87,,0.93
"2025-06-15 01:00:00",0.45,,0.9
"2025-06-16 01:00:00",0.39,,0.64
"2025-06-17 01:00:00",0.44,,0.72
"2025-06-18 01:00:00",0.89,,0.72
"2025-06-19 01:00:00",1.07,,0.76
"2025-06-20 01:00:00",0.9,,0.8
"2025-06-21 01:00:00",0.87,,0.82
"2025-06-22 01:00:00",0.76,,0.81
"2025-06-23 01:00:00",0.67,,0.76
"2025-06-24 01:00:00",0.58,,0.87
"2025-06-25 01:00:00",0.85,,0.98
"2025-06-26 01:00:00",0,,0.91
"2025-06-27 01:00:00",1.77,,1.19
"2025-06-28 01:00:00",1.41,,1.16
"2025-06-29 01:00:00",1.08,,1.07
"2025-06-30 01:00:00",0.88,,0.98
"2025-07-01 01:00:00",0.7,,0.78
"2025-07-02 01:00:00",0.55,,0.66
"2025-07-03 01:00:00",0.49,,0.59
"2025-07-04 01:00:00",0.38,,0.55
"2025-07-05 01:00:00",0.52,,0.57
"2025-07-06 01:00:00",0.63,,0.62
"2025-07-07 01:00:00",0.61,,0.71
"2025-07-08 01:00:00",0.84,,0.92
"2025-07-09 01:00:00",0.87,,1.04
"2025-07-10 01:00:00",1.11,,1.1
"2025-07-11 01:00:00",1.85,,1.12
"2025-07-12 01:00:00",1.39,,1.06
