"Time","Sales","Trend Line","7-Day Moving Average"
"2025-05-04 01:00:00",0,0.5911729202237678,0
"2025-05-05 01:00:00",0,,0
"2025-05-06 01:00:00",0,,0
"2025-05-07 01:00:00",0,,0
"2025-05-08 01:00:00",0,,0
"2025-05-09 01:00:00",0,,0
"2025-05-10 01:00:00",0,,0
"2025-05-11 01:00:00",0,,0
"2025-05-12 01:00:00",0,,0
"2025-05-13 01:00:00",0,,0
"2025-05-14 01:00:00",0,,0
"2025-05-15 01:00:00",0,,0
"2025-05-16 01:00:00",0,,0
"2025-05-17 01:00:00",0,,0
"2025-05-18 01:00:00",0,,0
"2025-05-19 01:00:00",0,,0
"2025-05-20 01:00:00",0,,0
"2025-05-21 01:00:00",0,,0
"2025-05-22 01:00:00",0,,0
"2025-05-23 01:00:00",0,,0
"2025-05-24 01:00:00",0,,0
"2025-05-25 01:00:00",0,,0
"2025-05-26 01:00:00",0,,0
"2025-05-27 01:00:00",0,,0
"2025-05-28 01:00:00",0,,0
"2025-05-29 01:00:00",0,,0
"2025-05-30 01:00:00",0,,0
"2025-05-31 01:00:00",0,,0
"2025-06-01 01:00:00",0,,0
"2025-06-02 01:00:00",0,,0
"2025-06-03 01:00:00",0,,0
"2025-06-04 01:00:00",0,,0
"2025-06-05 01:00:00",0,,0
"2025-06-06 01:00:00",0,,0
"2025-06-07 01:00:00",0,,0
"2025-06-08 01:00:00",0,,0.07
"2025-06-09 01:00:00",0,,0.3
"2025-06-10 01:00:00",0,,0.45
"2025-06-11 01:00:00",0.52,,0.76
"2025-06-12 01:00:00",1.57,,1.02
"2025-06-13 01:00:00",1.05,,0.76
"2025-06-14 01:00:00",0.59,,0.67
"2025-06-15 01:00:00",0.28,,0.68
"2025-06-16 01:00:00",0.26,,0.55
"2025-06-17 01:00:00",0.41,,0.48
"2025-06-18 01:00:00",0.58,,0.47
"2025-06-19 01:00:00",0.65,,0.48
"2025-06-20 01:00:00",0.58,,0.49
"2025-06-21 01:00:00",0.56,,0.47
"2025-06-22 01:00:00",0.34,,0.44
"2025-06-23 01:00:00",0.3,,0.4
"2025-06-24 01:00:00",0.26,,0.43
"2025-06-25 01:00:00",0.36,,0.43
"2025-06-26 01:00:00",0.37,,0.46
"2025-06-27 01:00:00",0.8,,0.48
"2025-06-28 01:00:00",0.59,,0.49
"2025-06-29 01:00:00",0.51,,0.48
"2025-06-30 01:00:00",0.46,,0.46
"2025-07-01 01:00:00",0.35,,0.37
"2025-07-02 01:00:00",0.28,,0.33
"2025-07-03 01:00:00",0.24,,0.3
"2025-07-04 01:00:00",0.19,,0.28
"2025-07-05 01:00:00",0.27,,0.29
"2025-07-06 01:00:00",0.31,,0.31
"2025-07-07 01:00:00",0.31,,0.35
"2025-07-08 01:00:00",0.42,,0.46
"2025-07-09 01:00:00",0.41,,0.52
"2025-07-10 01:00:00",0.56,,0.55
"2025-07-11 01:00:00",0.94,,0.56
"2025-07-12 01:00:00",0.7,,0.53
"2025-07-13 01:00:00",0.51,,0.5
"2025-07-14 01:00:00",0.38,,0.44
"2025-07-15 01:00:00",0.2,,0.34
"2025-07-16 01:00:00",0.18,,0.27
"2025-07-17 01:00:00",0.19,,0.23
"2025-07-18 01:00:00",0.25,,0.22
"2025-07-19 01:00:00",0.16,,0.25
"2025-07-20 01:00:00",0.25,,0.27
"2025-07-21 01:00:00",0.33,,0.31
"2025-07-22 01:00:00",0.37,,0.34
"2025-07-23 01:00:00",0.36,,0.42
"2025-07-24 01:00:00",0.44,,0.45
"2025-07-25 01:00:00",0.47,,0.47
"2025-07-26 01:00:00",0.72,,0.54
"2025-07-27 01:00:00",0,,0.35
"2025-07-28 01:00:00",0,,0.37
"2025-07-29 01:00:00",0.32,,0.51
"2025-07-30 01:00:00",0.53,,0.56
"2025-07-31 01:00:00",0.52,,0.9
"2025-08-01 01:00:00",0.84,,1.2
"2025-08-02 01:00:00",0.62,,1.43
"2025-08-03 01:00:00",2.93,,1.61
"2025-08-04 01:00:00",2.66,,2.07
"2025-08-05 01:00:00",1.92,,2.45
"2025-08-06 01:00:00",1.8,,3.11
"2025-08-07 01:00:00",3.75,,2.77
"2025-08-08 01:00:00",3.5,,2.44
"2025-08-09 01:00:00",5.18,,2.22
"2025-08-10 01:00:00",0.56,,2.06
"2025-08-11 01:00:00",0.38,,1.67
"2025-08-12 01:00:00",0.37,,1.27
"2025-08-13 01:00:00",0.7,,0.66
"2025-08-14 01:00:00",0.98,,1.32
"2025-08-15 01:00:00",0.72,,1.69
"2025-08-16 01:00:00",0.9,,2.09
"2025-08-17 01:00:00",5.18,,2.21
"2025-08-18 01:00:00",2.97,,2.34
"2025-08-19 01:00:00",3.2,,2.46
"2025-08-20 01:00:00",1.54,,2.59
"2025-08-21 01:00:00",1.87,,1.92
"2025-08-22 01:00:00",1.56,,1.53
"2025-08-23 01:00:00",1.82,,1.12
"2025-08-24 01:00:00",0.45,,0.93
"2025-08-25 01:00:00",0.28,,0.7
"2025-08-26 01:00:00",0.29,,0.53
