"Time","Sales","Trend Line","7-Day Moving Average"
"2025-05-04 01:00:00",0,0.6374597833580838,0
"2025-05-05 01:00:00",0,,0
"2025-05-06 01:00:00",0,,0
"2025-05-07 01:00:00",0,,0
"2025-05-08 01:00:00",0,,0
"2025-05-09 01:00:00",0,,0
"2025-05-10 01:00:00",0,,0
"2025-05-11 01:00:00",0,,0
"2025-05-12 01:00:00",0,,0
"2025-05-13 01:00:00",0,,0
"2025-05-14 01:00:00",0,,0
"2025-05-15 01:00:00",0,,0
"2025-05-16 01:00:00",0,,0
"2025-05-17 01:00:00",0,,0
"2025-05-18 01:00:00",0,,0
"2025-05-19 01:00:00",0,,0
"2025-05-20 01:00:00",0,,0
"2025-05-21 01:00:00",0,,0
"2025-05-22 01:00:00",0,,0
"2025-05-23 01:00:00",0,,0
"2025-05-24 01:00:00",0,,0
"2025-05-25 01:00:00",0,,0
"2025-05-26 01:00:00",0,,0
"2025-05-27 01:00:00",0,,0
"2025-05-28 01:00:00",0,,0
"2025-05-29 01:00:00",0,,0
"2025-05-30 01:00:00",0,,0
"2025-05-31 01:00:00",0,,0
"2025-06-01 01:00:00",0,,0
"2025-06-02 01:00:00",0,,0
"2025-06-03 01:00:00",0,,0
"2025-06-04 01:00:00",0,,0
"2025-06-05 01:00:00",0,,0
"2025-06-06 01:00:00",0,,0
"2025-06-07 01:00:00",0,,0
"2025-06-08 01:00:00",0,,0
"2025-06-09 01:00:00",0,,0
"2025-06-10 01:00:00",0,,0
"2025-06-11 01:00:00",0,,0
"2025-06-12 01:00:00",0,,0
"2025-06-13 01:00:00",0,,0
"2025-06-14 01:00:00",0,,0
"2025-06-15 01:00:00",0,,0
"2025-06-16 01:00:00",0,,0
"2025-06-17 01:00:00",0,,0
"2025-06-18 01:00:00",0,,0
"2025-06-19 01:00:00",0,,0
"2025-06-20 01:00:00",0,,0
"2025-06-21 01:00:00",0,,0
"2025-06-22 01:00:00",0,,0
"2025-06-23 01:00:00",0,,0
"2025-06-24 01:00:00",0,,0.45
"2025-06-25 01:00:00",0,,0.61
"2025-06-26 01:00:00",0,,0.71
"2025-06-27 01:00:00",3.18,,2.17
"2025-06-28 01:00:00",1.09,,1.19
"2025-06-29 01:00:00",0.72,,1.04
"2025-06-30 01:00:00",0.65,,0.98
"2025-07-01 01:00:00",0.48,,0.57
"2025-07-02 01:00:00",0.42,,0.47
"2025-07-03 01:00:00",0.34,,0.43
"2025-07-04 01:00:00",0.27,,0.4
"2025-07-05 01:00:00",0.38,,0.41
"2025-07-06 01:00:00",0.5,,0.44
"2025-07-07 01:00:00",0.43,,0.5
"2025-07-08 01:00:00",0.54,,0.65
"2025-07-09 01:00:00",0.63,,0.74
"2025-07-10 01:00:00",0.77,,0.77
"2025-07-11 01:00:00",1.3,,0.78
"2025-07-12 01:00:00",0.98,,0.75
"2025-07-13 01:00:00",0.72,,0.69
"2025-07-14 01:00:00",0.53,,0.62
"2025-07-15 01:00:00",0.3,,0.49
"2025-07-16 01:00:00",0.26,,0.38
"2025-07-17 01:00:00",0.26,,0.33
"2025-07-18 01:00:00",0.36,,0.32
"2025-07-19 01:00:00",0.22,,0.35
"2025-07-20 01:00:00",0.35,,0.38
"2025-07-21 01:00:00",0.47,,0.44
"2025-07-22 01:00:00",0.51,,0.48
"2025-07-23 01:00:00",0.51,,0.59
"2025-07-24 01:00:00",0.63,,0.63
"2025-07-25 01:00:00",0.67,,0.65
"2025-07-26 01:00:00",1.01,,0.68
"2025-07-27 01:00:00",0,,0.52
"2025-07-28 01:00:00",0.52,,0.61
"2025-07-29 01:00:00",0.42,,0.68
"2025-07-30 01:00:00",0.39,,0.62
"2025-07-31 01:00:00",0.71,,0.69
"2025-08-01 01:00:00",1.26,,0.72
"2025-08-02 01:00:00",0.67,,0.74
"2025-08-03 01:00:00",0.83,,0.75
"2025-08-04 01:00:00",0.76,,0.73
"2025-08-05 01:00:00",0.53,,0.69
"2025-08-06 01:00:00",0.49,,0.82
"2025-08-07 01:00:00",0.54,,0.85
"2025-08-08 01:00:00",0.99,,0.88
"2025-08-09 01:00:00",1.6,,0.98
"2025-08-10 01:00:00",1.03,,0.98
"2025-08-11 01:00:00",0,,0.94
"2025-08-12 01:00:00",0.59,,1.04
"2025-08-13 01:00:00",1.09,,1.09
"2025-08-14 01:00:00",1.29,,1.66
"2025-08-15 01:00:00",1.07,,1.92
"2025-08-16 01:00:00",1.45,,2.31
"2025-08-17 01:00:00",4.84,,2.37
"2025-08-18 01:00:00",3.09,,2.46
"2025-08-19 01:00:00",3.36,,2.53
"2025-08-20 01:00:00",1.52,,2.59
"2025-08-21 01:00:00",1.87,,2.21
"2025-08-22 01:00:00",1.61,,1.98
"2025-08-23 01:00:00",1.86,,1.71
"2025-08-24 01:00:00",2.13,,1.65
"2025-08-25 01:00:00",1.51,,1.58
"2025-08-26 01:00:00",1.47,,1.64
"2025-08-27 01:00:00",1.07,,1.81
"2025-08-28 01:00:00",1.43,,1.85
"2025-08-29 01:00:00",2.03,,1.87
"2025-08-30 01:00:00",3.05,,1.95
"2025-08-31 01:00:00",2.37,,2.07
"2025-09-01 01:00:00",1.69,,2.06
"2025-09-02 01:00:00",2,,2.07
"2025-09-03 01:00:00",1.92,,2.2
"2025-09-04 01:00:00",1.33,,2.23
"2025-09-05 01:00:00",2.1,,2.45
"2025-09-06 01:00:00",3.96,,2.39
"2025-09-07 01:00:00",2.62,,2.31
"2025-09-08 01:00:00",3.21,,2.32
"2025-09-09 01:00:00",1.62,,2.18
"2025-09-10 01:00:00",1.35,,2.05
"2025-09-11 01:00:00",1.39,,2.34
"2025-09-12 01:00:00",1.14,,2.13
"2025-09-13 01:00:00",3,,2.22
"2025-09-14 01:00:00",4.69,,2.7
"2025-09-15 01:00:00",1.69,,2.47
"2025-09-16 01:00:00",2.28,,2.83
"2025-09-17 01:00:00",0,,2.49
"2025-09-18 01:00:00",2.8,,2.42
"2025-09-19 01:00:00",3.1,,2.82
"2025-09-20 01:00:00",2.85,,3.01
"2025-09-21 01:00:00",1.43,,3.14
"2025-09-22 01:00:00",4.2,,3.07
"2025-09-23 01:00:00",3.81,,2.84
"2025-09-24 01:00:00",3.82,,2.64
"2025-09-25 01:00:00",2.29,,3.12
"2025-09-26 01:00:00",1.47,,2.9
"2025-09-27 01:00:00",1.47,,2.76
"2025-09-28 01:00:00",4.8,,2.47
"2025-09-29 01:00:00",2.63,,2.4
"2025-09-30 01:00:00",2.87,,2.4
"2025-10-01 01:00:00",1.75,,2.48
"2025-10-02 01:00:00",1.8,,2.22
"2025-10-03 01:00:00",1.5,,2.05
"2025-10-04 01:00:00",2,,1.87
"2025-10-05 01:00:00",3.02,,2.01
"2025-10-06 01:00:00",1.44,,2.13
"2025-10-07 01:00:00",1.59,,2.39
"2025-10-08 01:00:00",2.74,,2.64
"2025-10-09 01:00:00",2.59,,2.53
"2025-10-10 01:00:00",3.33,,2.71
"2025-10-11 01:00:00",3.75,,2.75
"2025-10-12 01:00:00",2.27,,2.62
"2025-10-13 01:00:00",2.72,,2.58
"2025-10-14 01:00:00",1.86,,2.52
"2025-10-15 01:00:00",1.8,,2.92
"2025-10-16 01:00:00",2.34,,3.15
"2025-10-17 01:00:00",2.91,,3.29
"2025-10-18 01:00:00",6.52,,3.55
"2025-10-19 01:00:00",3.89,,3.81
"2025-10-20 01:00:00",3.72,,3.8
"2025-10-21 01:00:00",3.66,,3.61
"2025-10-22 01:00:00",3.66,,3.01
"2025-10-23 01:00:00",2.22,,2.6
"2025-10-24 01:00:00",1.6,,2.17
"2025-10-25 01:00:00",2.3,,1.73
"2025-10-26 01:00:00",1.04,,1.28
"2025-10-27 00:00:00",0.7,,1.03
"2025-10-28 00:00:00",0.57,,0.85
"2025-10-29 00:00:00",0.53,,0.57
"2025-10-30 00:00:00",0.44,,0.53
"2025-10-31 00:00:00",0.35,,0.51
"2025-11-01 00:00:00",0.33,,0.47
"2025-11-02 00:00:00",0.76,,0.43
"2025-11-03 00:00:00",0.6,,0.42
"2025-11-04 00:00:00",0.3,,0.43
"2025-11-05 00:00:00",0.25,,0.44
"2025-11-06 00:00:00",0.37,,0.38
"2025-11-07 00:00:00",0.4,,0.39
"2025-11-08 00:00:00",0.37,,0.39
"2025-11-09 00:00:00",0.35,,0.42
"2025-11-10 00:00:00",0.66,,0.41
"2025-11-11 00:00:00",0.35,,0.38
"2025-11-12 00:00:00",0.44,,0.36
"2025-11-13 00:00:00",0.29,,0.39
"2025-11-14 00:00:00",0.22,,0.34
"2025-11-15 00:00:00",0.21,,0.31
"2025-11-16 00:00:00",0.54,,0.28
"2025-11-17 00:00:00",0.32,,0.26
"2025-11-18 00:00:00",0.18,,0.26
"2025-11-19 00:00:00",0.17,,0.3
"2025-11-20 00:00:00",0.17,,0.29
"2025-11-21 00:00:00",0.24,,0.31
"2025-11-22 00:00:00",0.51,,0.32
"2025-11-23 00:00:00",0.41,,0.32
"2025-11-24 00:00:00",0.52,,0.33
"2025-11-25 00:00:00",0.19,,0.37
"2025-11-26 00:00:00",0.22,,0.35
"2025-11-27 00:00:00",0.25,,0.37
"2025-11-28 00:00:00",0.5,,0.34
"2025-11-29 00:00:00",0.35,,0.37
"2025-11-30 00:00:00",0.55,,0.39
"2025-12-01 00:00:00",0.29,,0.38
"2025-12-02 00:00:00",0.43,,0.34
"2025-12-03 00:00:00",0.34,,0.32
"2025-12-04 00:00:00",0.22,,0.34
"2025-12-05 00:00:00",0.23,,0.4
"2025-12-06 00:00:00",0.19,,0.44
"2025-12-07 00:00:00",0.69,,0.5
"2025-12-08 00:00:00",0.73,,0.57
"2025-12-09 00:00:00",0.69,,0.92
"2025-12-10 00:00:00",0.73,,1.29
"2025-12-11 00:00:00",0.73,,1.47
"2025-12-12 00:00:00",2.69,,1.64
"2025-12-13 00:00:00",2.77,,1.71
"2025-12-14 00:00:00",1.96,,1.81
"2025-12-15 00:00:00",1.91,,1.98
"2025-12-16 00:00:00",1.15,,2.07
"2025-12-17 00:00:00",1.43,,1.88
"2025-12-18 00:00:00",1.94,,1.95
"2025-12-19 00:00:00",3.32,,2.19
"2025-12-20 00:00:00",0,,1.19
"2025-12-21 00:00:00",0,,1.17
"2025-12-22 00:00:00",0.86,,1.29
"2025-12-23 00:00:00",0.8,,1.2
"2025-12-24 00:00:00",1.24,,1.29
"2025-12-25 00:00:00",1.1,,1.25
"2025-12-26 00:00:00",2.8,,1.21
"2025-12-27 00:00:00",1.02,,1.19
"2025-12-28 00:00:00",0.92,,1.13
"2025-12-29 00:00:00",0.59,,1.15
"2025-12-30 00:00:00",0.65,,0.91
"2025-12-31 00:00:00",0.82,,1.01
"2026-01-01 00:00:00",1.24,,1.04
"2026-01-02 00:00:00",1.12,,1.13
"2026-01-03 00:00:00",1.72,,1.1
"2026-01-04 00:00:00",1.11,,1.07
"2026-01-05 00:00:00",1.25,,1
"2026-01-06 00:00:00",0.47,,0.98
"2026-01-07 00:00:00",0.57,,0.82
"2026-01-08 00:00:00",0.78,,0.75
"2026-01-09 00:00:00",0.95,,0.67
"2026-01-10 00:00:00",0.58,,0.67
"2026-01-11 00:00:00",0.66,,0.67
"2026-01-12 00:00:00",0.66,,0.67
"2026-01-13 00:00:00",0.46,,0.72
"2026-01-14 00:00:00",0.6,,0.78
"2026-01-15 00:00:00",0.75,,1
"2026-01-16 00:00:00",1.32,,1.06
"2026-01-17 00:00:00",1,,1.14
"2026-01-18 00:00:00",2.18,,1.18
"2026-01-19 00:00:00",1.08,,1.25
"2026-01-20 00:00:00",1.03,,1.16
"2026-01-21 00:00:00",0.87,,1.16
"2026-01-22 00:00:00",1.28,,0.94
"2026-01-23 00:00:00",0.71,,0.86
"2026-01-24 00:00:00",0.98,,0.79
"2026-01-25 00:00:00",0.62,,0.79
"2026-01-26 00:00:00",0.53,,0.75
"2026-01-27 00:00:00",0.53,,0.76
"2026-01-28 00:00:00",0.87,,0.87
"2026-01-29 00:00:00",1.03,,0.96
"2026-01-30 00:00:00",0.74,,1
"2026-01-31 00:00:00",1.78,,1.01
"2026-02-01 00:00:00",1.23,,0.97
"2026-02-02 00:00:00",0.83,,0.93
"2026-02-03 00:00:00",0.57,,1.06
"2026-02-04 00:00:00",0.64,,1
"2026-02-05 00:00:00",0.69,,1.06
"2026-02-06 00:00:00",1.68,,1.09
"2026-02-07 00:00:00",1.33,,1.15
"2026-02-08 00:00:00",1.67,,1.3
"2026-02-09 00:00:00",1.08,,1.2
"2026-02-10 00:00:00",0.95,,1.05
"2026-02-11 00:00:00",0,,0.87
"2026-02-12 00:00:00",0.59,,1.02
"2026-02-13 00:00:00",0.79,,1.02
