"Time","Sales","Trend Line","7-Day Moving Average"
"2025-05-04 01:00:00",1.15,2.557215876122657,1.14
"2025-05-05 01:00:00",0.57,,0.96
"2025-05-06 01:00:00",1.19,,1.07
"2025-05-07 01:00:00",1.61,,1.01
"2025-05-08 01:00:00",1.03,,1.02
"2025-05-09 01:00:00",0.73,,1.07
"2025-05-10 01:00:00",0.77,,1.06
"2025-05-11 01:00:00",1.23,,1.18
"2025-05-12 01:00:00",0.92,,1.22
"2025-05-13 01:00:00",1.12,,1.45
"2025-05-14 01:00:00",2.45,,1.68
"2025-05-15 01:00:00",1.33,,1.62
"2025-05-16 01:00:00",2.35,,1.6
"2025-05-17 01:00:00",2.35,,1.56
"2025-05-18 01:00:00",0.79,,1.4
"2025-05-19 01:00:00",0.81,,1.57
"2025-05-20 01:00:00",0.81,,1.53
"2025-05-21 01:00:00",1.36,,1.35
"2025-05-22 01:00:00",2.54,,1.28
"2025-05-23 01:00:00",2.07,,1.2
"2025-05-24 01:00:00",1.05,,1.13
"2025-05-25 01:00:00",0.31,,0.99
"2025-05-26 01:00:00",0.23,,0.66
"2025-05-27 01:00:00",0.38,,0.4
"2025-05-28 01:00:00",0.38,,0.35
"2025-05-29 01:00:00",0.21,,0.33
"2025-05-30 01:00:00",0.24,,0.39
"2025-05-31 01:00:00",0.68,,0.52
"2025-06-01 01:00:00",0,,0.48
"2025-06-02 01:00:00",0.6,,0.63
"2025-06-03 01:00:00",0.82,,0.75
"2025-06-04 01:00:00",0.78,,0.95
"2025-06-05 01:00:00",0.67,,0.97
"2025-06-06 01:00:00",0.91,,1.01
"2025-06-07 01:00:00",2.12,,1.2
"2025-06-08 01:00:00",0.87,,1.03
"2025-06-09 01:00:00",0,,1.26
"2025-06-10 01:00:00",0.96,,1.5
"2025-06-11 01:00:00",0.84,,1.34
"2025-06-12 01:00:00",3.09,,1.64
"2025-06-13 01:00:00",1.69,,1.29
"2025-06-14 01:00:00",1.12,,1.25
"2025-06-15 01:00:00",0.7,,1.32
"2025-06-16 01:00:00",0.6,,1.12
"2025-06-17 01:00:00",0.68,,1.06
"2025-06-18 01:00:00",1.36,,1.09
"2025-06-19 01:00:00",1.68,,1.13
"2025-06-20 01:00:00",1.27,,1.16
"2025-06-21 01:00:00",1.32,,1.17
"2025-06-22 01:00:00",0.97,,1.12
"2025-06-23 01:00:00",0.86,,1.03
"2025-06-24 01:00:00",0.73,,1.18
"2025-06-25 01:00:00",1.04,,1.22
"2025-06-26 01:00:00",1.01,,1.58
"2025-06-27 01:00:00",2.34,,1.9
"2025-06-28 01:00:00",1.59,,2.13
"2025-06-29 01:00:00",3.52,,2.25
"2025-06-30 01:00:00",3.09,,2.34
"2025-07-01 01:00:00",2.35,,2.19
"2025-07-02 01:00:00",1.84,,2.21
"2025-07-03 01:00:00",1.65,,1.95
"2025-07-04 01:00:00",1.27,,1.78
"2025-07-05 01:00:00",1.78,,1.97
"2025-07-06 01:00:00",0,,1.93
"2025-07-07 01:00:00",2.31,,2.61
"2025-07-08 01:00:00",3.16,,3.45
"2025-07-09 01:00:00",3.37,,3.98
"2025-07-10 01:00:00",4.1,,3.88
"2025-07-11 01:00:00",6.3,,4.09
"2025-07-12 01:00:00",5.26,,3.9
"2025-07-13 01:00:00",2.66,,3.62
"2025-07-14 01:00:00",3.78,,3.25
"2025-07-15 01:00:00",1.81,,2.67
"2025-07-16 01:00:00",1.46,,2.09
"2025-07-17 01:00:00",1.5,,2.02
"2025-07-18 01:00:00",2.19,,1.9
"2025-07-19 01:00:00",1.24,,2.09
"2025-07-20 01:00:00",2.18,,2.32
"2025-07-21 01:00:00",2.9,,2.65
"2025-07-22 01:00:00",3.14,,2.89
"2025-07-23 01:00:00",3.09,,3.62
"2025-07-24 01:00:00",3.79,,3.85
"2025-07-25 01:00:00",3.89,,4.09
"2025-07-26 01:00:00",6.33,,4.49
"2025-07-27 01:00:00",0,,3.61
"2025-07-28 01:00:00",4.49,,4.63
"2025-07-29 01:00:00",3.52,,5.26
"2025-07-30 01:00:00",3.25,,5.47
"2025-07-31 01:00:00",6.41,,5.95
"2025-08-01 01:00:00",9.33,,6.18
"2025-08-02 01:00:00",8.06,,6.28
"2025-08-03 01:00:00",6.58,,6.37
"2025-08-04 01:00:00",6.08,,6.06
"2025-08-05 01:00:00",4.22,,5.84
"2025-08-06 01:00:00",3.88,,6.5
"2025-08-07 01:00:00",4.27,,6.55
"2025-08-08 01:00:00",7.8,,6.22
"2025-08-09 01:00:00",12.66,,6.19
"2025-08-10 01:00:00",6.93,,6.65
"2025-08-11 01:00:00",3.75,,7.43
"2025-08-12 01:00:00",4.07,,7.31
"2025-08-13 01:00:00",7.05,,6.8
"2025-08-14 01:00:00",9.73,,7.16
"2025-08-15 01:00:00",6.99,,7.62
"2025-08-16 01:00:00",9.05,,7.8
"2025-08-17 01:00:00",9.48,,7.25
"2025-08-18 01:00:00",6.96,,6.35
"2025-08-19 01:00:00",5.36,,5.77
"2025-08-20 01:00:00",3.21,,4.98
"2025-08-21 01:00:00",3.41,,4.04
"2025-08-22 01:00:00",2.92,,3.3
"2025-08-23 01:00:00",3.55,,2.78
"2025-08-24 01:00:00",2.89,,2.52
"2025-08-25 01:00:00",1.73,,2.28
"2025-08-26 01:00:00",1.78,,2.24
"2025-08-27 01:00:00",1.39,,2.34
"2025-08-28 01:00:00",1.73,,2.37
"2025-08-29 01:00:00",2.59,,2.43
"2025-08-30 01:00:00",4.26,,2.55
"2025-08-31 01:00:00",3.08,,2.71
"2025-09-01 01:00:00",2.19,,2.7
"2025-09-02 01:00:00",2.58,,2.73
"2025-09-03 01:00:00",2.52,,2.84
"2025-09-04 01:00:00",1.7,,2.89
"2025-09-05 01:00:00",2.81,,3.1
"2025-09-06 01:00:00",4.97,,3.03
"2025-09-07 01:00:00",3.45,,2.94
"2025-09-08 01:00:00",3.67,,2.96
"2025-09-09 01:00:00",2.11,,2.77
"2025-09-10 01:00:00",1.88,,2.64
"2025-09-11 01:00:00",1.83,,2.79
"2025-09-12 01:00:00",1.47,,2.5
"2025-09-13 01:00:00",4.07,,2.47
"2025-09-14 01:00:00",4.53,,2.85
"2025-09-15 01:00:00",1.61,,2.51
"2025-09-16 01:00:00",1.88,,2.96
"2025-09-17 01:00:00",0,,2.49
"2025-09-18 01:00:00",2.4,,2.3
"2025-09-19 01:00:00",4.37,,2.63
"2025-09-20 01:00:00",2.62,,2.43
"2025-09-21 01:00:00",0.82,,2.35
"2025-09-22 01:00:00",1.92,,2.19
"2025-09-23 01:00:00",2.27,,1.68
"2025-09-24 01:00:00",2.05,,1.42
"2025-09-25 01:00:00",1.27,,1.61
"2025-09-26 01:00:00",0.78,,1.52
"2025-09-27 01:00:00",0.82,,1.4
"2025-09-28 01:00:00",2.15,,1.22
"2025-09-29 01:00:00",1.29,,1.16
"2025-09-30 01:00:00",1.44,,1.15
"2025-10-01 01:00:00",0.8,,1.17
"2025-10-02 01:00:00",0.86,,1.05
"2025-10-03 01:00:00",0.7,,0.96
"2025-10-04 01:00:00",0.95,,0.85
"2025-10-05 01:00:00",1.33,,0.91
"2025-10-06 01:00:00",0.64,,0.95
"2025-10-07 01:00:00",0.69,,1.06
"2025-10-08 01:00:00",1.2,,1.16
"2025-10-09 01:00:00",1.13,,1.12
"2025-10-10 01:00:00",1.46,,1.22
"2025-10-11 01:00:00",1.64,,1.24
"2025-10-12 01:00:00",1.08,,1.19
"2025-10-13 01:00:00",1.31,,1.19
"2025-10-14 01:00:00",0.88,,1.18
"2025-10-15 01:00:00",0.85,,1.38
"2025-10-16 01:00:00",1.14,,1.46
"2025-10-17 01:00:00",1.37,,1.5
"2025-10-18 01:00:00",3.03,,1.6
"2025-10-19 01:00:00",1.64,,1.71
"2025-10-20 01:00:00",1.62,,1.68
"2025-10-21 01:00:00",1.57,,1.59
"2025-10-22 01:00:00",1.57,,1.31
"2025-10-23 01:00:00",0.98,,1.28
"2025-10-24 01:00:00",0.69,,1.18
"2025-10-25 01:00:00",1.09,,1.08
"2025-10-26 01:00:00",1.44,,0.96
"2025-10-27 00:00:00",0.95,,0.91
"2025-10-28 00:00:00",0.81,,0.89
"2025-10-29 00:00:00",0.75,,0.8
