"Time","Sales","Trend Line","7-Day Moving Average"
"2025-12-14 00:00:00",8.43,0,7.95
"2025-12-15 00:00:00",7.59,,7.83
"2025-12-16 00:00:00",5.9,,8.79
"2025-12-17 00:00:00",8.43,,10
"2025-12-18 00:00:00",9.28,,10.32
"2025-12-19 00:00:00",16.02,,10.52
"2025-12-20 00:00:00",14.34,,11.45
"2025-12-21 00:00:00",10.69,,12.9
"2025-12-22 00:00:00",9,,14.62
"2025-12-23 00:00:00",12.38,,15.47
"2025-12-24 00:00:00",18.56,,16.72
"2025-12-25 00:00:00",21.38,,18.95
"2025-12-26 00:00:00",21.94,,19.57
"2025-12-27 00:00:00",23.06,,19.3
"2025-12-28 00:00:00",26.35,,18.35
"2025-12-29 00:00:00",13.35,,19.7
"2025-12-30 00:00:00",10.49,,19.55
"2025-12-31 00:00:00",11.89,,18.28
"2026-01-01 00:00:00",30.8,,16.88
"2026-01-02 00:00:00",20.88,,17.6
"2026-01-03 00:00:00",14.23,,23.3
"2026-01-04 00:00:00",16.52,,27
"2026-01-05 00:00:00",18.37,,26.88
"2026-01-06 00:00:00",50.4,,27.36
"2026-01-07 00:00:00",37.78,,28.29
"2026-01-08 00:00:00",29.98,,31.47
"2026-01-09 00:00:00",24.24,,31.46
"2026-01-10 00:00:00",20.72,,26.21
"2026-01-11 00:00:00",38.79,,23.26
"2026-01-12 00:00:00",18.3,,21.99
"2026-01-13 00:00:00",13.68,,23.71
"2026-01-14 00:00:00",17.09,,24
"2026-01-15 00:00:00",21.1,,21.05
"2026-01-16 00:00:00",36.27,,23.48
"2026-01-17 00:00:00",22.76,,28.19
"2026-01-18 00:00:00",18.16,,30.4
"2026-01-19 00:00:00",35.33,,30.9
"2026-01-20 00:00:00",46.65,,28.34
"2026-01-21 00:00:00",32.51,,27.71
"2026-01-22 00:00:00",24.65,,28.09
"2026-01-23 00:00:00",18.34,,25.76
"2026-01-24 00:00:00",18.36,,21.93
"2026-01-25 00:00:00",20.81,,20.44
"2026-01-26 00:00:00",19,,20.19
"2026-01-27 00:00:00",19.84,,21.11
"2026-01-28 00:00:00",22.11,,31.14
"2026-01-29 00:00:00",22.9,,84.32
"2026-01-30 00:00:00",24.77,,131.79
"2026-01-31 00:00:00",88.57,,163.19
"2026-02-01 00:00:00",393.06,,191.41
"2026-02-02 00:00:00",351.29,,235.67
"2026-02-03 00:00:00",239.64,,291.02
"2026-02-04 00:00:00",219.63,,357.57
"2026-02-05 00:00:00",332.74,,343.86
"2026-02-06 00:00:00",412.2,,329.44
"2026-02-07 00:00:00",554.44,,325.04
"2026-02-08 00:00:00",297.11,,342.52
"2026-02-09 00:00:00",250.32,,357.91
"2026-02-10 00:00:00",208.85,,391.62
"2026-02-11 00:00:00",341.98,,361.86
"2026-02-12 00:00:00",440.47,,404.03
"2026-02-13 00:00:00",648.14,,434.39
"2026-02-14 00:00:00",346.12,,448.1
"2026-02-15 00:00:00",592.32,,425.84
"2026-02-16 00:00:00",462.82,,422.82
"2026-02-17 00:00:00",304.83,,429.2
"2026-02-18 00:00:00",186.15,,410.57
"2026-02-19 00:00:00",419.35,,412.93
"2026-02-20 00:00:00",692.78,,434.31
"2026-02-21 00:00:00",215.75,,467.9
"2026-02-22 00:00:00",608.86,,528.29
"2026-02-23 00:00:00",612.47,,556.39
"2026-02-24 00:00:00",539.96,420.3346917808219,513.85
