"Time","Sales","Trend Line","7-Day Moving Average"
"2026-02-01 00:00:00",16.7,29.54250144927537,18.19
"2026-02-02 00:00:00",14.62,,19.99
"2026-02-03 00:00:00",16.7,,23.56
"2026-02-04 00:00:00",29.23,,27.14
"2026-02-05 00:00:00",33.41,,28.76
"2026-02-06 00:00:00",37.58,,31.16
"2026-02-07 00:00:00",41.76,,34.27
"2026-02-08 00:00:00",28.02,,36.9
"2026-02-09 00:00:00",31.42,,39.89
"2026-02-10 00:00:00",38.47,,44.69
"2026-02-11 00:00:00",47.64,,49.71
"2026-02-12 00:00:00",54.35,,58.36
"2026-02-13 00:00:00",71.16,,64.71
"2026-02-14 00:00:00",76.94,,63.95
"2026-02-15 00:00:00",88.55,,62.12
"2026-02-16 00:00:00",75.83,,67
"2026-02-17 00:00:00",33.18,,62.99
"2026-02-18 00:00:00",34.81,,56.97
"2026-02-19 00:00:00",88.55,,59.09
"2026-02-20 00:00:00",43.09,,49.03
"2026-02-21 00:00:00",0,,45.64
"2026-02-22 00:00:00",49.62,,54.85
"2026-02-23 00:00:00",50.84,,49.81
"2026-02-24 00:00:00",52.58,61.12460144927535,51.91
