Product Details,ASIN,Type,Lure Type,Size,URL,Image URL,Brand,Price  US$,ASIN Sales,ASIN Revenue,BSR,Ratings,Review Count,Images,Review velocity
"TERRO Fruit Fly Traps for Indoors (4 Pack) + 180 Days of Lure Supply - T2503SR - Lure and Kill Indoor Fruit Flies Near Fruit, Trash Cans, Countertops - Ready to Use Trap - 180 Day Supply",B01MRHXM0I,Lure,Trap,4,https://www.amazon.com/dp/B01MRHXM0I?psc=1,https://m.media-amazon.com/images/I/81F5uQH3fyL._AC_SX425_.jpg,Terro,13.37,"13,982","168,467.47",36,4.1,"24,094",9,324
Terro Fruit Fly Traps for Indoors (6 Pack) + 270 Days of Lure Supply,B0BX4GQF68,Lure,Trap,6,https://www.amazon.com/dp/B0BX4GQF68?psc=1,https://m.media-amazon.com/images/I/81iUZKBoLNL._AC_SX466_.jpg,Terro,18.39,"5,214","102,714.88",36,4.1,"24,094",10,439
"58 Pack Flying Insect Traps for Plants – Yellow Sticky Traps for Fungus Gnats, Flies & Flying Bugs, Anti bacterial, Garden & Kitchen, Non-Toxic, Odorless, Kid & Pet Safe",B0CNGBLV5N,Sticky traps,,,https://www.amazon.com/dp/B0CNGBLV5N?psc=1,https://m.media-amazon.com/images/I/71pdF+lJTwL._AC_SY355_.jpg,Cleanuper,6.99,"12,414","86,647",354,4.2,"4,500",7,333
"Super Ninja Fruit Fly Traps for Indoors - 4 Pack, Highly Effective Fruit Fly Catcher for Indoor Use for Home & Kitchen, Up to 3 Weeks of Performance per Bottle, Kid & Pet Friendly",B0D5DJ7V4P,Lure,Trap,4,https://www.amazon.com/dp/B0D5DJ7V4P?psc=1,https://m.media-amazon.com/images/I/81394dhllhL._AC_SX569_.jpg,Super Ninja,13.99,"4,712","65,880.39",464,3.7,"13,584",8,280
Fly Stick Sticky Fly Traps for Indoors Outdoor 6pk. Non-Toxic Super Sticky Hanging Flies Catcher Paper Tape Strips for Home. Catches All Bugs and gnats. Indoor Outdoor House Flying Insect Trap,B0CP43WSGB,Sticky traps,,,https://www.amazon.com/dp/B0CP43WSGB?psc=1,https://m.media-amazon.com/images/I/81pRUnfsZtL._AC_SY355_.jpg,BugBane,32.99,"1,077","35,524.04","3,186",4.4,"1,571",8,19
Fruit Fly Traps Fungus Gnat Traps Yellow Sticky Bug Traps 36 Pack No Harm and Odorless for Indoor Outdoor Use Protect The Plant,B08MZN1K2Y,Sticky traps,,,https://www.amazon.com/dp/B08MZN1K2Y?psc=1,https://m.media-amazon.com/images/I/71ptN0iopNL._AC_SX679_.jpg,Mosqueda,5.98,"4,588","27,434.22",32,4.4,"30,424",8,412
Fly Stick Sticky Fly Traps for Indoors Outdoor 4pk. Non-Toxic Super Sticky Hanging Flies Catcher Paper Tape Strips for Home. Catches All Bugs and gnats. Indoor Outdoor House Flying Insect Trap,B0BWM9BBH5,Sticky traps,,,https://www.amazon.com/dp/B0BWM9BBH5?psc=1,https://m.media-amazon.com/images/I/81dikoAZeXL._AC_SY450_.jpg,BugBane,24.99,"1,016","25,390.08","3,513",4.3,"2,025",8,35
"50 Pack Window Fly Trap, Fruit Fly Traps for Indoors, Fly Paper Sticky Strips, Fly Traps for Indoors Clear",B09GVVTZ2M,Sticky traps,,,https://www.amazon.com/dp/B09GVVTZ2M?psc=1,https://m.media-amazon.com/images/I/61FD64ZAg3L._AC_SX466_.jpg,LFSYS,13.99,"1,372","19,182.47",761,4.7,"7,235",7,86
"Fruit Fly BarPro – Vapor-Activated Insect Control Strip – Better Than Fruit Fly Traps – Kills Flies, Gnats, Roaches, Mosquitoes, and More – Odorless, 4 Month Protection",B07CR9B27M,Passive attractor,,,https://www.amazon.com/dp/B07CR9B27M?psc=1,https://m.media-amazon.com/images/I/71MIUBWpu3L._SX466_.jpg,Fruit Fly BarPro,109.99,173,"18,989.52","5,509",3.9,"11,491",8,16
"Aunt Fannie's FlyPunch Fruit Fly Trap for Indoor and Kitchen Use, Ready to Use, Made with Plant Based Ingredients, Safe Near Food, Each Bottle Lasts Up to 30 Days, Pack of 2",B07VYPGHFW,Lure,Trap,2,https://www.amazon.com/dp/B07VYPGHFW?psc=1,https://m.media-amazon.com/images/I/91aYrXmLrDL._AC_SY450_.jpg,Aunt Fannie's,14.99,"1,198","17,950.68",828,3.9,"25,096",7,41
"Raid Essentials Fruit Fly Trap for Indoors, Made with Essential Oils, Child and Pet Safe, 5.4 oz",B09GDHSW99,Lure,Trap,1,https://www.amazon.com/dp/B09GDHSW99?psc=1,https://m.media-amazon.com/images/I/71nM6HPZ8VL._AC_SX466_.jpg,Raid,6.99,"2,539","17,724.59","1,297",3.6,"3,951",11,38
Wondercide - Fruit Fly Traps for Indoors - Fruit Fly Killer - Pet and People Safe - Made in USA & Plant Based - 5.4 oz - 2 Pack,B09WJLKZP1,Passive attractor,,,https://www.amazon.com/dp/B09WJLKZP1?psc=1,https://m.media-amazon.com/images/I/71n1CuYsQPL._AC_SX679_.jpg,Wondercide,21.99,787,"17,304.36","5,110",3.5,"5,441",8,16
"36 Pack Fruit Fly Traps for Indoors, Gnat Traps for House Indoor, Sticky Traps Fungus Gnats Killer for Mosquito and Flying Insects, Bug Pest Insect Catcher Killer for Houseplant",B07XLM4FWL,Sticky traps,,,https://www.amazon.com/dp/B07XLM4FWL?psc=1,https://m.media-amazon.com/images/I/71GZTSBLTTL._AC_SX425_.jpg,Stingmon,7.99,"2,191","17,038.90","1,187",4.4,"34,591",9,26
Fruit Fly Traps Indoor Fungus Gnat Trap 48PCS for Plants Yellow Houseplants Outdoor Use Insect Sticky,B0B3RJ9JFM,Sticky traps,,,https://www.amazon.com/dp/B0B3RJ9JFM?psc=1,https://m.media-amazon.com/images/I/71VC1ZHz82L._AC_SX466_.jpg,Landisun,5.79,"2,597","14,604.12",296,4.3,"15,074",9,82
"Super Ninja Fruit Fly Traps for Indoors - 6 Pack, Highly Effective Fruit Fly Catcher for Indoor Use for Home & Kitchen, Up to 3 Weeks of Performance per Bottle, Kid & Pet Friendly",B0DX45STK3,Lure,Trap,6,https://www.amazon.com/dp/B0DX45STK3?psc=1,https://m.media-amazon.com/images/I/81AsaYEqJML._AC_SY450_.jpg,Super Ninja,18.99,743,"14,106.07",464,3.7,"13,584",8,280
"Catchmaster Fly Ribbon 20-Pack, Bug & Fruit Fly Traps Outdoor and Indoor, Premium Adhesive Sticky Strips & Gnat Hanging Strips, Bulk Flying Insect Paper Rolls, Pesticide-Free Home Pest Control",B07V6HBYHK,Sticky traps,,,https://www.amazon.com/dp/B07V6HBYHK?psc=1,https://m.media-amazon.com/images/I/91wowtWYbYL._AC_SX679_.jpg,Catchmaster,12.99,999,"12,963.56","4,075",4,"12,840",6,17
"Hot Shot Flying Insect Trap, Discreet, Hassle-Free Trap Attracts, Captures House and Fruit Flies, 24/7 Continuous Attraction, No Plug-in Or Electricity Needed, 6 Count",B0DGWQV8GK,Lure,Trap,6,https://www.amazon.com/dp/B0DGWQV8GK?psc=1,https://m.media-amazon.com/images/I/71RAhcOIbLL._AC_SY355_.jpg,HOT SHOT,14.16,725,"11,871.47","4,047",2.4,"1,942",13,81
"Qualirey 4 Pack Fruit Fly Trap Refill Liquid, 0.68oz/ Bottle Liquid Fruit Fly Traps for Indoors Non Toxic Safe Near Food, Effective Lure Refill for Indoor and Kitchen Use, Red",B0DCNZVXTP,Lure,Refill,4,https://www.amazon.com/dp/B0DCNZVXTP?psc=1,https://m.media-amazon.com/images/I/81ZSdAgJb+L._AC_SX466_.jpg,Qualirey,9.99,"1,141","11,390.79","3,391",4.3,591,8,34
"Fruit Fly BarPro – Vapor-Activated Insect Control Strip – Better Than Fruit Fly Traps – Kills Flies, Gnats, Roaches, Mosquitoes, and More – Odorless, 4 Month Protection",B06X1GN4B7,Passive attractor,,,https://www.amazon.com/dp/B06X1GN4B7?psc=1,https://m.media-amazon.com/images/I/81S2TNh9aPL._SX385_.jpg,Fruit Fly BarPro,59.99,169,"10,119.31","5,513",3.9,"11,491",7,17
Terro Fruit Fly Traps for Indoors (12 Pack) + 540 Days of Lure Supply,B07V7GC46D,Lure,Trap,12,https://www.amazon.com/dp/B07V7GC46D?psc=1,https://m.media-amazon.com/images/I/81FD0pVL9zL._AC_SY450_.jpg,Terro,37.89,282,"10,046.10",36,4.1,"24,094",12,447
