asin,brand,title,category_node,price,currency,rating,review_count,bsr,fulfillment,seller_count,badge_flags,coupon,variation_count,bullets,scrape_date
B09YNYV484,Surmen Legacy,Freshly Started Flightless Drosophila Hydei Fruit Fly Culture,,12.99,USD,3.4,,,Unknown,,"{""bestseller"": false, ""amazon_choice"": false, ""climate_pledge"": false}",,,"[""Fresh Start: Arrives in a Branded Container, Ready to Cultivate"", ""Flightless Fruit Flies: Ideal for Reptile & Amphibian Feeding"", ""Unflavored & Allergen-Free: Suitable for All Pets"", ""Easy Care: Store at Room Temperature, Keep Out of Direct Sunlight"", ""Nutritious & Versatile: Suitable for All Life Stages""]",2026-02-19
B00MP3DT26,Rescue!,"RESCUE! Fruit Fly Trap – Reusable, Includes Liquid Bait Attractant",,8.49,USD,4,,,Unknown,,"{""bestseller"": false, ""amazon_choice"": false, ""climate_pledge"": false}",,,"[""Fast Acting - This discreet indoor trap uses a food-based lure that attracts, catches, and eliminates fruit flies that congregate and breed near fruit, vegetables, and food scraps."", ""Long Lasting - Includes two 15-day supplies of food-based fruit fly attractant that is safe to use around food. Fruit flies find the color and scent of our attractant irresistible!"", ""Easy to Use \u2013 No mixing or home remedies required. Simply add the liquid attractant to the trap and it starts catching fruit flies within a day! A smart No-Tip design prevents spills in your kitchen or food storage areas."", ""Reusable Trap - Once caught, fruit flies drown in the liquid attractant. When the trap is full, it can be emptied, cleaned, and stored for future use. Attractant refills are available to purchase."", ""Made in the USA \u2013 At RESCUE!, our goal is to design and manufacture the safest and most effective pest control solutions available. We proudly manufacture our products in the USA!""]",2026-02-19
B0DXF8FPKF,Pestvanish,"Fruit Fly Trap Refill Liquid, Effective Gnat Killer&Fruit Fly Catcher Bait Refill, Long-Lasting Fruit Scented Ants Attractant for Kitchen Bathroom Living Room Use, Safe Near Food (4 Pack)",,9.99,USD,4.5,,,Unknown,,"{""bestseller"": false, ""amazon_choice"": false, ""climate_pledge"": false}",,,"[""\u3010All-Target Attraction\u3011Tired of fruit flies invading your home? Our fruit fly trap refill liquid is engineered to attract all major types of fruit flies, with a powerful yet safe fruit fly trap bait. Simply place the fruit fly trap refill liquid only near fruits, sinks, or trash bins, and watch it effectively lure and trap pests. Why keep swatting when you can eliminate them effortlessly? This gnat killer indoor solution works continuously, so your home stays protected without chemicals or mess."", ""\u3010Effectively Acting\u3011Once lured, fruit flies cannot escape! Our fruit fly trap refill liquid draws insects into the trap, where they drown quickly. As an effective indoor gnat killer, it targets fruit flies at their breeding areas, offering a steady solution as part of your pest control for indoors routine, keeping your home protected from fruit fly infestations. Pair it with your fruit fly trap for optimal results\u2014isn't it time to say goodbye to annoying flies for good?"", ""\u3010Wide Compatibility\u3011Designed for fruit fly traps for indoors, this fruit fly liquid refill is compatible with most open-style containers, like bowls or ramekins, making it a versatile fruit fly trap refills attractant. Safe to place around fruits, pets, and children, this fruit fly bait offers gnat catcher refills protection indoors and even near potted plants. Why risk your family's health when you can choose a pure, reliable fruit fly trap juice that works without side effects?"", ""\u3010Long-Lasting Value\u3011Get 4 bottles of premium fruit fly trap refill liquid, each 0.84oz bottle lasts up to 8 weeks! This long-lasting fruit fly refill liquid set provides continuous protection against infestations. Whether you need gnat trap refill for kitchens or fruit fly traps for indoor basements, trash cans, plant flowerpots, gardens, garages etc., this kit covers every corner. Why buy single-use traps when our multi-bottle fruit fly liquid delivers lasting convenience and value?"", ""\u3010Easy to Use\u3011Worried about chemicals near food or kids? Our non-toxic fruit fly trap liquid uses a physical attractant method,without any harsh substances. No setup fuss, just pour and go! Ideal for fruit fly killer setups, this fly trap refill liquid requires no tools or cleanup. Why complicate pest control when simplicity and effective indoor gnat killer results are just one step away? We offer 30-day replacement and 1-year limited warranty.""]",2026-02-19
B08TFXMHSY,Rescue!,RESCUE! Reusable Fly Trap Refill – Outdoor Use - 6 Pack,,18.4,USD,4.7,,,Unknown,,"{""bestseller"": false, ""amazon_choice"": false, ""climate_pledge"": false}",,,"[""Made for RESCUE! Reusable Fly Traps \u2013 This attractant refill is compatible with RESCUE! Reusable Fly Traps. It attracts many varieties of common nuisance and filth flies."", ""Attracts Flies \u2013 This attractant lures common nuisance or filth flies, including house flies, cluster flies, false stable flies, blow flies, bottle flies, flesh flies and others."", ""Easy to Use \u2013 Just drop the water-soluble pouch into the trap container, add water to the fill line, replace the top, and hang or place the trap outside near a fly source."", ""Outdoor Use Only \u2013 Flies find the scent of this attractant irresistible\u2014you and your family members will not! Make sure to use your fly trap outside, and at least 20 feet from any living areas."", ""Made in the USA \u2013 At RESCUE!, our goal is to design and manufacture the safest and most effective pest control solutions available for homeowners. We are proud to manufacture our products in the USA!""]",2026-02-19
B0D317WYMG,Bugboy4Ever,Flightless (Drosophila hydei) Fruit Fly Culture - *Newly inoculated*,,17.99,USD,4.2,,,Unknown,,"{""bestseller"": false, ""amazon_choice"": false, ""climate_pledge"": false}",,,"[""D. hydei fruit flies are ideal feeder insects for small or young animals. They are about twice as large as their smaller counterparts in the genus - D. melanogaster. Unlike crickets or other typical feeder insects, fruit flies cannot bite or harm your pet."", ""Enhanced medium (the food for larvae) to support fruit fly growth and increase nutrient density."", ""Culture will produce thousands of flies within 3-4 weeks (if maintained at room temperature)."", ""Compact 24oz container to save you storage space without taking away from amount of medium at bottom of container."", ""No harmful substances. All contents of container are safe for your pets and for children to handle: wood wool, potato-based medium supplemented with powdered nutrients (giving its red color), fruit fly eggs, larvae and adults."", ""Newly started/prepared - culture will be innoculated with flies upon your order."", ""Ideal amount of media added! Not too much (where flies never get to the media and it becomes overcrowded and rancid), and not too little (where flies are left searching for food)! You'd think that more media equals more flies... Not exactly. There's only a certain amount of surface area within containers where larvae can properly pupate and emerge as flies. If ther is too much media (and if it doesn't spoil by then), larvae will pupate in layers over one another and suffocate those that have pupated prior.""]",2026-02-19
B0D4DY85H3,Qualirey,"Qualirey 6 Pack Fruit Fly Trap Refill Liquid, 0.68oz Per Bottle Liquid Fruit Fly Traps for Indoors, Non Toxic Bait Safe Near Pets, Food and Kids, Lure Refill for Home Kitchen",,11.99,USD,4.4,,,Unknown,,"{""bestseller"": false, ""amazon_choice"": false, ""climate_pledge"": false}",,,"[""Fruit Fly Trap Refill Liquid: this fruit fly trap refill easily attracts all major types of fruit flies and can be placed anywhere to keep those pesky fruit flies away from your home and kitchen; It is compatible with most fruit fly trap and works in any open style container, such as a small bowl or ramekin; Use this fruit fly trap refill for a \""no more flies\"" home"", ""Long Lasting and Economical: comes with 6 bottles of fruit fly trap refills, each bottle contains 0.68 ounces of fruit fly liquid bait, each bottle lasts up to 6 weeks, giving you ongoing protection from unwelcome fruit flies"", ""Naturally Lures Fruit Flies: made with a natural formula, the fruit fly trap refill liquid uses a physical method to kill flies without those chemical laden aerosols, plastic swatters, or wasteful fly trap sheets; Protect your fresh produce from pesky fruit flies with this fruit fly trap refill"", ""Safe and Pure for Your Family: this non toxic fruit flies trap liquid is safe enough to be applied around food, pets, and children; You can use this fruit fly trap refill in any room where fruit flies gather, such as your living room, kitchen, or dining area to protect health of you and your family"", ""Easy to Use: Simply pour the fluid into the fruit fly trap or small glass bowl and place it near fruit to kill indoor fruit flies (Trap not included, refill liquid only)""]",2026-02-19
B0F4KTY4BV,Uniwons,"Fruit Fly Trap Refill Liquid Only 12 Packs- Replacement Parts for Fly Traps- Safe Near Pets,Food and Kids- Fruit Fly Lure Refill Trap",,16.99,USD,4.5,,,Unknown,,"{""bestseller"": false, ""amazon_choice"": false, ""climate_pledge"": false}",,,"[""Fruit Fly Trap Refill Liquid- Suitable for T-E-R-R-O Fruit Fly Trap.This special food bait easily attracts all major types of fruit flies.Our indoor insect trap is made of eco-friendly materials,uses physical methods to remove insects and has no odor."", ""Easy-to-Use Flying Gnat Trap- Ready to use out of the box. You just need to open the replenishment solution, pour it into the fruit fly trap, and then place the trap where the fruit fly is located, and the fruit fly will be attracted from above."", ""Efficient Fruit Fly Catcher Indoor- Our fruit fly trap recommended to use with fruit fly trap for better effect. It is bait refill attracts traps fruit flies.The fruit flies killer indoor emits a scent that attracts fruit flies,sending them into the trap's entry hole where they cannot escape and eventually drown."", ""Widely Used- You can use fruit fly traps to replenish fluids in any room with flying insects. The fruit fly trap bait filling is suitable for places where fruit flies gather, such as living rooms, kitchens, or dining areas."", ""A Reasonably Priced Fruit Fly Trap Bait Supplement- Providing longer protection time. You can also use any container containing liquids, so you can save money! We are determined to provide you with the best service.""]",2026-02-19
B0FT79JMN2,Yjoo,"Fruit Fly Trap Refills Liquid Only, 8 Pack for Indoors, Refill Liquid for Gnats Fruit Fly and Mosquito Traps, Fruit Bait Home, Kitchen, Safe Near Pets and Food",,8.99,USD,2.8,,,Unknown,,"{""bestseller"": false, ""amazon_choice"": false, ""climate_pledge"": false}",,,"[""Multi-Purpose Fruit Fly Refill: Effective against most indoor and outdoor fruit flies, gnats, and flying insects, providing relief from flying insect nuisances"", ""Safe Fruit Fly Trap Refill: Can be placed on kitchen countertops, dining areas, and near potted plants"", ""Easy to use: Ready-to-use formula requires no mixing. Simply pour the fruit fly attractant into the trap"", ""Highly effective and convenient: The sweet scent attracts fruit flies, causing them to quickly fall into the trap"", ""Includes 8 convenient refill bottles for long-lasting protection throughout the season""]",2026-02-19
B08BSNVN9P,Rescue!,"RESCUE! Reusable Indoor Fruit Fly Traps with Non-Toxic Liquid Attractant - 2 Traps, 3-Pack (6 Traps)",,21.72,USD,4.1,,,Unknown,,"{""bestseller"": false, ""amazon_choice"": false, ""climate_pledge"": false}",,,"[""TRAP FRUIT FLIES FAST - This discrete indoor fly catcher uses a food-based lure that is proven to lure and capture fruit flies fast. It attracts, catches, and eliminates fruit flies that congregate & breed near fruit, sinks & food scraps"", ""30-DAY SUPPLY - Includes two 15-day supplies of our non-toxic food-based attractant that is safe to use around food. Unlike most sticky bug trap strips that catch insects randomly, fruit flies find the color and smell of our attractant irresistible!"", ""EASY TO USE \u2013 No mixing or home remedies required. Add the liquid solution to the trap and it starts catching fruit flies in minutes! A smart No-Tip design prevents icky spills in your kitchen or food storage areas."", ""REUSABLE 2-Pack - Once caught, fruit flies drown in the non-toxic liquid attractant. When the trap is full, it can be emptied, cleaned, and stored for future use unlike others with a plastic disposable container. This pack includes 2 red traps."", ""MADE IN THE USA \u2013 At RESCUE! our goal is to design, manufacture, and market the safest and most effective pest control solutions available for homeowners. We are proud to manufacture our products in United States of America!""]",2026-02-19
B0BSG71TDL,Generic,Flightless Fruitfly Drosophila Hydei,,14.99,USD,3.9,,,Unknown,,"{""bestseller"": false, ""amazon_choice"": false, ""climate_pledge"": false}",,,"[""Flightless Started Fruitfly Culture Drosophila Hydei""]",2026-02-19
B08BSQZ44C,Rescue!,"RESCUE! Reusable Indoor Fruit Fly Traps with Non-Toxic Liquid Attractant - 2 Traps, 2-Pack (4 Traps)",,15.63,USD,4.2,,,Unknown,,"{""bestseller"": false, ""amazon_choice"": false, ""climate_pledge"": false}",,,"[""TRAP FRUIT FLIES FAST - This discrete indoor fly catcher uses a food-based lure that is proven to lure and capture fruit flies fast. It attracts, catches, and eliminates fruit flies that congregate & breed near fruit, sinks & food scraps"", ""30-DAY SUPPLY - Includes two 15-day supplies of our non-toxic food-based attractant that is safe to use around food. Unlike most sticky bug trap strips that catch insects randomly, fruit flies find the color and smell of our attractant irresistible!"", ""EASY TO USE \u2013 No mixing or home remedies required. Add the liquid solution to the trap and it starts catching fruit flies in minutes! A smart No-Tip design prevents icky spills in your kitchen or food storage areas."", ""REUSABLE 2-Pack - Once caught, fruit flies drown in the non-toxic liquid attractant. When the trap is full, it can be emptied, cleaned, and stored for future use unlike others with a plastic disposable container. This pack includes 2 red traps."", ""MADE IN THE USA \u2013 At RESCUE! our goal is to design, manufacture, and market the safest and most effective pest control solutions available for homeowners. We are proud to manufacture our products in United States of America!""]",2026-02-19
